"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"USGS-MS","USGS Mississippi Water Science Center","USGS-342050089384901","E0116  LAFAYETTE","Well",NA,"08030201",NA,NA,NA,NA,34.3472222,-89.6469444,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",310,"feet",10,"feet","Global Positioning System.","NGVD29","US",28,"071","Mississippi embayment aquifer system","Tallahatta Formation","Unconfined single aquifer",20100929,22,"ft",23,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-342111089124401","A0048  PONTOTOC","Well",NA,"08030201",NA,NA,NA,NA,34.3576389,-89.2206889,NA,0.1,"seconds","Differentially corrected Global Positioning System.","NAD83",470,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",28,"115","Southeastern Coastal Plain aquifer system","Ripley Formation",NA,19800128,625,"ft",658,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-342921089341201","A0029  LAFAYETTE","Well",NA,"08030201",NA,NA,NA,NA,34.4900278,-89.5695306,NA,0.1,"seconds","Differentially corrected Global Positioning System.","NAD83",350,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",28,"071","Mississippi embayment aquifer system","Meridian-Upper Wilcox Aquifer",NA,19770515,337,"ft",NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-343349089180601","Y0035  MARSHALL","Well",NA,"08030201",NA,NA,NA,NA,34.5638333,-89.3014167,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",324,"feet",5,"feet","Global Positioning System.","NAVD88","US",28,"093","Mississippi embayment aquifer system","Wilcox Aquifer, Upper","Unconfined single aquifer",20100924,33,"ft",33,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-343706089111601","O0041  BENTON","Well",NA,"08030201",NA,NA,NA,NA,34.6181056,-89.1871528,NA,0.1,"seconds","Differentially corrected Global Positioning System.","NAD83",420,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",28,"009","Southeastern Coastal Plain aquifer system","Ripley Formation",NA,19950821,552,"ft",588,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-344343089111501","L0043  BENTON","Well",NA,"08030201",NA,NA,NA,NA,34.7286111,-89.1877778,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",359,"feet",10,"feet","Global Positioning System.","NAVD88","US",28,"009","Mississippi embayment aquifer system","Wilcox Aquifer, Upper","Unconfined single aquifer",20100923,22,"ft",23,"ft","NWIS"
"ARS","Agricultural Research Service","ARS-MSGC-MSGC04","MSGC04",NA,"This site consists of one tipping bucket rain gage","08030203",NA,NA,NA,NA,34.2577423921,-89.873702526,NA,NA,NA,NA,"NAD83",NA,NA,NA,NA,NA,NA,"US",28,"107",NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"ARS","Agricultural Research Service","ARS-MSGC-MSGC_WQ_2-13","MSGC_WQ_2-13",NA,"This site is a bridge crossing over goodwin creek ","08030203",NA,NA,NA,NA,34.2598326828,-89.873467291,NA,NA,NA,NA,"NAD83",NA,NA,NA,NA,NA,NA,"US",28,"107",NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"ARS","Agricultural Research Service","ARS-MSGC-MSGC_WQ_2-15","MSGC_WQ_2-15",NA,"This site is a bridge crossing over goodwin creek ","08030203",NA,NA,NA,NA,34.2646828572,-89.860306501,NA,NA,NA,NA,"NAD83",NA,NA,NA,NA,NA,NA,"US",28,"107",NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"ARS","Agricultural Research Service","ARS-MSGC-MSGC_WQ_2-5","MSGC_WQ_2-5",NA,"This site is a bridge crossing over goodwin creek ","08030203",NA,NA,NA,NA,34.2366283623,-89.909307596,NA,NA,NA,NA,"NAD83",NA,NA,NA,NA,NA,NA,"US",28,"107",NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"ARS","Agricultural Research Service","ARS-MSGC-MSGC_WQ_2-9","MSGC_WQ_2-9",NA,"This site is a bridge crossing over goodwin creek ","08030203",NA,NA,NA,NA,34.2512870183,-89.898073835,NA,NA,NA,NA,"NAD83",NA,NA,NA,NA,NA,NA,"US",28,"107",NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-340800089374101","C0089  YALOBUSHA","Well",NA,"08030203",NA,NA,NA,NA,34.1333333,-89.6280556,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",301,"feet",5,"feet","Global Positioning System.","NAVD88","US",28,"161","Mississippi embayment aquifer system","Tallahatta Formation","Unconfined single aquifer",20100928,32,"ft",33,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-342155089305401","F0023  LAFAYETTE","Well",NA,"08030203",NA,NA,NA,NA,34.3648778,-89.5145556,NA,0.1,"seconds","Differentially corrected Global Positioning System.","NAD83",380,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",28,"071","Mississippi embayment aquifer system","Meridian-Upper Wilcox Aquifer",NA,19660101,96,"ft",NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-344927089583901","L0085  DESOTO","Well",NA,"08030204",NA,NA,NA,NA,34.8242647,-89.9775904,NA,5,"seconds","Interpolated from MAP.","NAD83",360,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",28,"033","Mississippi embayment aquifer system","Sparta Sand",NA,20010531,371,"ft",500,"ft","NWIS"
