"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07265500","LITTLE TALLAHATCHIE RIVER NR NEW ALBANY, MS.","Stream",NA,"08030201",23.9,"sq mi",NA,NA,34.5559332,-88.9292284,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07266000","CANE CREEK NR NEW ALBANY, MS","Stream",NA,"08030201",22.2,"sq mi",22.2,"sq mi",34.4056585,-88.9556172,NA,"5","seconds","Interpolated from MAP.","NAD83",356.74,"feet",10,"feet","Unknown.","NGVD29","US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07266010","LITTLE TALLAHATCHIE RIVER AB NEW ALBANY, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.5059347,-88.9961747,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07266520","LITTLE TALLAHATCHIE RIVER AT NEW ALBANY, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.4951016,-89.0133975,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07266860","LITTLE TALLAHATCHIE RIVER NR INGOMAR, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.4637134,-89.0564545,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07268000","LITTLE TALLAHATCHIE RIVER AT ETTA, MS","Stream",NA,"08030201",526,"sq mi",526,"sq mi",34.4825,-89.2244444,24000,"0.5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",273,"feet",10,"feet","Reported method of determination.","NGVD29","US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07268200","FICE CREEK AT ETTA, MISS.","Stream",NA,"08030201",9.09,"sq mi",NA,NA,34.472325,-89.2361835,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07268500","CYPRESS CREEK NR ETTA, MS","Stream",NA,"08030201",28.5,"sq mi",28.5,"sq mi",34.4419444,-89.2902778,24000,"0.5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",319.9,"feet",0.1,"feet","Level or other surveyed method.","NGVD29","US","28","071",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07268510","PUSKUS CREEK NR ETTA, MS","Stream",NA,"08030201",NA,NA,NA,NA,34.4451038,-89.3325756,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","071",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07268750","WOLF CREEK NEAR ETTA, MS.","Stream",NA,"08030201",7.14,"sq mi",NA,NA,34.4939916,-89.3175752,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","071",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269000","NORTH TIPPAH CREEK NR RIPLEY, MS","Stream",NA,"08030201",19.3,"sq mi",19.3,"sq mi",34.7333333,-89.0261111,24000,"0.5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",386.36,"feet",0.1,"feet","Level or other surveyed method.","NGVD29","US","28","139",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269400","SHELBY CREEK NEAR GRAVESTOWN, MS.","Stream",NA,"08030201",18.98,"sq mi",NA,NA,34.7514849,-89.1025676,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269650","CURTIS CREEK NEAR ASHLAND, MS.","Stream",NA,"08030201",5.8,"sq mi",NA,NA,34.759818,-89.1172903,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269700","YELLOW RABBIT CREEK NEAR ASHLAND, MS.","Stream",NA,"08030201",16.25,"sq mi",NA,NA,34.7559293,-89.1467358,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269790","RHODEN CREEK NEAR PINE GROVE, MS.","Stream",NA,"08030201",7.73,"sq mi",NA,NA,34.7562071,-89.1703477,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269800","TIPPAH CREEK NR ASHLAND, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.7437074,-89.1806259,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269815","SNOW CREEK NEAR PINE GROVE, MS.","Stream",NA,"08030201",48.4,"sq mi",NA,NA,34.7231525,-89.2350723,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269850","CHILLI CREEK NEAR PINE GROVE, MS.","Stream",NA,"08030201",18.86,"sq mi",NA,NA,34.7070417,-89.2281276,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269878","OAKLIMETER CREEK NEAR HICKORY FLAT, MS.","Stream",NA,"08030201",11.15,"sq mi",NA,NA,34.62275,-89.1503056,24000,"0.5","seconds","Interpolated from Digital MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269879","PECHAHALEE CREEK NEAR HICKORY FLAT, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.6273214,-89.2309055,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269950","CHEWALLA CREEK NEAR HOLLY SPRINGS, MISS.","Stream",NA,"08030201",NA,NA,NA,NA,34.766763,-89.3456309,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","093",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269970","CHEWALLA C NR POTTS CAMP, MISS.","Stream",NA,"08030201",42,"sq mi",NA,NA,34.6725985,-89.3311864,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","093",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269990","TIPPAH CREEK NEAR POTTS CAMP, MISS.","Stream",NA,"08030201",359,"sq mi",NA,NA,34.5976004,-89.3503538,NA,"5","seconds","Interpolated from MAP.","NAD83",277.79,"feet",10,"feet","Unknown.","NGVD29","US","28","093",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07270000","POTTS CREEK NR POTTS CAMP, MS.","Stream",NA,"08030201",8.26,"sq mi",NA,NA,34.5945449,-89.3334088,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","093",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
