USGS_gage,Long,Lat,HUC8,Watershed,Site_name
USGS-07273100,-89.8786111,34.36388889,8030201,Little Tallahatchie,Hotopha Creek near Batesville MS 
USGS-07278500,-90.12426,34.75732244,8030204,Coldwater,Coldwater River at Arkabutla Dam MS 
USGS-07275000,-89.9039783,34.15816665,8030203,Yocona,Yocona River at Enid Dam MS 
USGS-07281600,-90.2111111,33.65138889,8030202,Tallahatchie,Tallahatchie River at Money MS 
USGS-07285500,-89.8097222,33.78777778,8030205,Yalobusha,Yalobusha River at Grenada MS
USGS-341915089561101,-89.936989,34.319472,8030201,Little Tallahatchie,R0090  PANOLA
21MSWQ-YZ613,-89.808833,34.406722,8030201,Little Tallahatchie,LOWER LAKE
21MSWQ_WQX-249SAR01,-89.786056,34.415139,8030201,Little Tallahatchie,SARDIS LAKE
21MSWQ_WQX-249SAR05,-89.575306,34.531306,8030201,Little Tallahatchie,SARDIS LAKE
21MSWQ_WQX-YZ613,-89.808833,34.406722,8030201,Little Tallahatchie,LOWER LAKE
21MSWQ_WQX-288END01,-89.890972,34.147722,8030203,Yocona,ENID LAKE
21MSWQ_WQX-288END02,-89.853556,34.147194,8030203,Yocona,ENID LAKE
21MSWQ_WQX-288END03,-89.786972,34.151472,8030203,Yocona,ENID LAKE
21MSWQ_WQX-288END04,-89.730333,34.168167,8030203,Yocona,ENID LAKE
21MSWQ_WQX-YZ223,-90.073972,34.151583,8030203,Yocona,SHELTON CREEK
21MSWQ_WQX-303ARK01,-90.114389,34.762167,8030204,Coldwater,ARKABUTLA LAKE
21MSWQ_WQX-303ARK02,-90.109833,34.787861,8030204,Coldwater,ARKABUTLA LAKE
21MSWQ_WQX-303ARK03,-90.101083,34.731306,8030204,Coldwater,ARKABUTLA LAKE
21MSWQ_WQX-303ARK04,-90.038361,34.711778,8030204,Coldwater,ARKABUTLA LAKE
USGS-07285730,-90.001111,33.777222,8030205,Yalobusha,"YALOBUSHA RIVER NR HOLCOMB, MS"
USGS-07285740,-89.997222,33.755278,8030205,Yalobusha,CANE CREEK NEAR HOLCOMB MS
21MSWQ_WQX-111D15,-89.808302,33.854453,8030205,Yalobusha,RIVERDALE CREEK
21MSWQ_WQX-327GRE01,-89.769611,33.813056,8030205,Yalobusha,GRENADA LAKE
21MSWQ_WQX-327GRE02,-89.643472,33.825139,8030205,Yalobusha,GRENADA LAKE
21MSWQ_WQX-327GRE03,-89.693861,33.88225,8030205,Yalobusha,GRENADA LAKE
USGS-07273100,-89.878611,34.363889,8030201,Little Tallahatchie,"HOTOPHA CREEK NR BATESVILLE, MS"
USGS-341819089575801,-89.966201,34.305387,8030201,Little Tallahatchie,R0018  PANOLA
USGS-341853089564601,-89.950364,34.317539,8030201,Little Tallahatchie,R0002  PANOLA
USGS-341912089565901,-89.949812,34.320109,8030201,Little Tallahatchie,R0006  PANOLA
USGS-341915089561101,-89.936989,34.319472,8030201,Little Tallahatchie,R0090  PANOLA
USGS-342009089561501,-89.93759,34.335942,8030201,Little Tallahatchie,R0001  PANOLA
21MSWQ_WQX-249SAR01,-89.786056,34.415139,8030201,Little Tallahatchie,SARDIS LAKE
21MSWQ_WQX-249SAR05,-89.575306,34.531306,8030201,Little Tallahatchie,SARDIS LAKE
21MSWQ_WQX-YZ613,-89.808833,34.406722,8030201,Little Tallahatchie,LOWER LAKE
NARS_WQX-NLA06608-2492,-89.668976,34.476171,8030201,Little Tallahatchie,Graham Lake (Historical)
USGS-07275551,-90.074535,34.169001,8030203,Yocona,"YOCONA RIVER EAST OF CROWDER, MS"
USGS-340905090003301,-90.009257,34.151501,8030203,Yocona,B0009  TALLAHATCHIE
USGS-340934089542701,-89.90759,34.159556,8030203,Yocona,A0001  YALOBUSHA
USGS-341445089593201,-89.995889,34.247253,8030203,Yocona,U0001  PANOLA
21MSWQ_WQX-288END01,-89.890972,34.147722,8030203,Yocona,ENID LAKE
21MSWQ_WQX-288END02,-89.853556,34.147194,8030203,Yocona,ENID LAKE
21MSWQ_WQX-288END03,-89.786972,34.151472,8030203,Yocona,ENID LAKE
21MSWQ_WQX-288END04,-89.730333,34.168167,8030203,Yocona,ENID LAKE
21MSWQ_WQX-YZ223,-90.073972,34.151583,8030203,Yocona,SHELTON CREEK
NARS_WQX-NLA06608-0444,-89.911616,34.165789,8030203,Yocona,Enid View Drive Lake
USGS-07278500,-90.12426,34.757322,8030204,Coldwater,"COLDWATER RIVER AT ARKABUTLA DAM, MS"
USGS-344402090041101,-90.069814,34.73399,8030204,Coldwater,K0087  DESOTO
USGS-344935090091201,-90.152408,34.829714,8030204,Coldwater,J0005  DESOTO
USGS-344956090100201,-90.169722,34.841944,8030204,Coldwater,J0003  DESOTO
21MSWQ_WQX-303ARK01,-90.114389,34.762167,8030204,Coldwater,ARKABUTLA LAKE
21MSWQ_WQX-303ARK02,-90.109833,34.787861,8030204,Coldwater,ARKABUTLA LAKE
21MSWQ_WQX-303ARK03,-90.101083,34.731306,8030204,Coldwater,ARKABUTLA LAKE
21MSWQ_WQX-303ARK04,-90.038361,34.711778,8030204,Coldwater,ARKABUTLA LAKE
NARS_WQX-NLA06608-0432,-90.0717,34.720922,8030204,Coldwater,Arkabutla Lake
