USGS_gage,Long,Lat,HUC8,Watershed,Site_name
7268000,-89.2244444,34.4825,8030201,Little Tallahatchie,Little Tallahatchie River at Etta MS
7268500,-89.2902778,34.44194444,8030201,Little Tallahatchie,Cypress Creek near Etta MS 
7275530,-89.9819444,34.21388889,8030203,Yocona,Peters (Long) Creek near Pope MS 
7274252,-89.6525,34.14416667,8030203,Yocona,Otoucalofa Creek at Canal near Water Valley MS 
7275900,-89.7533333,34.9075,8030204,Coldwater,Coldwater River near Olive Branch MS 
7277000,-89.8224206,34.83031955,8030204,Coldwater,Pigeonroost Creek near Lewisburg MS 
7277700,-89.9244444,34.63194444,8030204,Coldwater,Hickahala Creek near Senatobia MS 
7277730,-89.9413889,34.61666667,8030204,Coldwater,Senatobia Creek near Senatobia MS 
7280270,-89.9534225,33.99455758,8030202,Tallahatchie,Tillatoba Creek below Oakland MS 
7280340,-89.9792558,33.97844676,8030202,Tallahatchie,South Fork Tillatoba Creek near Charleston MS 
7280400,-90.065,34,8030202,Tallahatchie,Tillatoba Creek at Charleston MS 
7282100,-89.3458333,33.8147222,8030205,Yalobusha,Topashaw Creek Canal near Calhoun City MS
7282500,-89.6150817,33.81622687,8030205,Yalobusha,Yalobusha River at Graysport MS
7283000,-89.3477778,33.9736111,8030205,Yalobusha,Skuna River at Bruce MS
7285400,-89.7875859,33.77400485,8030205,Yalobusha,Batupan Bogue at Grenada MS
7287355,-90.1961111,33.13805556,8030206,Upper Yazoo,Fannegusha Creek near Howard MS
7287150,-90.1513889,33.34,8030206,Upper Yazoo,Abiaca Creek near Seven Pines MS
7287160,-90.2372222,33.34166667,8030206,Upper Yazoo,Abiaca Creek at Cruger MS
7287400,-90.0533333,33.10527778,8030206,Upper Yazoo,Black Creek at Lexington MS
7287404,-90.1734194,33.10179419,8030206,Upper Yazoo,Harland Creek near Howard MS
7287405,-90.191197,33.1195715,8030206,Upper Yazoo,Black Creek at Howard MS
ARS-MSGC-MSGC04,-89.87370253,34.25774239,8030203,Yocona,MSGC04
ARS-MSGC-MSGC_WQ_2-13,-89.87346729,34.25983268,8030203,Yocona,MSGC_WQ_2-13
ARS-MSGC-MSGC_WQ_2-15,-89.8603065,34.26468286,8030203,Yocona,MSGC_WQ_2-15
ARS-MSGC-MSGC_WQ_2-5,-89.9093076,34.23662836,8030203,Yocona,MSGC_WQ_2-5
ARS-MSGC-MSGC_WQ_2-9,-89.89807384,34.25128702,8030203,Yocona,MSGC_WQ_2-9
NARS_WQX-OWW04440-0473,-89.478962,33.857712,8030205,Yalobusha,COLES CREEK
NARS_WQX-OWW04440-0985,-89.391517,34.858474,8030204,Coldwater,COLDWATER RIVER
