USGS_gage,Long,Lat,HUC8,Watershed,Site_name
USGS-07288000,-90.575099,34.19733086,8030207,Big Sunflower,Big Sunflower River at Clarksdale MS
USGS-07288200,-90.610651,33.88177916,8030207,Big Sunflower,Big Sunflower River near Lombardy MS
USGS-07288280,-90.67,33.8325,8030207,Big Sunflower,Big Sunflower River near Merigold MS
USGS-07288500,-90.5431441,33.5473397,8030207,Big Sunflower,Big Sunflower River at Sunflower MS
USGS-07288555,-90.5194444,33.7133333,8030207,Big Sunflower,Quiver River Southeast Ruleville MS
USGS-0728862211,-90.5102778,33.35777778,8030207,Big Sunflower,Browns Bayou near Inverness MS
USGS-07288650,-90.8477778,33.39666667,8030207,Big Sunflower,Bogue Phalia near Leland MS
USGS-07288700,-90.7778758,32.9717936,8030207,Big Sunflower,Big Sunflower River near Anguilla MS
USGS-0728875070,-90.8919444,33.4011111,8030209,Deer-Steele,Deer Creek East of Leland MS
USGS-0330548000000000,-91.0975,33.09666667,8030209,Deer-Steele,Lake Washington Tributary at Stein Road near Chatham MS
USGS-0324322000000000,-91.0130556,32.72277778,8030100,Lower Mississippi-Greenville,Steele Bayou Tributary No 28 near Fitler MS
ARS-MSBL-MSBL101,-90.67049901,33.40294729,8030207,Big Sunflower,MSBL101
ARS-MSBL-MSBL102,-90.67639005,33.39833625,8030207,Big Sunflower,MSBL102
ARS-MSBL-MSBL103,-90.6840254,33.39712962,8030207,Big Sunflower,MSBL103
NARS_WQX-OWW04440-0773,-90.781245,33.23392,8030207,Big Sunflower,BOGUE PHALIA
USGS-07288000,-90.575099,34.197331,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT CLARKSDALE, MS"
USGS-07288003,-90.574543,34.184553,8030207,Big Sunflower,"SEWAGE DISPOSAL DITCH NEAR CLARKSDALE, MISS."
USGS-07288010,-90.549722,34.156389,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT HOPSON SPUR, MS"
USGS-07288036,-90.565931,34.102332,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NEAR MATTSON, MISS."
USGS-07288048,-90.700194,34.209222,8030207,Big Sunflower,"RICHIES BAYOU AT SHERARD, MS"
USGS-07288068,-90.624944,34.07475,8030207,Big Sunflower,"HARRIS BAYOU AT PALMER RD EAST OF ALLIGATOR, MS"
USGS-07288070,-90.581764,34.08511,8030207,Big Sunflower,"HARRIS BAYOU NEAR COUNTS, MISS."
USGS-07288080,-90.589542,34.064555,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT HARVEYS CHAPEL, MISS."
USGS-07288094,-90.638372,34.018686,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT JOHNSON RD NR ROUNDAWAY, MS"
USGS-07288095,-90.638431,34.018166,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NEAR ROUNDAWAY, MISS."
USGS-07288140,-90.696211,34.053999,8030207,Big Sunflower,"HOWDEN LAKE NEAR DUNCAN, MS"
USGS-07288185,-90.594263,33.983445,8030207,Big Sunflower,"BLACK BAYOU AT BALTZER, MISS."
USGS-07288190,-90.627319,33.951223,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NEAR BALTZER, MISS."
USGS-07288200,-90.610651,33.881779,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NEAR LOMBARDY, MISS."
USGS-07288280,-90.67,33.8325,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NR MERIGOLD, MS"
USGS-07288355,-90.699541,33.77678,8030207,Big Sunflower,"LEAD BAYOU NEAR RENOVA, MISS."
USGS-07288357,-90.676762,33.732892,8030207,Big Sunflower,"LEAD BAYOU NEAR CLEVELAND, MISS."
USGS-07288359,-90.71593,33.762058,8030207,Big Sunflower,"SEWAGE DISPOSAL DITCH NEAR RENOVA, MISS."
USGS-07288360,-90.711208,33.762058,8030207,Big Sunflower,"SEWAGE DISPOSAL DITCH AT CLEVELAND, MISS."
USGS-07288361,-90.580119,33.724081,8030207,Big Sunflower,"DOUGHERTY BAYOU BELOW HWY 8 NEAR RULEVILLE, MS"
USGS-07288362,-90.696762,33.732891,8030207,Big Sunflower,"LEAD BAYOU TRIBUTARY NO. 1 NEAR CLEVELAND, MISS."
USGS-07288363,-90.680095,33.71817,8030207,Big Sunflower,"LEAD BAYOU TRIBUTARY NO. 1 NEAR BOYLE, MISS."
USGS-07288364,-90.678428,33.704003,8030207,Big Sunflower,"LEAD BAYOU TRIBUTARY NO. 2 NEAR BOYLE, MISS."
USGS-07288365,-90.642872,33.718725,8030207,Big Sunflower,"LEAD BAYOU NR BOYLE, MS"
USGS-07288366,-90.59926,33.717337,8030207,Big Sunflower,"HORSESHOE BAYOU NR RULEVILLE, MS"
USGS-07288500,-90.543144,33.54734,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT SUNFLOWER, MS"
