"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07266010","LITTLE TALLAHATCHIE RIVER AB NEW ALBANY, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.5059347,-88.9961747,NA,5,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07266520","LITTLE TALLAHATCHIE RIVER AT NEW ALBANY, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.4951016,-89.0133975,NA,5,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07266860","LITTLE TALLAHATCHIE RIVER NR INGOMAR, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.4637134,-89.0564545,NA,5,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-341915089561101","R0090  PANOLA","Well",NA,"08030201",NA,NA,NA,NA,34.3194722,-89.9369889,24000,0.1,"seconds","Differentially corrected Global Positioning System.","NAD83",261,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US","28","107","Mississippi embayment aquifer system","Cenozoic Erathem","Confined single aquifer",19900214,1079,"ft",1200,"ft","NWIS"
"21MSWQ","MS Dept. of Environmental Quality","21MSWQ-YZ606","SNOW LAKE","Lake","NEAR ASHLAND-","08030201",NA,NA,NA,NA,34.8185,-89.239694,NA,NA,NA,"Unknown","UNKWN",0,"ft",NA,NA,NA,"Unknown","US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"21MSWQ","MS Dept. of Environmental Quality","21MSWQ-YZ612","CHEWALLA LAKE","Lake","NEAR POTTS CAMP-","08030201",NA,NA,NA,NA,34.732,-89.336277,NA,NA,NA,"Unknown","UNKWN",0,"ft",NA,NA,NA,"Unknown","US","28","093",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"21MSWQ","MS Dept. of Environmental Quality","21MSWQ-YZ613","LOWER LAKE","Lake","NEAR SARDIS-","08030201",NA,NA,NA,NA,34.4067222,-89.808833,NA,NA,NA,"Unknown","UNKWN",0,"ft",NA,NA,NA,"Unknown","US","28","107",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"21MSWQ_WQX","MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY","21MSWQ_WQX-07268000","LITTLE TALLAHATCHIE RIVER","River/Stream","AT ETTA AT HWY 30","08030201",NA,NA,NA,NA,34.48233333,-89.22433333,24000,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"21MSWQ_WQX","MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY","21MSWQ_WQX-111F06","LITTLE SPRING CREEK","River/Stream","UPSTREAM OF  MALONE AT CALLICUTT ROAD BRIDGE","08030201",NA,NA,NA,NA,34.577168,-89.474856,24000,40,"ft","Interpolation-Map","WGS84",NA,NA,NA,NA,NA,NA,"US","28","093",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"21MSWQ_WQX","MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY","21MSWQ_WQX-112A21","OAKLIMETER CREEK","River/Stream","NEAR POTTS CAMP UPSTREAM OF HWY 349","08030201",NA,NA,NA,NA,34.640739,-89.30753,24000,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US","28","093",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
