"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07266860","LITTLE TALLAHATCHIE RIVER NR INGOMAR, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.4637134,-89.0564545,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07268000","LITTLE TALLAHATCHIE RIVER AT ETTA, MS","Stream",NA,"08030201",526,"sq mi",526,"sq mi",34.4825,-89.2244444,24000,"0.5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",273,"feet",10,"feet","Reported method of determination.","NGVD29","US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07268200","FICE CREEK AT ETTA, MISS.","Stream",NA,"08030201",9.09,"sq mi",NA,NA,34.472325,-89.2361835,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07268500","CYPRESS CREEK NR ETTA, MS","Stream",NA,"08030201",28.5,"sq mi",28.5,"sq mi",34.4419444,-89.2902778,24000,"0.5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",319.9,"feet",0.1,"feet","Level or other surveyed method.","NGVD29","US","28","071",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07268510","PUSKUS CREEK NR ETTA, MS","Stream",NA,"08030201",NA,NA,NA,NA,34.4451038,-89.3325756,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","071",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07268750","WOLF CREEK NEAR ETTA, MS.","Stream",NA,"08030201",7.14,"sq mi",NA,NA,34.4939916,-89.3175752,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","071",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269400","SHELBY CREEK NEAR GRAVESTOWN, MS.","Stream",NA,"08030201",18.98,"sq mi",NA,NA,34.7514849,-89.1025676,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269650","CURTIS CREEK NEAR ASHLAND, MS.","Stream",NA,"08030201",5.8,"sq mi",NA,NA,34.759818,-89.1172903,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269700","YELLOW RABBIT CREEK NEAR ASHLAND, MS.","Stream",NA,"08030201",16.25,"sq mi",NA,NA,34.7559293,-89.1467358,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269790","RHODEN CREEK NEAR PINE GROVE, MS.","Stream",NA,"08030201",7.73,"sq mi",NA,NA,34.7562071,-89.1703477,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269815","SNOW CREEK NEAR PINE GROVE, MS.","Stream",NA,"08030201",48.4,"sq mi",NA,NA,34.7231525,-89.2350723,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269850","CHILLI CREEK NEAR PINE GROVE, MS.","Stream",NA,"08030201",18.86,"sq mi",NA,NA,34.7070417,-89.2281276,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269878","OAKLIMETER CREEK NEAR HICKORY FLAT, MS.","Stream",NA,"08030201",11.15,"sq mi",NA,NA,34.62275,-89.1503056,24000,"0.5","seconds","Interpolated from Digital MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07269879","PECHAHALEE CREEK NEAR HICKORY FLAT, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.6273214,-89.2309055,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07270000","POTTS CREEK NR POTTS CAMP, MS.","Stream",NA,"08030201",8.26,"sq mi",NA,NA,34.5945449,-89.3334088,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","093",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07270200","MILLS CREEK NEAR CORNERSVILLE, MS.","Stream",NA,"08030201",20.24,"sq mi",NA,NA,34.5251017,-89.2503508,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","093",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07270500","BAGLEY CREEK NEAR ABBEVILLE, MISS.","Stream",NA,"08030201",9.96,"sq mi",NA,NA,34.505103,-89.4148006,NA,"5","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","071",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-342050089384901","E0116  LAFAYETTE","Well",NA,"08030201",NA,NA,NA,NA,34.3472222,-89.6469444,NA,"1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",310,"feet",10,"feet","Global Positioning System.","NGVD29","US","28","071","Mississippi embayment aquifer system","Tallahatta Formation","Unconfined single aquifer",20100929,22,"ft",23,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-342111089124401","A0048  PONTOTOC","Well",NA,"08030201",NA,NA,NA,NA,34.3576389,-89.2206889,NA,"0.1","seconds","Differentially corrected Global Positioning System.","NAD83",470,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US","28","115","Southeastern Coastal Plain aquifer system","Ripley Formation",NA,19800128,625,"ft",658,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-342434089012301","M0031  UNION","Well",NA,"08030201",NA,NA,NA,NA,34.410225,-89.0184278,NA,"0.1","seconds","Differentially corrected Global Positioning System.","NAD83",410,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US","28","145","Southeastern Coastal Plain aquifer system","Gordo Formation",NA,19730101,1180,"ft",NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-342921089341201","A0029  LAFAYETTE","Well",NA,"08030201",NA,NA,NA,NA,34.4900278,-89.5695306,NA,"0.1","seconds","Differentially corrected Global Positioning System.","NAD83",350,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US","28","071","Mississippi embayment aquifer system","Meridian-Upper Wilcox Aquifer",NA,19770515,337,"ft",NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-343000089032901","G0024  UNION","Well",NA,"08030201",NA,NA,NA,NA,34.5001017,-89.0581214,NA,"1","minutes","Interpolated from MAP.","NAD83",380,"feet",10,"feet","Unknown.","NGVD29","US","28","145","Southeastern Coastal Plain aquifer system","Ripley Formation",NA,19700101,310,"ft",NA,NA,"NWIS"
