#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	10s	170s	26s	18s	0s	12s	12s	11s	0s	10s	41s	10s
00572	Biological	Biomass, periphyton, ash weight, grams per square meter	Not checked			Ash Weight				 	Biomass, periphyton	g/m2
00573	Biological	Biomass, periphyton, dry weight, grams per square meter	Not checked			Dry				 	Biomass, periphyton	g/m2
01340	Biological	Dead fish, severity, code	Not checked							 	Dead fish, severity	code
01371	Biological	Average length of biological tissue samples in composite, centimeters	Agree							 	 	cm
01373	Biological	Average weight of biological tissue samples in composite, grams	Agree							 	 	g
31720	Biological	Bighead carp (Hypophthalmichthys nobilis), count of tagged fish per hour (count may include repeats of same fish)	Not checked					Total		 	Hypophthalmichthys nobilis	count/hr
31721	Biological	Silver carp (Hypophthalmichthys molitrix), count of tagged fish per hour (count may include repeats of same fish)	Not checked					Total		 	Hypophthalmichthys molitrix	count/hr
31722	Biological	Hybrid asian carp (Hypophthalmichthys nobliis and Hypophthalmichthys molitrix hybrids), count of tagged fish per hour (count may include repeats of same fish)	Not checked					Total		 	 	count/hr
31723	Biological	Sum of bighead, silver and hybrid carp, count of tagged fish per hour (count may include repeats of same fish)	Not checked					Total		 	 	count/hr
31724	Biological	Shovelnose sturgeon (Scaphirhynchus platorynchus), count of tagged fish per hour (count may include repeats of same fish)	Not checked					Total		 	Scaphirhynchus platorynchus	count/hr
31725	Biological	Bighead carp (Hypophthalmichthys nobilis), count of unique tagged fish per hour (same fish are not counted more than once per hour)	Not checked					Total		 	Hypophthalmichthys nobilis	count/hr
31726	Biological	Silver carp (Hypophthalmichthys molitrix), count of unique tagged fish per hour (same fish are not counted more than once per hour)	Not checked					Total		 	Hypophthalmichthys molitrix	count/hr
31727	Biological	Hybrid asian carp (Hypophthalmichthys nobliis and Hypophthalmichthys molitrix hybrids), count of unique tagged fish per hour (same fish are not counted more than once per	Not checked					Total		 	 	count/hr
31728	Biological	Sum of bighead, silver and hybrid carp, count of unique tagged fish per hour (same fish are not counted more than once per hour)	Not checked					Total		 	 	count/hr
31729	Biological	Shovelnose sturgeon (Scaphirhynchus platorynchus), count of unique tagged fish per hour (same fish are not counted more than once per hour)	Not checked					Total		 	Scaphirhynchus platorynchus	count/hr
31733	Biological	Chytrid fungus (Batrachochytrium dendrobatidis), water, quantitative polymerase chain reaction (qPCR) method, copies per milliliter	Not checked					Recoverable		 	 	cp/mL
