#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	11s	165s	26s	18s	7s	3s	9s	12s	8s	12s	35s	10s
00001	Information	Location in cross section, distance from right bank looking upstream, feet	Agree							 	 	ft
00002	Information	Location in cross section, distance from right bank looking upstream, percent	Agree							 	 	%
00003	Information	Sampling depth, feet	Agree							 	 	ft
00005	Information	Location in cross section, fraction of total depth, percent	Agree					Total		 	 	%
00008	Information	Sample accounting number	Agree							 	 	nu
00009	Information	Location in cross section, distance from left bank looking downstream, feet	Agree							 	 	ft
00022	Information	Duration of exposure, sample or test, days	Agree							 	 	days
00023	Information	Sample weight, pounds	Agree							 	 	lb
00024	Information	Sample length, inches	Agree							 	 	in
00028	Information	Agency analyzing sample, code	Agree							 	 	code
00029	Information	Project number	Not agree							 	 	nu
00041	Information	Weather, World Meteorological Organization (WMO) code	Not agree							 	 	WMO code
00042	Information	Altitude, feet above mean sea level	Agree							 	Altitude	ft abv MSL
00054	Information	Reservoir storage, acre feet	Agree							 	Reservoir storage	ac-ft
00063	Information	Number of sampling points, count	Agree							 	 	count
00098	Information	Sampling depth, meters	Agree							 	 	m
00100	Information	Time of travel, hours	Agree							 	 	hours
00115	Information	Sample treatment, code	Agree							 	 	code
00132	Information	Dry days before precipitation event, days	Agree							 	Dry period preceding precipitation	days
00134	Information	Storm event serial number	Agree							 	 	nu
00135	Information	Elapsed time of storm, hours	Not checked							 	 	hours
00206	Information	Collector area, wet deposition, square meters	Agree							 	 	m2
00207	Information	Collector area, dry deposition, square meters	Agree							 	 	m2
04117	Information	Tether line used for collecting sample (yes=1), code	Not checked							 	 	code
04118	Information	Composited samples in cross-sectional bedload measurement, number	Agree							 	 	nu
04119	Information	Verticals in composite sample, number	Agree							 	 	nu
04120	Information	Rest time on bed for bed load sample, seconds	Agree							 	 	seconds
04121	Information	Horizontal width of vertical, feet	Agree							 	 	ft
30215	Information	Signal, sediment, Markland meter, count	Agree							 	 	count
30216	Information	Voltage, hazard trip switch, volts	Agree							 	 	volts
30333	Information	Bag mesh size, bedload sampler, millimeters	Agree							 	 	mm
32000	Information	Sample volume, liters	Agree							 	 	l
32001	Information	Sample volume, gallons	Agree							 	 	gal
32002	Information	Sample volume, milliliters	Agree							 	 	ml
32325	Information	Dark measurement spectral average, water, in situ, ultraviolet nitrate analyzer, raw counts	Not checked					Total		 	 	count
32326	Information	Light measurement spectral average, water, in situ, ultraviolet nitrate analyzer, raw counts	Not checked					Total		 	 	count
32331	Information	Absorption spectral slope (Sag), wavelengths 412 to 600 nm, unitless	Not checked					Dissolved		 	 	None
45584	Information	Gate opening, width, meters	Agree							 	 	m
45585	Information	Gate opening, width, feet	Agree							 	 	ft
45586	Information	Lockage, count of lock openings, units	Agree							 	 	units
45587	Information	Temperature, internal, within data collection platform, degrees Celsius	Agree							 	 	deg C
45588	Information	Temperature, internal, within data collection platform, degrees Fahrenheit	Agree							 	 	deg F
45589	Information	Temperature, internal, within equipment shelter, degrees Celsius	Agree							 	 	deg C
45590	Information	Temperature, internal, within equipment shelter, degrees Fahrenheit	Agree							 	 	deg F
45591	Information	Gate opening, height, meters	Agree							 	 	m
45592	Information	Gate opening, height, feet	Agree							 	 	ft
45700	Information	Gate openings, reservoir, all gates, feet	Agree							 	 	ft
49261	Information	alpha-HCH-d6, surrogate, biota, whole organism, percent recovery	Not agree							86194-41-4	 	%
49264	Information	PCB congener 14, surrogate, biota, whole organism, percent recovery	Agree							34883-41-5	 	%
49275	Information	alpha-HCH-d6, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	Not agree				< 2 mm	Bed Sediment		86194-41-4	 	%
49276	Information	PCB congener 204, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	Not agree				< 2 mm	Bed Sediment		74472-52-9	 	%
49277	Information	PCB congener 14, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	Not agree				< 2 mm	Bed Sediment		34883-41-5	 	%
49278	Information	p-Terphenyl-d14, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	Not agree				< 2 mm	Bed Sediment		1718-51-0	 	%
49279	Information	2-Fluorobiphenyl, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	Not agree				< 2 mm	Bed Sediment		321-60-8	 	%
49280	Information	Nitrobenzene-d5, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	Not agree				< 2 mm	Bed Sediment		4165-60-0	 	%
49281	Information	Location in cross section, distance from left bank looking downstream, percent	Agree							 	 	%
49956	Information	Distance, observation point to sample location, feet	Agree							 	Distance	ft
49957	Information	Distance, horizontal, observation point to sampling location, feet	Agree							 	Distance	ft
49958	Information	Angle, vertical, observation point to sampling location, degrees	Agree							 	 	Deg
49959	Information	Azimuth, observation point to sampling location, degrees	Agree							 	 	Deg
50014	Information	Transit rate, sampler, minimum, feet per second	Agree	Minimum						 	 	ft/sec
50015	Information	Transit rate, sampler, feet per second	Agree							 	 	ft/sec
50016	Information	Transit rate, sampler, maximum, feet per second	Agree	Maximum						 	 	ft/sec
50055	Information	Depth of flow in pipe or conduit, inches	Agree							 	Depth	in
50276	Information	Filter type, code	Not checked							 	 	code
50277	Information	Method, sample separation, code	Not checked							 	 	code
50280	Information	Site visit purpose, code	Not checked							 	 	code
50292	Information	Gain control, automatic receiver, acoustic velocity meter, decibels	Agree							 	 	dB
50293	Information	Velocity samplings, good, average stored, acoustic velocity meter, percent	Agree							 	 	%
50294	Information	Diagnostic code, tattler, acoustic velocity meter, number	Agree							 	 	nu
50414	Information	Distance, observation point to stream bottom, meters	Agree							 	Distance	m
50415	Information	Distance, observation point to stream bottom, feet	Agree							 	Distance	ft
50416	Information	Distance, observation point to sampling location, meters	Agree							 	Distance	m
50417	Information	Distance, observation point to sampling location, feet	Agree							 	Distance	ft
50418	Information	Azimuth, observation point to sample location, degrees	Agree							 	 	Deg
50419	Information	Angle, vertical, observation point to sampling location, degrees	Agree							 	 	Deg
51102	Information	Sample weight, surfactants method, solids, grams	Not checked							 	 	g
51918	Information	11-Ketotestosterone, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		564-35-2	 	%
51919	Information	17-alpha-Estradiol, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		57-91-0	 	%
51920	Information	17-alpha-Ethynylestradiol, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		57-63-6	 	%
51921	Information	17-beta-Estradiol, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		50-28-2	 	%
51922	Information	19-Norethindrone, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		68-22-4	 	%
51923	Information	4-Androstene-3,17-dione, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		63-05-8	 	%
51924	Information	trans-Diethylstilbestrol, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		56-53-1	 	%
51925	Information	Equilin, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		474-86-2	 	%
51926	Information	Equilenin, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		517-09-9	 	%
51927	Information	Estriol, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		50-27-1	 	%
51928	Information	Estrone, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		53-16-7	 	%
51929	Information	Norgestimate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		35189-28-7	 	%
51930	Information	Progesterone, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		57-83-0	 	%
51931	Information	6-alpha-Methyl-17-alpha-hydroxyprogesterone, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		 	 	%
51932	Information	Testosterone, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		58-22-0	 	%
51933	Information	Epitestosterone, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		481-30-1	 	%
51934	Information	Trenbolone, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		10161-33-8	 	%
51935	Information	17-beta-Estradiol 3-sulfate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		481-96-0	 	%
51936	Information	17-beta-Estradiol 17-sulfate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		3233-69-0	 	%
51937	Information	Androsterone sulfate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		2479-86-9	 	%
51938	Information	Equilenin sulfate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		 	 	%
51939	Information	Equilin sulfate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		 	 	%
51940	Information	Estriol 3-sulfate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		481-95-8	 	%
51941	Information	Estriol 17-sulfate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		42028-21-7	 	%
51942	Information	Estrone 3-sulfate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		481-97-0	 	%
51943	Information	Ethinylestradiol 3-sulfate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		24560-70-1	 	%
51944	Information	Testosterone sulfate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		 	 	%
51945	Information	17-beta-Estradiol 17-glucuronide, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		1806-98-0	 	%
51946	Information	Androsterone glucuronide, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		1852-43-3	 	%
51947	Information	Diethylstilbesterol glucuronide, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		2408-40-4	 	%
51948	Information	Estriol 3-glucuronide, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		2479-91-6	 	%
51949	Information	Estrone glucuronide, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		2479-90-5	 	%
51950	Information	Ethenylestradiol 3-glucuronide, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		 	 	%
51951	Information	Genistein, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		446-72-0	 	%
51952	Information	Daidzein, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		486-66-8	 	%
51953	Information	Formonentin, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		485-72-3	 	%
51954	Information	Coumesterol, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		479-13-0	 	%
51955	Information	Equol, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		531-95-3	 	%
51956	Information	Biochanin A, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		491-80-5	 	%
51957	Information	Glyphosate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		1071-83-6	 	%
51958	Information	Aminomethylphosphonic acid (AMPA), spike, water, filtered, apparent percent recovery	Not checked					Dissolved		77182-82-2	 	%
51959	Information	Glufosinate, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		51276-47-2	 	%
51960	Information	Azithromycin, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		117772-70-0	 	%
51961	Information	Carbamazepine, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		298-46-4	 	%
51962	Information	Chloroamphenicol, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		56-75-7	 	%
51963	Information	Chlorotetracycline, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		64-72-2	 	%
51964	Information	Ciprofloxacin, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		85721-33-1	 	%
51965	Information	Doxycycline, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		564-25-0	 	%
51966	Information	Enrofloxacin, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		93106-60-6	 	%
51967	Information	Epichlorotetracycline, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		 	 	%
51968	Information	Epiisochlorotetracycline, spike, water, filtered, apparent percent recovery	Not checked					Dissolved		 	 	%
