#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	25s	131s	26s	0s	0s	3s	14s	12s	0s	9s	29s	10s
00910	Inorganics, Major, Metals	Calcium, water, unfiltered, milligrams per liter as calcium carbonate	Not checked					Total		7440-70-2	Calcium	mg/l CaCO3
00915	Inorganics, Major, Metals	Calcium, water, filtered, milligrams per liter	Agree					Dissolved		7440-70-2	Calcium	mg/l
00916	Inorganics, Major, Metals	Calcium, water, unfiltered, recoverable, milligrams per liter	Not checked					Recoverable		7440-70-2	Calcium	mg/l
00917	Inorganics, Major, Metals	Calcium, bed sediment, recoverable, dry weight, milligrams per kilogram	Agree			Dry		Bed Sediment		7440-70-2	Calcium	mg/kg
00918	Inorganics, Major, Metals	Calcium, water, unfiltered, recoverable, milligrams per liter	Agree					Recoverable		7440-70-2	Calcium	mg/l
00920	Inorganics, Major, Metals	Magnesium, water, unfiltered, milligrams per liter as calcium carbonate	Not checked					Total		7439-95-4	Magnesium	mg/l CaCO3
00921	Inorganics, Major, Metals	Magnesium, water, unfiltered, recoverable, milligrams per liter	Agree					Recoverable		7439-95-4	Magnesium	mg/l
00923	Inorganics, Major, Metals	Sodium, water, unfiltered, recoverable, milligrams per liter	Agree					Recoverable		7440-23-5	Sodium	mg/l
00924	Inorganics, Major, Metals	Magnesium, bed sediment, recoverable, dry weight, milligrams per kilogram	Agree			Dry		Bed Sediment		7439-95-4	Magnesium	mg/kg
00925	Inorganics, Major, Metals	Magnesium, water, filtered, milligrams per liter	Agree					Dissolved		7439-95-4	Magnesium	mg/l
00926	Inorganics, Major, Metals	Magnesium, suspended sediment, total, milligrams per liter	Agree					Suspended		7439-95-4	Magnesium	mg/l
00927	Inorganics, Major, Metals	Magnesium, water, unfiltered, recoverable, milligrams per liter	Not checked					Recoverable		7439-95-4	Magnesium	mg/l
00929	Inorganics, Major, Metals	Sodium, water, unfiltered, recoverable, milligrams per liter	Not checked					Recoverable		7440-23-5	Sodium	mg/l
00930	Inorganics, Major, Metals	Sodium, water, filtered, milligrams per liter	Agree					Dissolved		7440-23-5	Sodium	mg/l
00931	Inorganics, Major, Metals	Sodium adsorption ratio (SAR), water, number	Agree							 	Sodium adsorption ratio	None
00932	Inorganics, Major, Metals	Sodium fraction of cations, water, percent in equivalents of major cations	Agree							 	Sodium, percent total cations	%
00933	Inorganics, Major, Metals	Sodium plus potassium, water, filtered, milligrams per liter as sodium	Not checked					Dissolved		 	Sodium plus potassium	mg/l as Na
00934	Inorganics, Major, Metals	Sodium, bed sediment, recoverable, dry weight, milligrams per kilogram	Agree			Dry		Bed Sediment		7440-23-5	Sodium	mg/kg
00935	Inorganics, Major, Metals	Potassium, water, filtered, milligrams per liter	Agree					Dissolved		7440-09-7	Potassium	mg/l
00937	Inorganics, Major, Metals	Potassium, water, unfiltered, recoverable, milligrams per liter	Not checked					Recoverable		7440-09-7	Potassium	mg/l
00938	Inorganics, Major, Metals	Potassium, bed sediment, recoverable, dry weight, milligrams per kilogram	Agree			Dry		Bed Sediment		7440-09-7	Potassium	mg/kg
00939	Inorganics, Major, Metals	Potassium, water, unfiltered, recoverable, milligrams per liter	Agree					Recoverable		7440-09-7	Potassium	mg/l
01430	Inorganics, Major, Metals	Calcium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram	USGS use and no use by EPA			Dry	< 2 mm	Bed Sediment		7440-70-2	Calcium	mg/kg
01433	Inorganics, Major, Metals	Magnesium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram	USGS use and no use by EPA			Dry	< 2 mm	Bed Sediment		7439-95-4	Magnesium	mg/kg
01435	Inorganics, Major, Metals	Potassium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram	USGS use and no use by EPA			Dry	< 2 mm	Bed Sediment		7440-09-7	Potassium	mg/kg
01437	Inorganics, Major, Metals	Sodium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram	USGS use and no use by EPA			Dry	< 2 mm	Bed Sediment		7440-23-5	Sodium	mg/kg
01474	Inorganics, Major, Metals	Sodium, bed sediment, total digestion, dry weight, percent	Not checked			Dry		Bed Sediment		7440-23-5	Sodium	%
01475	Inorganics, Major, Metals	Potassium, bed sediment, total digestion, dry weight, percent	Not checked			Dry		Bed Sediment		7440-09-7	Potassium	%
01476	Inorganics, Major, Metals	Calcium, bed sediment, total digestion, dry weight, percent	Not checked			Dry		Bed Sediment		7440-70-2	Calcium	%
01477	Inorganics, Major, Metals	Magnesium, bed sediment, total digestion, dry weight, percent	Not checked			Dry		Bed Sediment		7439-95-4	Magnesium	%
03932	Inorganics, Major, Metals	Magnesium, bed sediment smaller than 62.5 microns, wet sieved, laboratory, total digestion, dry weight, percent	Not checked			Dry	< 0.0625	Bed Sediment		7439-95-4	Magnesium	%
03935	Inorganics, Major, Metals	Potassium, bed sediment smaller than 62.5 microns, wet sieved, laboratory, total digestion, dry weight, percent	Not checked			Dry	< 0.0625	Bed Sediment		7440-09-7	Potassium	%
03943	Inorganics, Major, Metals	Sodium, bed sediment smaller than 62.5 microns, wet sieved, laboratory, total digestion, dry weight, percent	Not checked			Dry	< 0.0625	Bed Sediment		7440-23-5	Sodium	%
03954	Inorganics, Major, Metals	Calcium, bed sediment smaller than 62.5 microns, wet sieved, laboratory, total digestion, dry weight, percent	Not checked			Dry	< 0.0625	Bed Sediment		7440-70-2	Calcium	%
04050	Inorganics, Major, Metals	Calcium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, percent	Not checked			Dry	< 2 mm	Bed Sediment		7440-70-2	Calcium	%
29828	Inorganics, Major, Metals	Calcium, soil, recoverable, dry weight, milligrams per kilogram	Agree			Dry		Recoverable		7440-70-2	Calcium	mg/kg
29838	Inorganics, Major, Metals	Magnesium, soil, recoverable, dry weight, milligrams per kilogram	Agree			Dry		Recoverable		7439-95-4	Magnesium	mg/kg
29851	Inorganics, Major, Metals	Sodium, soil, recoverable, dry weight, milligrams per kilogram	Agree			Dry		Recoverable		7440-23-5	Sodium	mg/kg
30239	Inorganics, Major, Metals	Calcium, bed sediment, dry weight, percent	Agree			Dry		Bed Sediment		7440-70-2	Calcium	%
30240	Inorganics, Major, Metals	Calcium, suspended sediment, total digestion, dry weight, percent	Not checked			Dry		Suspended		7440-70-2	Calcium	%
30276	Inorganics, Major, Metals	Magnesium, bed sediment, dry weight, percent	Agree			Dry		Bed Sediment		7439-95-4	Magnesium	%
30277	Inorganics, Major, Metals	Magnesium, suspended sediment, total digestion, dry weight, percent	Not checked			Dry		Suspended		7439-95-4	Magnesium	%
30293	Inorganics, Major, Metals	Potassium, bed sediment, dry weight, percent	Agree			Dry		Bed Sediment		7440-09-7	Potassium	%
30294	Inorganics, Major, Metals	Potassium, suspended sediment, total digestion, dry weight, percent	Not checked			Dry		Suspended		7440-09-7	Potassium	%
30303	Inorganics, Major, Metals	Sodium, bed sediment, dry weight, percent	Agree			Dry		Bed Sediment		7440-23-5	Sodium	%
30304	Inorganics, Major, Metals	Sodium, suspended sediment, total digestion, dry weight, percent	Not checked			Dry		Suspended		7440-23-5	Sodium	%
34830	Inorganics, Major, Metals	Calcium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent	Not checked			Dry	< 62.5 microns	Bed Sediment		7440-70-2	Calcium	%
34831	Inorganics, Major, Metals	Calcium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, percent	Not checked			Dry	< 177 microns	Bed Sediment		7440-70-2	Calcium	%
34832	Inorganics, Major, Metals	Calcium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, percent	Not checked			Dry	< 62.5 microns	Bed Sediment		7440-70-2	Calcium	%
