#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	29s	166s	26s	0s	0s	3s	14s	14s	6s	10s	42s	10s
00191	Inorganics, Major, Non-metals	Hydrogen ion, water, unfiltered, calculated, milligrams per liter	Agree					Total		12408-02-5	Hydrogen ion	mg/l
00300	Inorganics, Major, Non-metals	Dissolved oxygen, water, unfiltered, milligrams per liter	Agree					Dissolved		7782-44-7	Oxygen	mg/l
00301	Inorganics, Major, Non-metals	Dissolved oxygen, water, unfiltered, percent of saturation	Agree					Dissolved		7782-44-7	Oxygen	% saturatn
00405	Inorganics, Major, Non-metals	Carbon dioxide, water, unfiltered, milligrams per liter	Agree					Total		124-38-9	Carbon dioxide	mg/l
00409	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, Gran titration, microequivalents per liter	Agree					Total		 	Alkalinity	ueq/L
00410	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate	Not checked					Total		 	Alkalinity	mg/l CaCO3
00411	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate	Not checked					Total		 	Alkalinity	mg/l CaCO3
00413	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, Gran titration, milligrams per liter as calcium carbonate	Agree					Total		 	Alkalinity	mg/l CaCO3
00415	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate	Not checked					Total		 	Alkalinity	mg/l CaCO3
00416	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter as calcium carbonate	Not checked					Total		 	Alkalinity	mg/l CaCO3
00417	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate	Not checked					Total		 	Alkalinity	mg/l CaCO3
00418	Inorganics, Major, Non-metals	Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate	Not checked					Dissolved		 	Alkalinity	mg/l CaCO3
00419	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate	Not checked					Total		 	Alkalinity	mg/l CaCO3
00420	Inorganics, Major, Non-metals	Hydroxide, water, unfiltered, milligrams per liter	Not checked					Total		14280-30-9	Hydroxide	mg/l
00421	Inorganics, Major, Non-metals	Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate	Not checked					Dissolved		 	Alkalinity	mg/l CaCO3
00425	Inorganics, Major, Non-metals	Bicarbonate, water, unfiltered, milligrams per liter as calcium carbonate	Not checked					Total		71-52-3	Bicarbonate	mg/l CaCO3
00430	Inorganics, Major, Non-metals	Carbonate, water, unfiltered, milligrams per liter as calcium carbonate	Not checked					Total		3812-32-6	Carbonate (CO3)	mg/l CaCO3
00431	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, milligrams per liter as calcium carbonate	Not checked					Total		 	Alkalinity	mg/l CaCO3
00435	Inorganics, Major, Non-metals	Acidity, water, unfiltered, milligrams per liter as calcium carbonate	Not checked					Total		 	Acidity	mg/l CaCO3
00436	Inorganics, Major, Non-metals	Mineral acidity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate	Not checked					Total		 	Acidity, mineral methyl orange (as CaCO3)	mg/l CaCO3
00437	Inorganics, Major, Non-metals	Carbon dioxide acidity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate	Not checked					Total		 	Acidity, total, phenolphthalein (as CaCO3)	mg/l CaCO3
00440	Inorganics, Major, Non-metals	Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter	Not checked					Total		71-52-3	Bicarbonate	mg/l
00445	Inorganics, Major, Non-metals	Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, field, milligrams per liter	Not checked					Total		3812-32-6	Carbonate (CO3)	mg/l
00446	Inorganics, Major, Non-metals	Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter	Not checked					Total		3812-32-6	Carbonate (CO3)	mg/l
00447	Inorganics, Major, Non-metals	Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter	Not checked					Total		3812-32-6	Carbonate (CO3)	mg/l
00448	Inorganics, Major, Non-metals	Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, laboratory, milligrams per liter	Not checked					Total		3812-32-6	Carbonate (CO3)	mg/l
00449	Inorganics, Major, Non-metals	Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter	Not checked					Total		71-52-3	Bicarbonate	mg/l
00450	Inorganics, Major, Non-metals	Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter	Not checked					Total		71-52-3	Bicarbonate	mg/l
00451	Inorganics, Major, Non-metals	Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter	Not checked					Total		71-52-3	Bicarbonate	mg/l
00452	Inorganics, Major, Non-metals	Carbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter	Not checked					Dissolved		3812-32-6	Carbonate (CO3)	mg/l
00453	Inorganics, Major, Non-metals	Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter	Not checked					Dissolved		71-52-3	Bicarbonate	mg/l
00682	Inorganics, Major, Non-metals	Carbon [inorganic plus organic], water, filtered, milligrams per liter	Agree					Dissolved		7440-44-0	Total Carbon	mg/l
00685	Inorganics, Major, Non-metals	Inorganic carbon, water, unfiltered, milligrams per liter	Agree					Total		 	Inorganic carbon	mg/l
00686	Inorganics, Major, Non-metals	Inorganic carbon, bed sediment, total, dry weight, grams per kilogram	Agree			Dry		Bed Sediment		 	Inorganic carbon	g/kg
00688	Inorganics, Major, Non-metals	Inorganic carbon, suspended sediment, total, milligrams per liter	Agree					Suspended		 	Inorganic carbon	mg/l
00690	Inorganics, Major, Non-metals	Carbon [inorganic plus organic], water, unfiltered, milligrams per liter	Agree					Total		7440-44-0	Total Carbon	mg/l
00691	Inorganics, Major, Non-metals	Inorganic carbon, water, filtered, milligrams per liter	Agree					Dissolved		 	Inorganic carbon	mg/l
00693	Inorganics, Major, Non-metals	Carbon [inorganic plus organic], bed sediment, total, dry weight, grams per kilogram	Agree			Dry		Bed Sediment		7440-44-0	Total Carbon	g/kg
00694	Inorganics, Major, Non-metals	Carbon [inorganic plus organic], suspended sediment, total, milligrams per liter	Agree					Suspended		7440-44-0	Total Carbon	mg/l
00737	Inorganics, Major, Non-metals	Thiosulfate, water, filtered, milligrams per liter	Agree					Dissolved		14383-50-7	Thiosulfate	mg/l
00745	Inorganics, Major, Non-metals	Sulfide, water, unfiltered, milligrams per liter	Agree					Total		18496-25-8	Sulfide	mg/l
00746	Inorganics, Major, Non-metals	Sulfide, water, filtered, milligrams per liter	Agree					Dissolved		18496-25-8	Sulfide	mg/l
00940	Inorganics, Major, Non-metals	Chloride, water, filtered, milligrams per liter	Not checked					Dissolved		16887-00-6	Chloride	mg/l
00945	Inorganics, Major, Non-metals	Sulfate, water, filtered, milligrams per liter	Not agree					Dissolved		14808-79-8	Sulfate	mg/l
00946	Inorganics, Major, Non-metals	Sulfate, water, unfiltered, milligrams per liter	Not agree					Total		14808-79-8	Sulfate	mg/l
00950	Inorganics, Major, Non-metals	Fluoride, water, filtered, milligrams per liter	Agree					Dissolved		16984-48-8	Fluoride	mg/l
00951	Inorganics, Major, Non-metals	Fluoride, water, unfiltered, milligrams per liter	Agree					Total		16984-48-8	Fluoride	mg/l
00953	Inorganics, Major, Non-metals	Fluorine, water, unfiltered, micrograms per liter	Agree					Total		7782-41-4	Fluorine	ug/l
00954	Inorganics, Major, Non-metals	Silica, water, unfiltered, recoverable, micrograms per liter as SiO2	Not checked					Recoverable		7631-86-9	Silica	ug/l
00955	Inorganics, Major, Non-metals	Silica, water, filtered, milligrams per liter as SiO2	Agree					Dissolved		7631-86-9	Silica	mg/l
00956	Inorganics, Major, Non-metals	Silica, water, unfiltered, milligrams per liter as SiO2	Agree					Total		7631-86-9	Silica	mg/l
01140	Inorganics, Major, Non-metals	Silicon, water, filtered, micrograms per liter	Agree					Dissolved		7440-21-3	Silicon	ug/l
01142	Inorganics, Major, Non-metals	Silicon, water, unfiltered, micrograms per liter	Not checked					Total		7440-21-3	Silicon	ug/l
