#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	15s	141s	26s	18s	0s	0s	0s	12s	0s	12s	32s	10s
03521	Stable Isotopes	delta carbon-13/carbon-12 of organic carbon, soil or rock, per mil	Agree							14762-74-4	Carbon-13/Carbon-12 ratio	per mil
03522	Stable Isotopes	delta sulfur-34/sulfur-32 of sulfide, water, filtered, per mil	Agree					Dissolved		 	Sulfur-34/Sulfur-32 ratio	per mil
03523	Stable Isotopes	delta sulfur-34/sulfur-32 of sulfide, bed sediment, per mil	Agree					Bed Sediment		 	Sulfur-34/Sulfur-32 ratio	per mil
49902	Stable Isotopes	delta sulfur-34/sulfur-32 of sulfide, water, filtered, per mil	Agree					Dissolved		 	Sulfur-34/Sulfur-32 ratio	per mil
49926	Stable Isotopes	delta carbon-13/carbon-12, carbon dioxide, per mil	Agree							14762-74-4	Carbon-13/Carbon-12 ratio	per mil
49927	Stable Isotopes	delta carbon-13/carbon-12, rock, per mil	Agree							14762-74-4	Carbon-13/Carbon-12 ratio	per mil
49928	Stable Isotopes	delta sulfur-34/sulfur-32 of sulfate, rock, per mil	Agree							 	Sulfur-34/Sulfur-32 ratio	per mil
49929	Stable Isotopes	delta sulfur-34/sulfur-32 of sulfide, rock, per mil	Agree							 	Sulfur-34/Sulfur-32 ratio	per mil
49930	Stable Isotopes	delta sulfur-34/sulfur-32 of disulfide, rock, per mil	Agree							 	Sulfur-34/Sulfur-32 ratio	per mil
49931	Stable Isotopes	delta sulfur-34/sulfur-32 of monosulfide, rock, per mil	Agree							 	Sulfur-34/Sulfur-32 ratio	per mil
49932	Stable Isotopes	delta sulfur-34/sulfur-32 of sulfate, water, filtered, per mil	Agree					Dissolved		 	Sulfur-34/Sulfur-32 ratio	per mil
54072	Stable Isotopes	Strontium-87 plus strontium-86, water, unfiltered, recoverable, micrograms per liter	USGS use and no use by EPA					Recoverable		 	 	ug/l
61036	Stable Isotopes	delta helium-3/helium-4, water, unfiltered, ingrowth method, percent	Agree					Total		14762-55-1	 	%
61037	Stable Isotopes	delta helium-3/helium-4 error, water, unfiltered, ingrowth method, percent	Agree	Standard Deviation				Total		14762-55-1	 	%
