#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	15s	160s	26s	0s	7s	3s	0s	12s	10s	10s	25s	10s
31501	Microbiological	Total coliforms, M-Endo MF method, immediate, water, colony forming units per 100 milliliters	Not checked					Total		 	Total coliforms	cfu/100ml
31503	Microbiological	Total coliforms, M-Endo MF method, delayed, water, colonies per 100 milliliters	Not checked					Total		 	Total coliforms	cfu/100ml
31504	Microbiological	Total coliforms, LES Endo method, immediate, water, colony forming units per 100 milliliters	Not checked					Total		 	Total coliforms	cfu/100ml
31505	Microbiological	Total coliforms, brilliant green lactose broth method, confirmed, water, most probable number per 100 milliliters	Not checked					Total		 	Total coliforms	MPN/100 ml
31507	Microbiological	Total coliforms, completed test, water, most probable number per 100 milliliters	Not checked					Total		 	Total coliforms	MPN/100 ml
31613	Microbiological	Fecal coliforms, M-FC MF (0.7 micron) method, water, colonies per 100 milliliters	Not checked							 	Fecal coliforms	cfu/100ml
31615	Microbiological	Fecal coliforms, EC broth method, water, most probable number per 100 milliliters	Not checked							 	Fecal coliforms	MPN/100 ml
31616	Microbiological	Fecal coliforms, M-FC MF (0.45 micron) method, water, colony forming units per 100 milliliters	Not checked							 	Fecal coliforms	cfu/100ml
31617	Microbiological	Fecal coliforms, Eijkman test, 44.5 degrees Celsius, water, most probable number per 100 milliliters	Not checked						44.5 deg C	 	Fecal coliforms	MPN/100 ml
31619	Microbiological	Fecal coliforms, boric acid lactose broth, 43 degrees Celsius, water, most probable number per 100 milliliters	Not checked						43 deg C	 	Fecal coliforms	MPN/100 ml
31621	Microbiological	Fecal coliforms, A-1 broth method, 44.5 degrees Celsius, 24 hours, water, most probable number per 100 milliliters	Agree		24 Hour				44.5 deg C	 	Fecal coliforms	MPN/100 ml
31625	Microbiological	Fecal coliforms, M-FC MF (0.7 micron) method, water, colony forming units per 100 milliliters	Agree							 	Fecal coliforms	cfu/100ml
31633	Microbiological	Escherichia coli, m-TEC MF method, water, colony forming units per 100 milliliters	Not checked							68583-22-2	Escherichia coli	cfu/100ml
31648	Microbiological	Escherichia coli, m-TEC MF method, water, colonies per 100 milliliters	Agree							68583-22-2	Escherichia coli	cfu/100ml
31649	Microbiological	Enterococci, m-E MF method, water, colony forming units per 100 milliliters	Agree							 	Enterococci	cfu/100ml
31673	Microbiological	Fecal streptococci, KF streptococcus MF method, water, colony forming units per 100 milliliters	Not checked							 	Fecal Streptococcus	cfu/100ml
31677	Microbiological	Fecal streptococci, azide-dextrose-ethyl-violet azide broth method, water, most probable number per 100 milliliters	Not checked							 	Fecal Streptococcus	MPN/100 ml
31678	Microbiological	Fecal streptococci, azide-dextrose-ethyl-violet azide broth method, tube configuration, water, code	Agree							 	Fecal Streptococcus	code
31679	Microbiological	Fecal streptococci, m-Enterococcus MF method, water, colonies per 100 milliliters	Not checked							 	Fecal Streptococcus	cfu/100ml
31681	Microbiological	Salmonella, water, 0.45 micron filter method, most probable number per 100 milliliters	USGS use and no use by EPA							 	Salmonella	MPN/100 ml
31682	Microbiological	Escherichia coli O157, presumptive test, water, 0.45 micron filter method, presence or absence per 500 milliliters	USGS use and no use by EPA							 	 	PrsAbs0.5L
31683	Microbiological	Escherichia coli O157, confirmed test, water, 0.45 micron filter, presence or absence per 500 milliliters	USGS use and no use by EPA							 	 	PrsAbs0.5L
31684	Microbiological	Escherichia coli, MUG method, water, presence or absence in sample	USGS use and no use by EPA							68583-22-2	Escherichia coli	PrsAbs
