#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	8s	158s	26s	0s	0s	3s	14s	12s	0s	10s	60s	10s
00597	Nutrient	Dinitrogen, water, unfiltered, milligrams per liter	Not checked					Dissolved		7727-37-9	Nitrogen	mg/l
00598	Nutrient	Dinitrogen, water, unfiltered, percent of saturation	Not checked					Dissolved		7727-37-9	Nitrogen	%
00600	Nutrient	Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter	Agree					Total		 	Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)	mg/l
00601	Nutrient	Total nitrogen [nitrate + nitrite + ammonia + organic-N], suspended sediment, total, milligrams per liter	Not checked					Suspended		 	Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)	mg/l
00602	Nutrient	Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, filtered, milligrams per liter	Agree					Dissolved		 	Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)	mg/l
00603	Nutrient	Total nitrogen [nitrate + nitrite + ammonia + organic-N], bed sediment, total, dry weight, milligrams per kilogram	Agree			Dry		Bed Sediment		 	Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)	mg/kg
00604	Nutrient	Ammonia (NH3 + NH4+), suspended sediment, total, milligrams per liter as nitrogen	Agree					Suspended		 	Ammonia and ammonium	mg/l as N
00605	Nutrient	Organic nitrogen, water, unfiltered, milligrams per liter as nitrogen	Agree					Total		 	Organic nitrogen	mg/l
00606	Nutrient	Organic nitrogen, suspended sediment, total, milligrams per liter as nitrogen	Agree					Suspended		 	Organic nitrogen	mg/l
00607	Nutrient	Organic nitrogen, water, filtered, milligrams per liter as nitrogen	Agree					Dissolved		 	Organic nitrogen	mg/l
00608	Nutrient	Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen	Agree					Dissolved		 	Ammonia and ammonium	mg/l as N
00610	Nutrient	Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as nitrogen	Agree					Total		 	Ammonia and ammonium	mg/l as N
00611	Nutrient	Ammonia (NH3 + NH4+), bed sediment, total, dry weight, milligrams per kilogram as nitrogen	Agree			Dry		Bed Sediment		 	Ammonia and ammonium	mg/kg as N
00613	Nutrient	Nitrite, water, filtered, milligrams per liter as nitrogen	Agree					Dissolved		14797-65-0	Nitrite	mg/l as N
00615	Nutrient	Nitrite, water, unfiltered, milligrams per liter as nitrogen	Agree					Total		14797-65-0	Nitrite	mg/l as N
00616	Nutrient	Nitrite, bed sediment, total, dry weight, milligrams per kilogram as nitrogen	Agree			Dry		Bed Sediment		14797-65-0	Nitrite	mg/kg as N
00618	Nutrient	Nitrate, water, filtered, milligrams per liter as nitrogen	Agree					Dissolved		14797-55-8	Nitrate	mg/l as N
00619	Nutrient	Ammonia (un-ionized), water, unfiltered, calculated, milligrams per liter as nitrogen	Not checked					Total		7664-41-7	Ammonia	mg/l as N
00620	Nutrient	Nitrate, water, unfiltered, milligrams per liter as nitrogen	Agree					Total		14797-55-8	Nitrate	mg/l as N
00621	Nutrient	Nitrate, bed sediment, total, dry weight, milligrams per kilogram as nitrogen	Agree			Dry		Bed Sediment		14797-55-8	Nitrate	mg/kg as N
00623	Nutrient	Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen	Agree					Dissolved		 	Kjeldahl nitrogen	mg/l as N
00624	Nutrient	Ammonia plus organic nitrogen, suspended sediment, total, milligrams per liter as nitrogen	Agree					Suspended		 	Kjeldahl nitrogen	mg/l as N
00625	Nutrient	Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen	Agree					Total		 	Kjeldahl nitrogen	mg/l as N
00626	Nutrient	Ammonia plus organic nitrogen, bed sediment, total, dry weight, milligrams per kilogram as nitrogen	Not agree			Dry		Bed Sediment		 	Kjeldahl nitrogen	mg/kg as N
00628	Nutrient	Nitrate plus nitrite, suspended sediment, total, milligrams per liter as nitrogen	Agree					Suspended		 	Inorganic nitrogen (nitrate and nitrite)	mg/l as N
00630	Nutrient	Nitrate plus nitrite, water, unfiltered, milligrams per liter as nitrogen	Agree					Total		 	Inorganic nitrogen (nitrate and nitrite)	mg/l as N
00631	Nutrient	Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen	Agree					Dissolved		 	Inorganic nitrogen (nitrate and nitrite)	mg/l as N
00633	Nutrient	Nitrate plus nitrite, bed sediment, total, dry weight, milligrams per kilogram as nitrogen	Agree			Dry		Bed Sediment		 	Inorganic nitrogen (nitrate and nitrite)	mg/kg as N
00635	Nutrient	Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen	Agree					Total		 	Kjeldahl nitrogen	mg/l as N
00636	Nutrient	Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen	Agree					Dissolved		 	Kjeldahl nitrogen	mg/l as N
00639	Nutrient	Albuminoid nitrogen, water, unfiltered, milligrams per liter as nitrogen	Agree					Total		 	 	mg/l as N
00650	Nutrient	Phosphate, water, unfiltered, milligrams per liter as PO4	Agree					Total		 	Phosphate-phosphorus	mg/l
00653	Nutrient	Phosphate, water, filtered, milligrams per liter as PO4	Agree					Dissolved		 	Phosphate-phosphorus	mg/l
00660	Nutrient	Orthophosphate, water, filtered, milligrams per liter as PO4	Not checked					Dissolved		14265-44-2	Phosphate	mg/l asPO4
00662	Nutrient	Phosphorus, water, unfiltered, recoverable, micrograms per liter as phosphorus	Agree					Recoverable		7723-14-0	 	ug/l as P
00665	Nutrient	Phosphorus, water, unfiltered, milligrams per liter as phosphorus	Agree					Total		7723-14-0	Phosphorus	mg/l as P
00666	Nutrient	Phosphorus, water, filtered, milligrams per liter as phosphorus	Agree					Dissolved		7723-14-0	Phosphorus	mg/l as P
00667	Nutrient	Phosphorus, suspended sediment, total, milligrams per liter as phosphorus	Agree					Suspended		7723-14-0	Phosphorus	mg/l as P
00668	Nutrient	Phosphorus, bed sediment, total, dry weight, milligrams per kilogram as phosphorus	Agree			Dry		Bed Sediment		7723-14-0	Phosphorus	mg/kg as P
00669	Nutrient	Hydrolyzable phosphorus, water, unfiltered, milligrams per liter as phosphorus	Agree					Total		 	 	mg/l as P
