#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	15s	170s	26s	7s	0s	3s	14s	12s	0s	12s	179s	10s
00550	Organics, Other	Oil and grease, water, unfiltered, recoverable, milligrams per liter	Not checked					Recoverable		 	Oil and grease -- CWA 304B	mg/l
00551	Organics, Other	Petroleum hydrocarbons, water, unfiltered, CCl4 extraction, infrared chromatography, recoverable, milligrams per liter	Not checked					Recoverable		 	Hydrocarbons, petroleum	mg/l
00552	Organics, Other	Oil and grease, water, unfiltered, hexane extraction, recoverable, milligrams per liter	Not checked					Recoverable		 	Oil and grease -- CWA 304B	mg/l
00553	Organics, Other	Oil and grease, bed sediment, hexane extraction, recoverable, dry weight, milligrams per kilogram	Not checked			Dry		Bed Sediment		 	Oil and grease -- CWA 304B	mg/kg
00556	Organics, Other	Oil and grease, water, unfiltered, freon extraction, gravimetric, recoverable, milligrams per liter	Not checked					Recoverable		 	Oil and grease -- CWA 304B	mg/l
00557	Organics, Other	Oil and grease, bed sediment, freon extraction, gravimetric, recoverable, dry weight, milligrams per kilogram	Not checked			Dry		Bed Sediment		 	Oil and grease -- CWA 304B	mg/kg
00560	Organics, Other	Oil and grease, water, unfiltered, freon extraction, electrometric infrared, recoverable, milligrams per liter	Not checked					Recoverable		 	Oil and grease -- CWA 304B	mg/l
00561	Organics, Other	Oil and grease, bed sediment, freon extraction, electrometric infrared, recoverable, dry weight, milligrams per kilogram	Not checked			Dry		Bed Sediment		 	Oil and grease -- CWA 304B	mg/kg
00680	Organics, Other	Organic carbon, water, unfiltered, milligrams per liter	Agree					Total		 	Organic carbon	mg/l
00681	Organics, Other	Organic carbon, water, filtered, milligrams per liter	Agree					Dissolved		 	Organic carbon	mg/l
00683	Organics, Other	Organic carbon, suspended sediment, dry weight, milligrams per kilogram	Agree			Dry		Suspended		 	Organic carbon	mg/kg
00687	Organics, Other	Organic carbon, bed sediment, total, dry weight, grams per kilogram	Agree			Dry		Bed Sediment		 	Organic carbon	g/kg
00689	Organics, Other	Organic carbon, suspended sediment, total, milligrams per liter	Agree					Suspended		 	Organic carbon	mg/l
00692	Organics, Other	Immiscible organic carbon, water, unfiltered, milligrams per liter	Not checked					Total		 	Organic carbon	mg/l
00697	Organics, Other	Acetic acid, water, unfiltered, recoverable, milligrams per liter	Agree					Recoverable		64-19-7	Acetic acid	mg/l
01300	Organics, Other	Oil and grease, severity, code	Not checked							 	Oil and grease -- CWA 304B	code
01395	Organics, Other	Organic carbon, bed sediment, total, dry weight, percent	USGS use and no use by EPA			Dry		Bed Sediment		 	Organic carbon	%
01423	Organics, Other	Organic carbon, soil, total, dry weight, percent	USGS use and no use by EPA			Dry		Total		 	Organic carbon	%
03923	Organics, Other	Organic carbon, bed sediment smaller than 62.5 microns, wet sieved, laboratory, total, dry weight, percent	Not checked			Dry	< 0.0625	Bed Sediment		 	Organic carbon	%
04071	Organics, Other	Organic carbon, bed sediment smaller than 62.5 microns, wet sieved (native water), total, dry weight, milligrams per kilogram	Not checked			Dry	< 62.5 microns	Bed Sediment		 	Organic carbon	mg/kg
04072	Organics, Other	Organic carbon, bed sediment smaller than 177 microns, wet sieved (native water), total, dry weight, milligrams per kilogram	Not checked			Dry	< 177 microns	Bed Sediment		 	Organic carbon	mg/kg
04073	Organics, Other	Organic carbon, bed sediment smaller than 62.5 microns, dry sieved, total, dry weight, milligrams per kilogram	Not checked			Dry	< 62.5 microns	Bed Sediment		 	Organic carbon	mg/kg
04074	Organics, Other	Organic carbon, suspended sediment smaller than 62.5 microns, wet sieved (native water), total, dry weight, milligrams per kilogram	Not checked			Dry	< 62.5 microns	Suspended		 	Organic carbon	mg/kg
04075	Organics, Other	Organic carbon, suspended sediment larger than 62.5 microns, wet sieved (native water), total, dry weight, milligrams per kilogram	Not checked			Dry	> 62.5 microns	Suspended		 	Organic carbon	mg/kg
04081	Organics, Other	Thiodiglycol, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		111-48-8	Ethanol, 2,2'-thiobis-	ug/l
04082	Organics, Other	1,2,4,5-Tetrazine, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		290-96-0	 	ug/l
04084	Organics, Other	Dimethyl methylphosphonate, water, unfiltered, recoverable, micrograms per liter	Not checked					Recoverable		756-79-6	Phosphonic acid, methyl-, dimethyl ester	ug/l
