#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	14s	151s	26s	0s	0s	3s	6s	12s	0s	10s	40s	7s
04114	Organics, PCBs	PCBs, suspended sediment, recoverable, nanograms per liter	Agree					Suspended		1336-36-3	Polychlorinated biphenyls	ng/l
04115	Organics, PCBs	PCBs, water, dissolved, recoverable, grams per day	Agree					Dissolved		1336-36-3	Polychlorinated biphenyls	g/day
04116	Organics, PCBs	PCBs, water, unfiltered, recoverable, grams per day	Agree					Recoverable		1336-36-3	Polychlorinated biphenyls	g/day
04444	Organics, PCBs	PCB congener 128, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		38380-07-3	2,2',3,3',4,4'-Hexachlorobiphenyl	ug/l
04452	Organics, PCBs	PCB congener 18, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		37680-65-2	2,2',5-Trichlorobiphenyl	ug/l
04462	Organics, PCBs	PCB congener 52, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		35693-99-3	2,2',5,5'-Tetrachlorobiphenyl	ug/l
04463	Organics, PCBs	PCB congener 49, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		41464-40-8	2,2',4,5'-Tetrachlorobiphenyl	ug/l
04465	Organics, PCBs	PCB congener 44, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		41464-39-5	2,2',3,5'-Tetrachlorobiphenyl	ug/l
04475	Organics, PCBs	PCB congener 101, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		37680-73-2	2,2',4,5,5'-Pentachlorobiphenyl	ug/l
04478	Organics, PCBs	PCB congener 87, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		38380-02-8	2,2',3,4,5'-Pentachlorobiphenyl	ug/l
04487	Organics, PCBs	PCB congener 118, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		31508-00-6	2,3',4,4',5-Pentachlorobiphenyl	ug/l
04495	Organics, PCBs	PCB congener 183, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		52663-69-1	2,2',3,4,4',5',6-Heptachlorobiphenyl	ug/l
04512	Organics, PCBs	PCB congener 180, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		35065-29-3	2,2',3,4,4',5,5'-Heptachlorobiphenyl	ug/l
04519	Organics, PCBs	PCB congener 206, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		40186-72-9	2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl	ug/l
04607	Organics, PCBs	PCB congener 8, water, unfiltered, recoverable, micrograms per liter	Not checked					Total		34883-43-7	2,4'-Dichlorobiphenyl	ug/l
04608	Organics, PCBs	PCB congener 18, water, unfiltered, recoverable, micrograms per liter	Not checked					Total		37680-65-2	2,2',5-Trichlorobiphenyl	ug/l
04609	Organics, PCBs	PCB congener 28, water, unfiltered, recoverable, micrograms per liter	Not checked					Total		7012-37-5	2,4,4'-Trichlorobiphenyl	ug/l
04610	Organics, PCBs	PCB congener 44, water, unfiltered, recoverable, micrograms per liter	Not checked					Total		41464-39-5	2,2',3,5'-Tetrachlorobiphenyl	ug/l
