#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	19s	168s	26s	7s	0s	3s	8s	12s	0s	12s	355s	10s
03801	Organics, Pesticide	Ioxynil, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		1689-83-4	Ioxynil	ug/l
04000	Organics, Pesticide	Metribuzin, bed sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Bed Sediment		21087-64-9	Metribuzin	ug/kg
04001	Organics, Pesticide	2-Chloro-6-ethylamino-4-amino-s-triazine, bed sediment, recoverable, dry weight, micrograms per kilogram	Not checked			Dry		Bed Sediment		1007-28-9	2-Chloro-6-ethylamino-4-amino-s-triazine	ug/kg
04002	Organics, Pesticide	Chlorodiamino-s-triazine, bed sediment, recoverable, dry weight, micrograms per kilogram	Not checked			Dry		Bed Sediment		3397-62-4	2-Chloro-4,6-diamino-s-triazine	ug/kg
04003	Organics, Pesticide	2-Chloro-4-isopropylamino-6-amino-s-triazine, bed sediment, recoverable, dry weight, micrograms per kilogram	Not checked			Dry		Bed Sediment		6190-65-4	2-Chloro-4-isopropylamino-6-amino-s-triazine	ug/kg
04004	Organics, Pesticide	Cyanazine, bed sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Bed Sediment		21725-46-2	Cyanazine	ug/kg
04005	Organics, Pesticide	Metolachlor, bed sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Bed Sediment		51218-45-2	Metolachlor	ug/kg
04006	Organics, Pesticide	Alachlor, bed sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Bed Sediment		15972-60-8	Alachlor	ug/kg
04007	Organics, Pesticide	Simetryn, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		1014-70-6	Simetryn	ug/kg
04008	Organics, Pesticide	Simazine, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		122-34-9	Simazine	ug/kg
04009	Organics, Pesticide	Propazine, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		139-40-2	Propazine	ug/kg
04010	Organics, Pesticide	Prometryn, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		7287-19-6	Prometryn	ug/kg
04011	Organics, Pesticide	Prometon, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		1610-18-0	Prometon	ug/kg
04012	Organics, Pesticide	Metribuzin, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		21087-64-9	Metribuzin	ug/kg
04013	Organics, Pesticide	2-Chloro-6-ethylamino-4-amino-s-triazine, suspended sediment, recoverable, dry weight, micrograms per kilogram	Not checked			Dry		Suspended		1007-28-9	2-Chloro-6-ethylamino-4-amino-s-triazine	ug/kg
04014	Organics, Pesticide	Chlorodiamino-s-triazine, suspended sediment, recoverable, dry weight, micrograms per kilogram	Not checked			Dry		Suspended		3397-62-4	2-Chloro-4,6-diamino-s-triazine	ug/kg
04015	Organics, Pesticide	2-Chloro-4-isopropylamino-6-amino-s-triazine, suspended sediment, recoverable, dry weight, micrograms per kilogram	Not checked			Dry		Suspended		6190-65-4	2-Chloro-4-isopropylamino-6-amino-s-triazine	ug/kg
04016	Organics, Pesticide	Cyanazine, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		21725-46-2	Cyanazine	ug/kg
04017	Organics, Pesticide	Atrazine, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		1912-24-9	Atrazine	ug/kg
04018	Organics, Pesticide	Ametryn, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		834-12-8	Ametryn	ug/kg
04019	Organics, Pesticide	Trifluralin, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		1582-09-8	Trifluralin	ug/kg
04020	Organics, Pesticide	Metolachlor, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		51218-45-2	Metolachlor	ug/kg
04021	Organics, Pesticide	Alachlor, suspended sediment, recoverable, dry weight, micrograms per kilogram	Agree			Dry		Suspended		15972-60-8	Alachlor	ug/kg
04022	Organics, Pesticide	Terbuthylazine, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		5915-41-3	Terbuthylazine	ug/l
04023	Organics, Pesticide	Trifluralin, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		1582-09-8	Trifluralin	ug/l
04024	Organics, Pesticide	Propachlor, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		1918-16-7	Propachlor	ug/l
04025	Organics, Pesticide	Hexazinone, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		51235-04-2	Hexazinone	ug/l
04026	Organics, Pesticide	Butachlor, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		23184-66-9	Butachlor	ug/l
04027	Organics, Pesticide	Carboxin, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		5234-68-4	Carboxin	ug/l
04028	Organics, Pesticide	Butylate, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		2008-41-5	Butylate	ug/l
04029	Organics, Pesticide	Bromacil, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		314-40-9	Bromacil	ug/l
04030	Organics, Pesticide	Simetryn, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		1014-70-6	Simetryn	ug/l
04031	Organics, Pesticide	Cycloate, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		1134-23-2	Cycloate	ug/l
04032	Organics, Pesticide	Terbacil, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		5902-51-2	Terbacil	ug/l
04033	Organics, Pesticide	Diphenamid, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		957-51-7	Diphenamid	ug/l
04034	Organics, Pesticide	Vernolate, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		1929-77-7	Vernolate	ug/l
04035	Organics, Pesticide	Simazine, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		122-34-9	Simazine	ug/l
04036	Organics, Pesticide	Prometryn, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		7287-19-6	Prometryn	ug/l
04037	Organics, Pesticide	Prometon, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		1610-18-0	Prometon	ug/l
04038	Organics, Pesticide	2-Chloro-6-ethylamino-4-amino-s-triazine, water, filtered, recoverable, micrograms per liter	Not checked					Dissolved		1007-28-9	2-Chloro-6-ethylamino-4-amino-s-triazine	ug/l
04039	Organics, Pesticide	Chlorodiamino-s-triazine, water, filtered, recoverable, micrograms per liter	Not checked					Dissolved		3397-62-4	2-Chloro-4,6-diamino-s-triazine	ug/l
04040	Organics, Pesticide	2-Chloro-4-isopropylamino-6-amino-s-triazine, water, filtered, recoverable, micrograms per liter	Not checked					Dissolved		6190-65-4	2-Chloro-4-isopropylamino-6-amino-s-triazine	ug/l
04041	Organics, Pesticide	Cyanazine, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		21725-46-2	Cyanazine	ug/l
04083	Organics, Pesticide	Chlorfenvinphos, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		470-90-6	Chlorfenvinphos	ug/l
04086	Organics, Pesticide	Etrimfos, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		38260-54-7	Etrimfos	ug/l
04088	Organics, Pesticide	Bromophos-ethyl, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		4824-78-6	Bromophos-ethyl	ug/l
04089	Organics, Pesticide	Bromophos-methyl, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		2104-96-3	Bromophos	ug/l
04091	Organics, Pesticide	Clopyralid, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		1702-17-6	Clopyralid	ug/l
04092	Organics, Pesticide	Triclopyr, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		55335-06-3	Triclopyr	ug/l
04093	Organics, Pesticide	3,5-Dichlorobenzoic acid, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		51-36-5	Benzoic acid, 3,5-dichloro-	ug/l
04094	Organics, Pesticide	5-Hydroxydicamba, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		7600-50-2	Benzoic acid, 2,5-dichloro-3-hydroxy-6-methoxy-	ug/l
04095	Organics, Pesticide	Fonofos, water, filtered, recoverable, micrograms per liter	Agree					Dissolved		944-22-9	Fonofos	ug/l
04098	Organics, Pesticide	MGK 264, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		113-48-4	N-2-Ethylhexylbicycloheptenedicarboximide	ug/l
04099	Organics, Pesticide	Methyl paraoxon, water, unfiltered, recoverable, micrograms per liter	Agree					Recoverable		950-35-6	Methyl paraoxon	ug/l
