#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	8s	156s	26s	4s	5s	3s	14s	12s	0s	11s	38s	8s
00496	Sediment	Loss on ignition, bed sediment, dry weight, milligrams per kilogram	Not checked			Dry		Bed Sediment		 	 	mg/kg
04065	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 4 millimeters	Not checked				< 4 mm	Suspended		 	Sediment	%
04122	Sediment	Bedload sediment discharge, daily average, per unit width of river, composite samples, short tons per day per foot of width	Agree	Mean	Daily			Bedload		 	Sediment	ton/d/ft
46462	Sediment	Bed sediment, dry sieved, sieve diameter, percent smaller than 0.044 millimeters	Not checked				< 0.044 mm	Bed Sediment		 	Sediment	%
46463	Sediment	Bed sediment, sieve diameter, percent smaller than 0.71 millimeters	Not checked				< 0.71 mm	Bed Sediment		 	Sediment	%
46464	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 0.044 millimeters	Not checked				< 0.044 mm	Bedload		 	Sediment	%
46465	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 0.088 millimeters	Not checked				< 0.088 mm	Bedload		 	Sediment	%
46466	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 0.177 millimeters	Not checked				< 0.177 mm	Bedload		 	Sediment	%
46467	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 0.35 millimeters	Not checked				< 0.35 mm	Bedload		 	Sediment	%
46468	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 0.71 millimeters	Not checked				< 0.71 mm	Bedload		 	Sediment	%
46469	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 1.41 millimeters	Not checked				< 1.41 mm	Bedload		 	Sediment	%
46470	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 2.83 millimeters	Not checked				< 2.83 mm	Bedload		 	Sediment	%
49283	Sediment	Bed sediment, wet sieved (native water), field, percent smaller than 0.002 millimeters	Not agree				< 0.002 mm	Bed Sediment		 	Sediment	%
49284	Sediment	Bed sediment, wet sieved (native water), field, percent smaller than 0.008 millimeters	Not agree				< 0.008 mm	Bed Sediment		 	Sediment	%
49285	Sediment	Bed sediment, wet sieved (native water), field, percent smaller than 0.016 millimeters	Not agree				< 0.016 mm	Bed Sediment		 	Sediment	%
49286	Sediment	Bed sediment, wet sieved (native water), field, percent smaller than 0.031 millimeters	Not agree				< 0.031 mm	Bed Sediment		 	Sediment	%
