#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	8s	150s	26s	0s	5s	0s	0s	9s	0s	10s	20s	10s
31730	Toxicity	Mean survival of fathead minnows (Pimephales promelas) on day 7 of 7-day exposure to 100 percent effluent water sample, percent	Not checked		7 Day					 	 	%
31731	Toxicity	Biomass of fathead minnows (Pimephales promelas) on day 7 of 7-day exposure to 100 percent effluent water sample, milligrams	Not checked		7 Day					 	 	mg
79729	Toxicity	Mercury, waste/reagent water mixture, unfiltered, EPA toxicity test (SW-1310), micrograms per liter	Agree					Total		7439-97-6	Mercury	ug/l
79733	Toxicity	Barium, waste/reagent water mixture, unfiltered, EPA toxicity test (SW-1310), micrograms per liter	Agree					Total		7440-39-3	Barium	ug/l
79734	Toxicity	Cadmium, waste/reagent water mixture, unfiltered, EPA toxicity test (SW-1310), micrograms per liter	Agree					Total		7440-43-9	Cadmium	ug/l
79735	Toxicity	Chromium, waste/reagent water mixture, unfiltered, EPA toxicity test (SW-1310), micrograms per liter	Agree					Total		7440-47-3	Chromium	ug/l
79736	Toxicity	Lead, waste/reagent water mixture, unfiltered, EPA toxicity test (SW-1310), micrograms per liter	Agree					Total		7439-92-1	Lead	ug/l
79737	Toxicity	Selenium, waste/reagent water mixture, unfiltered, EPA toxicity test (SW-1310), micrograms per liter	Agree					Total		7782-49-2	Selenium	ug/l
79738	Toxicity	Silver, waste/reagent water mixture, unfiltered, EPA toxicity test (SW-1310), micrograms per liter	Agree					Total		7440-22-4	Silver	ug/l
79741	Toxicity	Arsenic, waste/reagent water mixture, unfiltered, EPA toxicity test (SW-1310), micrograms per liter	Agree					Total		7440-38-2	Arsenic	ug/l
91076	Toxicity	Silver, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), micrograms per liter	USGS use and no use by EPA							7440-22-4	Silver	ug/l
91077	Toxicity	Mercury, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), micrograms per liter	USGS use and no use by EPA							7439-97-6	Mercury	ug/l
91078	Toxicity	1,4-Dichlorobenzene, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), milligrams per liter	USGS use and no use by EPA							106-46-7	p-Dichlorobenzene	mg/l
91084	Toxicity	Benzene, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), milligrams per liter	USGS use and no use by EPA							71-43-2	Benzene	mg/l
91085	Toxicity	Methyl ethyl ketone, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), milligrams per liter	USGS use and no use by EPA							78-93-3	Methyl ethyl ketone	mg/l
91086	Toxicity	Tetrachloromethane, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), milligrams per liter	USGS use and no use by EPA							56-23-5	Carbon tetrachloride	mg/l
91087	Toxicity	Chlorobenzene, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), milligrams per liter	USGS use and no use by EPA							108-90-7	Chlorobenzene	mg/l
91088	Toxicity	Trichloromethane, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), milligrams per liter	USGS use and no use by EPA							67-66-3	Chloroform	mg/l
91089	Toxicity	1,2-Dichloroethane, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), milligrams per liter	USGS use and no use by EPA							107-06-2	1,2-Dichloroethane	mg/l
91090	Toxicity	1,1-Dichloroethene, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), milligrams per liter	USGS use and no use by EPA							75-35-4	1,1-Dichloroethylene	mg/l
91091	Toxicity	Tetrachloroethene, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), milligrams per liter	USGS use and no use by EPA							127-18-4	Tetrachloroethylene	mg/l
91092	Toxicity	Trichloroethene, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), milligrams per liter	USGS use and no use by EPA							79-01-6	Trichloroethylene	mg/l
91093	Toxicity	Vinyl chloride, waste/reagent water mixture leachate, EPA Toxicity Characteristic Leaching Procedure (1311), milligrams per liter	USGS use and no use by EPA							75-01-4	Vinyl chloride	mg/l
