"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1929",365,721.323287671233,197,1568.32216800965,69,20000
"1930",365,764.509589041096,134,2944.23727189776,71,41800
"1931",365,479.339726027397,158,802.548023064103,83,7940
"1932",366,1381.27595628415,232.5,2387.87958963562,119,20900
"1933",365,1148.49315068493,276,2299.7664114738,127,18800
"1934",365,632.61095890411,139,2165.08957936912,119,28600
"1935",365,1125.81369863014,215,4958.12815877351,99,79500
"1936",366,362.674863387978,128,688.652156481553,92,4900
"1937",365,911.6,170,2632.08523631147,86,25000
"1938",365,696.076712328767,175,1549.04169050875,90,17300
"1939",365,1027.9095890411,181,1884.41195976652,96,15000
"1940",366,283.467213114754,134,493.093486666887,78,6820
"1941",365,288.695890410959,145,441.139512344107,84,3560
"1942",364,765.318681318681,198,2644.37328264034,92,32700
