"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1996",1,6.13,6.13,NA,6.13,6.13
"1997",315,4.99726984126984,4.63,1.28567394414294,3.64,10.33
"1998",350,4.52268571428571,4.17,1.10865451305094,3.48,8.57
"1999",365,4.21512328767123,3.88,1.16311385713029,3.18,8.95
"2000",351,3.53894586894587,3.49,0.718913286985513,2.84,6.65
"2001",348,3.5016091954023,3.24,1.05548751161605,2.67,9.5
"2002",365,4.0313698630137,3.28,1.74905635081321,2.53,13.2
"2003",364,3.83994505494505,3.26,1.53772971264427,2.53,11.6
"2004",298,3.82338926174497,3.36,1.24501061730039,2.53,9.45
"2005",358,3.50301675977654,3.07,1.2758486404036,2.36,8.96
"2006",315,3.09701587301587,2.8,1.08941811576522,2.11,9.27
"2007",334,2.75532934131737,2.52,0.85894081323337,2.04,6.49
"2008",365,3.1018904109589,2.56,1.40340186730105,2.06,9.62
"2013",341,2.52029325513197,2,1.48345658620677,1.31,9.76
"2014",364,2.39637362637363,1.85,1.41455773655454,1.33,8.52
"2015",365,2.2333698630137,1.79,1.29713288552702,1.23,8.26
"2016",366,2.35095628415301,1.745,1.60690391091241,1.17,11.83
"2017",345,1.73368115942029,1.52,0.774462726232989,1.03,5.83
"2018",365,2.18835616438356,1.46,1.78230559232888,0.88,9.82
"2019",181,2.6953591160221,1.93,1.96976014001911,1.02,10.68
