"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1992",351,122.366951566952,47.5,308.300922831843,11.3,3320
"1993",365,109.948493150685,49.6,234.711738515352,1.3,2080
"1994",365,130.081369863014,52.8,284.230320789954,12.6,2250
"1995",365,129.853698630137,53.4,237.362024163784,8.3,1920
"1996",366,188.307103825137,115.5,280.349207980245,16.6,2450
"1997",365,189.618082191781,97.6,278.469043698774,24.4,2180
"1998",365,198.152054794521,125,205.750490972929,20.2,1420
"1999",365,142.584109589041,93.1,181.668907478972,27.3,1300
"2000",366,169.76693989071,120,192.13158440494,33.2,2270
"2001",365,170.306849315068,94,219.317032010469,40,1430
"2002",365,135.561369863014,64.5,214.174799112877,18.4,1720
"2003",364,111.285714285714,51,190.804129051561,23,1860
