"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1992",359,180.901169916435,9.85,1053.57673678111,2.82,15400
"1993",365,154.17901369863,11,917.536520367944,0.56,10300
"1994",365,267.034931506849,7.32,1715.79993866421,1.93,24200
"1995",365,266.57095890411,11.1,1411.02860148791,1.19,16200
"1996",366,188.215737704918,20.15,919.636091091591,2.7,9860
"1997",365,352.870547945205,18.1,1577.97979172067,2.64,18400
"1998",365,181.388191780822,21.3,867.389648387758,2.94,10800
"1999",365,347.839178082192,12.8,1987.63214816751,2.24,23500
"2000",366,154.126229508197,9.615,1010.51780798661,1.63,12700
"2001",365,551.341369863014,19,2932.85507292908,2.5,45300
"2002",365,293.367808219178,10.5,1267.88773899531,1.56,12100
"2003",364,154.593131868132,7.1,797.492700507765,2,11000
