"WaterYear","Count","Mean","Median","StDev","Min","Max"
"2002",286,236.486013986014,179.5,155.071838972463,46,571
"2003",360,233.55,201,107.563275411593,82,483
"2004",351,213.042735042735,202,83.3698191189518,64,435
"2005",361,209.288088642659,188,91.4822696662091,75,508
"2006",362,268.53591160221,233,154.753830370248,45,650
"2007",315,225.895238095238,217,98.2490910616963,68,501
"2008",356,292.629213483146,259,173.26526968605,68,688
"2009",364,222.760989010989,191.5,104.183010808711,88,552
"2010",354,265.703389830508,196.5,165.471151991672,59,577
"2011",348,486.609195402299,472.5,164.015821709702,126,883
"2012",349,269.555873925501,257,98.5456041296182,102,528
"2013",316,224.939873417722,145.5,154.92929116925,60,572
"2014",364,165.357142857143,155,57.471314474323,76,366
"2015",117,115.290598290598,110,24.9955374738068,74,184
"2016",295,148.657627118644,142,63.576897045135,34,374
"2017",155,303.593548387097,175,211.76554349717,105,686
