"WaterYear","Count","Mean","Median","StDev","Min","Max"
"2006",1,22.3,22.3,NA,22.3,22.3
"2007",333,19.8345345345345,21.1,8.2382616112905,5,32.4
"2008",366,19.7885245901639,20.2,7.82483433292679,4.3,32.4
"2009",29,25.9310344827586,25.5,1.15514484196196,23.4,28.1
"2010",363,19.76391184573,20.1,9.48236182394255,1.4,34
"2011",192,13.5401041666667,13.55,5.56463270682508,2.8,24
"2012",208,26.3350961538462,27.1,4.375510348744,11.6,33.3
"2013",105,19.7085714285714,18.6,6.24372168178246,10.6,30.5
"2014",349,18.5229226361032,20,9.16408165519481,1.1,31.9
"2015",191,12.0921465968586,10.7,5.81291584585807,2,26.4
"2016",97,29.9907216494845,30.2,2.02762599661047,23.1,33.2
"2017",340,21.1091176470588,22.15,7.02222383136146,3.8,32
"2018",322,19.3891304347826,18.65,8.00881367230893,0,31.3
"2019",100,12.767,11.55,4.84976423461111,6,27.9
