"V1","V2","V3","V4"
"site","huc_cd","long","lat"
"07265500","08030201","-88.9292284","34.5559332"
"07267000","08030201","-89.0505556","34.51805556"
"07268000","08030201","-89.2244444","34.4825"
"07268500","08030201","-89.2902778","34.44194444"
"07272000","08030201","-89.7861992","34.3992732"
"07272500","08030201","-89.7861992","34.3992732"
"07273000","08030201","-89.8817558","34.3870518"
"07273100","08030201","-89.8786111","34.36388889"
"07273500","08030201","-89.9667569","34.33205347"
"07273550","08030201","-90.0550911","34.29566569"
"07274000","08030203","-89.5213889","34.2733333"
"07274252","08030203","-89.6525","34.14416667"
"07274500","08030203","-89.9039783","34.15816665"
"07275000","08030203","-89.9039783","34.15816665"
"07275500","08030203","-89.9391667","34.2283333"
"07275530","08030203","-89.9819444","34.21388889"
"07275900","08030204","-89.7533333","34.9075"
"07276000","08030204","-89.8256429","34.84093038"
"07276500","08030204","-89.6861956","34.75982057"
"07277000","08030204","-89.8224206","34.83031955"
"07277500","08030204","-89.9889794","34.72065667"
"07277548","08030204","-89.8214767","34.6167691"
"07277700","08030204","-89.9244444","34.63194444"
"07277730","08030204","-89.9413889","34.61666667"
"07278000","08030204","-90.12426","34.75732244"
"07278500","08030204","-90.12426","34.75732244"
"07279500","08030204","-90.2303611","34.6307222"
"07279800","08030204","-90.2581494","34.4389962"
"07279850","08030204","-90.2898165","34.3609421"
"07279937","08030204","-90.2339822","34.4206633"
"07279950","08030204","-90.2659263","34.2562224"
"07280000","08030202","-90.2153694","34.1806676"
"07280270","08030202","-89.9534225","33.99455758"
"07280340","08030202","-89.9792558","33.97844676"
"07280400","08030202","-90.065","34"
"07281600","08030202","-90.2111111","33.65138889"
"07281960","08030205","-89.1730556","33.8661111"
"07281977","08030205","-89.2758333","33.83805556"
"07282000","08030205","-89.3155556","33.8386111"
"07282075","08030205","-89.1786111","33.75805556"
"07282090","08030205","-89.2469444","33.78"
"07282100","08030205","-89.3458333","33.8147222"
"07282500","08030205","-89.6150817","33.81622687"
"07283000","08030205","-89.3477778","33.9736111"
"07283500","08030205","-89.6417503","33.90983614"
"07284500","08030205","-89.7706417","33.8087265"
"07285000","08030205","-89.7706417","33.8087265"
"07285400","08030205","-89.7875859","33.77400485"
"07285500","08030205","-89.8097222","33.78777778"
"07285510","08030205","-89.8097222","33.78777778"
"07285900","08030205","-89.9967552","33.91705857"
"07286000","08030205","-90.069533","33.91816975"
"07287000","08030206","-90.1816667","33.52444444"
"07287120","08030206","-90.2720286","33.39678846"
"07287150","08030206","-90.1513889","33.34"
"07287160","08030206","-90.2372222","33.34166667"
"07287355","08030206","-90.1961111","33.13805556"
"07287400","08030206","-90.0533333","33.10527778"
"07287404","08030206","-90.1734194","33.10179419"
"07287405","08030206","-90.191197","33.1195715"
"07288000","08030207","-90.575099","34.19733086"
"07288200","08030207","-90.610651","33.88177916"
"07288280","08030207","-90.67","33.8325"
"07288500","08030207","-90.5431441","33.5473397"
"07288555","08030207","-90.5194444","33.7133333"
"0728862211","08030207","-90.5102778","33.35777778"
"07288650","08030207","-90.8477778","33.39666667"
"07288700","08030207","-90.7778758","32.9717936"
"0728875070","08030209","-90.8919444","33.4011111"
"07288938","08030209","-90.8903333","32.45716667"
"07288955","08030208","-90.9141667","32.44416667"
"324322091004700","08030100","-91.0130556","32.72277778"
"330548091055100","08030209","-91.0975","33.09666667"
