"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","BIO","0","-","-","-"
"07267000","BIO","0","-","-","-"
"07268000","BIO","0","-","-","-"
"07268500","BIO","0","-","-","-"
"07272000","BIO","0","-","-","-"
"07272500","BIO","0","-","-","-"
"07273000","BIO","0","-","-","-"
"07273100","BIO","0","-","-","-"
"07273500","BIO","0","-","-","-"
"07273550","BIO","0","-","-","-"
"07274000","BIO","0","-","-","-"
"07274252","BIO","0","-","-","-"
"07274500","BIO","0","-","-","-"
"07275000","BIO","0","-","-","-"
"07275500","BIO","0","-","-","-"
"07275530","BIO","0","-","-","-"
"07275900","BIO","0","-","-","-"
"07276000","BIO","0","-","-","-"
"07276500","BIO","0","-","-","-"
"07277000","BIO","0","-","-","-"
"07277500","BIO","0","-","-","-"
"07277548","BIO","0","-","-","-"
"07277700","BIO","0","-","-","-"
"07277730","BIO","0","-","-","-"
"07278000","BIO","0","-","-","-"
"07278500","BIO","0","-","-","-"
"07279500","BIO","0","-","-","-"
"07279800","BIO","14","1980","1981","00572-00573-49954-60050-70957-70958"
"07279850","BIO","0","-","-","-"
"07279937","BIO","29","1980","2009","00572-00573-49954-60050-62360-70950-70953-70957-70958"
"07279950","BIO","2","1998","2010","01340-70953"
"07280000","BIO","0","-","-","-"
"07280270","BIO","0","-","-","-"
"07280340","BIO","0","-","-","-"
"07280400","BIO","0","-","-","-"
"07281600","BIO","1","2010","2010","70953"
"07281960","BIO","0","-","-","-"
"07281977","BIO","0","-","-","-"
"07282000","BIO","0","-","-","-"
"07282075","BIO","0","-","-","-"
"07282090","BIO","0","-","-","-"
"07282100","BIO","0","-","-","-"
"07282500","BIO","0","-","-","-"
"07283000","BIO","3","1995","1998","01340-49273"
"07283500","BIO","0","-","-","-"
"07284500","BIO","0","-","-","-"
"07285000","BIO","0","-","-","-"
"07285400","BIO","0","-","-","-"
"07285500","BIO","2","1975","1975","32226-32228"
"07285510","BIO","0","-","-","-"
"07285900","BIO","0","-","-","-"
"07286000","BIO","0","-","-","-"
"07287000","BIO","1","2002","2002","70953"
"07287120","BIO","90","1974","1981","00572-00573-32226-32228-49954-60050-70950-70953-70954-70955-70956-70957-70958"
"07287150","BIO","0","-","-","-"
"07287160","BIO","0","-","-","-"
"07287355","BIO","0","-","-","-"
"07287400","BIO","0","-","-","-"
"07287404","BIO","0","-","-","-"
"07287405","BIO","0","-","-","-"
"07288000","BIO","1","2010","2010","70953"
"07288200","BIO","0","-","-","-"
"07288280","BIO","7","2002","2009","70953"
"07288500","BIO","4","2002","2010","70953"
"07288555","BIO","3","2002","2010","70953"
"0728862211","BIO","0","-","-","-"
"07288650","BIO","113","1995","2017","00572-00573-01340-49273-49954-62359-62360-70950-70953-70957"
"07288700","BIO","2","1995","2010","49273-70953"
"0728875070","BIO","1","2002","2002","70953"
"07288938","BIO","3","2006","2007","62360-70953"
"07288955","BIO","221","1995","2015","00572-00573-01340-49273-49954-62359-62360-70950-70953-70954-70957"
"324322091004700","BIO","0","-","-","-"
"330548091055100","BIO","0","-","-","-"
