"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","IMM","0","-","-","-"
"07267000","IMM","0","-","-","-"
"07268000","IMM","2","1971","1972","01045"
"07268500","IMM","14","1984","1984","01028-01029-01038-01043-01045-01046-01052-01053-01055-01056-01093-01106-01170-71921"
"07272000","IMM","0","-","-","-"
"07272500","IMM","0","-","-","-"
"07273000","IMM","0","-","-","-"
"07273100","IMM","1","1974","1974","01046"
"07273500","IMM","0","-","-","-"
"07273550","IMM","0","-","-","-"
"07274000","IMM","38","1971","1975","01027-01028-01029-01034-01037-01038-01042-01043-01045-01051-01052-01053-01055-01092-01093-01170-71900-71921"
"07274252","IMM","323","1988","1995","01027-01028-01029-01034-01037-01038-01042-01043-01045-01046-01051-01052-01053-01055-01056-01092-01093-01105-01170-71900-71921"
"07274500","IMM","0","-","-","-"
"07275000","IMM","1","1972","1972","01045"
"07275500","IMM","1","1974","1974","01046"
"07275530","IMM","0","-","-","-"
"07275900","IMM","1","1972","1972","01045"
"07276000","IMM","0","-","-","-"
"07276500","IMM","0","-","-","-"
"07277000","IMM","1","1974","1974","01046"
"07277500","IMM","0","-","-","-"
"07277548","IMM","0","-","-","-"
"07277700","IMM","358","1974","1995","01027-01028-01029-01034-01037-01038-01042-01043-01045-01046-01051-01052-01053-01055-01056-01067-01092-01093-01105-01170-71900-71921"
"07277730","IMM","357","1988","1995","01027-01028-01029-01034-01037-01038-01042-01043-01045-01046-01051-01052-01053-01055-01056-01067-01092-01093-01105-01170-71900-71921"
"07278000","IMM","0","-","-","-"
"07278500","IMM","0","-","-","-"
"07279500","IMM","0","-","-","-"
"07279800","IMM","56","1980","1981","01012-01013-01027-01028-01029-01034-01042-01043-01044-01045-01046-01051-01052-01053-01055-01056-01067-01092-01093-01105-01108-01132-01170-71900-71921"
"07279850","IMM","0","-","-","-"
"07279937","IMM","56","1980","1981","01012-01013-01027-01028-01029-01034-01042-01043-01044-01045-01046-01051-01052-01053-01055-01056-01067-01092-01093-01105-01108-01132-01170-71900-71921"
"07279950","IMM","0","-","-","-"
"07280000","IMM","0","-","-","-"
"07280270","IMM","0","-","-","-"
"07280340","IMM","0","-","-","-"
"07280400","IMM","0","-","-","-"
"07281600","IMM","8","2017","2017","01046-01056"
"07281960","IMM","0","-","-","-"
"07281977","IMM","0","-","-","-"
"07282000","IMM","0","-","-","-"
"07282075","IMM","0","-","-","-"
"07282090","IMM","0","-","-","-"
"07282100","IMM","1","1972","1972","01045"
"07282500","IMM","1","1972","1972","01045"
"07283000","IMM","106","1970","1998","01045-01046-01056-34790-34805-34810-34816-34825-34835-34840-34845-34850-34855-34860-34870-34875-34880-34885-34890-34895-34905-34910-34915-34920-34925-34930-34945-34955-34965-34975-34985-35005-35010-35015-35020-49237-49238-49240-49241-49242-49243-49244-49245-49248-49249-49250-49251-49252-49253-49255-49258-49274-49465"
"07283500","IMM","0","-","-","-"
"07284500","IMM","0","-","-","-"
"07285000","IMM","0","-","-","-"
"07285400","IMM","2","1972","1972","01045"
"07285500","IMM","37","1972","1975","01027-01028-01029-01034-01037-01038-01042-01043-01045-01051-01052-01053-01055-01092-01093-01170-71900-71921"
"07285510","IMM","0","-","-","-"
"07285900","IMM","0","-","-","-"
"07286000","IMM","0","-","-","-"
"07287000","IMM","64","1964","1992","01005-01008-01010-01025-01028-01029-01030-01035-01038-01040-01043-01046-01049-01052-01053-01056-01060-01065-01068-01075-01080-01085-01090-01093-01130-01170-71885-71890-71921"
"07287120","IMM","1220","1974","1986","01005-01006-01007-01010-01011-01012-01025-01026-01027-01030-01031-01032-01033-01034-01035-01036-01037-01040-01041-01042-01044-01045-01046-01049-01050-01051-01054-01055-01056-01060-01065-01066-01067-01075-01076-01077-01080-01085-01090-01091-01092-01106-01130-71890-71895-71900"
"07287150","IMM","159","1992","1995","01027-01028-01029-01034-01037-01038-01042-01043-01045-01046-01051-01052-01053-01055-01056-01092-01093-01105-01170-71900-71921"
"07287160","IMM","159","1992","1995","01027-01028-01029-01034-01037-01038-01042-01043-01045-01046-01051-01052-01053-01055-01056-01092-01093-01105-01170-71900-71921"
"07287355","IMM","312","1988","1995","01027-01028-01029-01034-01037-01038-01042-01043-01045-01046-01051-01052-01053-01055-01056-01092-01093-01105-01170-71900-71921"
"07287400","IMM","0","-","-","-"
"07287404","IMM","312","1988","1995","01027-01028-01029-01034-01037-01038-01042-01043-01045-01046-01051-01052-01053-01055-01056-01092-01093-01105-01170-71900-71921"
"07287405","IMM","0","-","-","-"
"07288000","IMM","42","1974","2017","01027-01028-01029-01034-01037-01038-01042-01043-01045-01046-01051-01052-01053-01055-01056-01092-01093-01170-71900-71921"
"07288200","IMM","0","-","-","-"
"07288280","IMM","10","2017","2017","01046-01056"
"07288500","IMM","15","1964","2017","01046-01056-71885"
"07288555","IMM","0","-","-","-"
"0728862211","IMM","0","-","-","-"
