"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","IMN","0","-","-","-"
"07267000","IMN","0","-","-","-"
"07268000","IMN","0","-","-","-"
"07268500","IMN","2","1984","1984","01003-01148"
"07272000","IMN","0","-","-","-"
"07272500","IMN","0","-","-","-"
"07273000","IMN","0","-","-","-"
"07273100","IMN","0","-","-","-"
"07273500","IMN","0","-","-","-"
"07273550","IMN","0","-","-","-"
"07274000","IMN","8","1974","1975","01002-01003-01147-01148"
"07274252","IMN","62","1988","1995","01002-01003-01147-01148"
"07274500","IMN","0","-","-","-"
"07275000","IMN","0","-","-","-"
"07275500","IMN","0","-","-","-"
"07275530","IMN","0","-","-","-"
"07275900","IMN","0","-","-","-"
"07276000","IMN","0","-","-","-"
"07276500","IMN","0","-","-","-"
"07277000","IMN","1","1962","1962","01020"
"07277500","IMN","0","-","-","-"
"07277548","IMN","0","-","-","-"
"07277700","IMN","67","1988","1995","01002-01003-01147-01148"
"07277730","IMN","67","1988","1995","01002-01003-01147-01148"
"07278000","IMN","0","-","-","-"
"07278500","IMN","0","-","-","-"
"07279500","IMN","0","-","-","-"
"07279800","IMN","8","1980","1981","01002-01003-01147-01148"
"07279850","IMN","0","-","-","-"
"07279937","IMN","8","1980","1981","01002-01003-01147-01148"
"07279950","IMN","0","-","-","-"
"07280000","IMN","0","-","-","-"
"07280270","IMN","0","-","-","-"
"07280340","IMN","0","-","-","-"
"07280400","IMN","0","-","-","-"
"07281600","IMN","0","-","-","-"
"07281960","IMN","0","-","-","-"
"07281977","IMN","0","-","-","-"
"07282000","IMN","0","-","-","-"
"07282075","IMN","0","-","-","-"
"07282090","IMN","0","-","-","-"
"07282100","IMN","0","-","-","-"
"07282500","IMN","0","-","-","-"
"07283000","IMN","7","1995","1995","34795-34800-34950-49239-49246-49247-49254"
"07283500","IMN","0","-","-","-"
"07284500","IMN","0","-","-","-"
"07285000","IMN","0","-","-","-"
"07285400","IMN","0","-","-","-"
"07285500","IMN","8","1974","1975","01002-01003-01147-01148"
"07285510","IMN","0","-","-","-"
"07285900","IMN","0","-","-","-"
"07286000","IMN","0","-","-","-"
"07287000","IMN","12","1992","1992","00720-00721-01000-01003-01145-01148"
"07287120","IMN","210","1974","1986","00720-01000-01001-01002-01145-01146-01147"
"07287150","IMN","30","1992","1995","01002-01003-01147-01148"
"07287160","IMN","30","1992","1995","01002-01003-01147-01148"
"07287355","IMN","60","1988","1995","01002-01003-01147-01148"
"07287400","IMN","0","-","-","-"
"07287404","IMN","60","1988","1995","01002-01003-01147-01148"
"07287405","IMN","0","-","-","-"
"07288000","IMN","8","1974","1975","01002-01003-01147-01148"
"07288200","IMN","0","-","-","-"
"07288280","IMN","0","-","-","-"
"07288500","IMN","0","-","-","-"
"07288555","IMN","0","-","-","-"
"0728862211","IMN","0","-","-","-"
"07288650","IMN","456","1995","2019","01000-01003-01020-01098-01145-34795-34800-34950-49239-49246-49247-49254"
"07288700","IMN","7","1995","1995","34795-34800-34950-49239-49246-49247-49254"
"0728875070","IMN","4","2002","2002","01000-01020-01095-01145"
"07288938","IMN","0","-","-","-"
"07288955","IMN","524","1995","2019","01000-01020-01145-34795-34800-34950-49239-49246-49247-49254"
"324322091004700","IMN","0","-","-","-"
"330548091055100","IMN","0","-","-","-"
