"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","INF","0","-","-","-"
"07267000","INF","0","-","-","-"
"07268000","INF","38","1996","2012","00028-50280-71999-82398-84164-99105-99111"
"07268500","INF","4","1984","1984","00028-00041"
"07272000","INF","0","-","-","-"
"07272500","INF","0","-","-","-"
"07273000","INF","0","-","-","-"
"07273100","INF","938","1987","2017","00002-00028-00041-50280-71999-82398-84164-99804-99806-99808-99815-99826-99859-99861-99865-99868-99869"
"07273500","INF","0","-","-","-"
"07273550","INF","2","1992","1992","00028-82398"
"07274000","INF","1","1974","1974","00008"
"07274252","INF","1476","1986","2017","00002-00028-00041-50280-71999-82398-84164-99804-99806-99808-99815-99826-99859-99861-99865-99868-99869"
"07274500","INF","0","-","-","-"
"07275000","INF","0","-","-","-"
"07275500","INF","0","-","-","-"
"07275530","INF","825","1987","1997","00002-00028-00041-50280-71999-82398-84164-99105-99111-99804-99806-99808-99815-99826-99859-99861-99865-99868-99869"
"07275900","INF","0","-","-","-"
"07276000","INF","0","-","-","-"
"07276500","INF","0","-","-","-"
"07277000","INF","0","-","-","-"
"07277500","INF","0","-","-","-"
"07277548","INF","583","1988","2008","00028-00041-82398-84164"
"07277700","INF","2899","1986","2011","00002-00028-00041-50280-71999-82398-84164-99804-99806-99808-99815-99826-99859-99861-99865-99868-99869"
"07277730","INF","1383","1987","2008","00002-00028-00041-50280-71999-82398-84164-99804-99806-99808-99815-99826-99859-99861-99865-99868-99869"
"07278000","INF","0","-","-","-"
"07278500","INF","0","-","-","-"
"07279500","INF","0","-","-","-"
"07279800","INF","26","1980","1982","00022-00028-82398-95100"
"07279850","INF","0","-","-","-"
"07279937","INF","62","1980","2009","00003-00009-00022-00028-00041-71999-82398-84164-95100-99105-99111"
"07279950","INF","169","1992","2011","00003-00009-00028-00041-49261-49264-50280-71999-82398-84164-99111-99822-99852"
"07280000","INF","0","-","-","-"
"07280270","INF","116","1978","1983","00028"
"07280340","INF","124","1978","1983","00028"
"07280400","INF","2","1978","1978","00028"
"07281600","INF","123","1992","2017","00003-00009-00028-50280-71999-82398-84164-84171-99111"
"07281960","INF","992","2003","2011","00028-82398-84164"
"07281977","INF","1201","1999","2011","00002-00028-82398-84164"
"07282000","INF","0","-","-","-"
"07282075","INF","858","2003","2011","00028-82398-84164"
"07282090","INF","918","1999","2011","00002-00028-82398-84164"
"07282100","INF","70","1996","1997","00028-00041-82398-84164-99804-99806-99820-99835-99848-99865-99868"
"07282500","INF","0","-","-","-"
"07283000","INF","345","1995","1998","00003-00009-00028-00041-49261-49264-49275-49276-49277-49278-49279-49280-50280-71999-72103-82398-99105-99111-99822-99824-99825-99849-99852-99853"
"07283500","INF","0","-","-","-"
"07284500","INF","0","-","-","-"
"07285000","INF","0","-","-","-"
