"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","INM","0","-","-","-"
"07267000","INM","0","-","-","-"
"07268000","INM","12","1971","1972","00915-00925-00930-00931-00932-00935"
"07268500","INM","6","1984","1984","00915-00925-00930-00931-00932-00935"
"07272000","INM","0","-","-","-"
"07272500","INM","0","-","-","-"
"07273000","INM","0","-","-","-"
"07273100","INM","6","1974","1974","00915-00925-00930-00931-00932-00935"
"07273500","INM","0","-","-","-"
"07273550","INM","0","-","-","-"
"07274000","INM","24","1971","1975","00915-00925-00926-00927-00930-00931-00932-00935"
"07274252","INM","90","1988","1995","00915-00925-00930-00931-00932-00935"
"07274500","INM","0","-","-","-"
"07275000","INM","6","1972","1972","00915-00925-00930-00931-00932-00935"
"07275500","INM","6","1974","1974","00915-00925-00930-00931-00932-00935"
"07275530","INM","0","-","-","-"
"07275900","INM","6","1972","1972","00915-00925-00930-00931-00932-00935"
"07276000","INM","0","-","-","-"
"07276500","INM","0","-","-","-"
"07277000","INM","10","1962","1974","00915-00925-00930-00931-00932-00935"
"07277500","INM","0","-","-","-"
"07277548","INM","0","-","-","-"
"07277700","INM","108","1974","1995","00915-00925-00930-00931-00932-00935"
"07277730","INM","102","1988","1995","00915-00925-00930-00931-00932-00935"
"07278000","INM","0","-","-","-"
"07278500","INM","41","1969","1974","00915-00925-00930-00931-00932-00935"
"07279500","INM","0","-","-","-"
"07279800","INM","24","1980","1981","00915-00925-00930-00931-00932-00935"
"07279850","INM","0","-","-","-"
"07279937","INM","24","1980","1981","00915-00925-00930-00931-00932-00935"
"07279950","INM","0","-","-","-"
"07280000","INM","54","1969","1971","00915-00925-00930-00931-00932-00935"
"07280270","INM","0","-","-","-"
"07280340","INM","0","-","-","-"
"07280400","INM","0","-","-","-"
"07281600","INM","24","2017","2017","00915-00925-00930-00931-00932-00935"
"07281960","INM","0","-","-","-"
"07281977","INM","0","-","-","-"
"07282000","INM","0","-","-","-"
"07282075","INM","0","-","-","-"
"07282090","INM","0","-","-","-"
"07282100","INM","6","1972","1972","00915-00925-00930-00931-00932-00935"
"07282500","INM","6","1972","1972","00915-00925-00930-00931-00932-00935"
"07283000","INM","178","1970","1998","00915-00925-00930-00931-00932-00935-34830-34900-34940-34960"
"07283500","INM","0","-","-","-"
"07284500","INM","0","-","-","-"
"07285000","INM","0","-","-","-"
"07285400","INM","12","1972","1972","00915-00925-00930-00931-00932-00935"
"07285500","INM","18","1972","1975","00915-00925-00926-00927-00930-00931-00932-00935"
"07285510","INM","0","-","-","-"
"07285900","INM","0","-","-","-"
"07286000","INM","0","-","-","-"
"07287000","INM","66","1964","1992","00915-00925-00930-00931-00932-00935"
"07287120","INM","645","1974","1986","00915-00925-00930-00931-00932-00933-00935"
"07287150","INM","48","1992","1995","00915-00925-00930-00931-00932-00935"
"07287160","INM","48","1992","1995","00915-00925-00930-00931-00932-00935"
"07287355","INM","90","1988","1995","00915-00925-00930-00931-00932-00935"
"07287400","INM","0","-","-","-"
"07287404","INM","90","1988","1995","00915-00925-00930-00931-00932-00935"
"07287405","INM","0","-","-","-"
"07288000","INM","30","1974","2017","00915-00925-00926-00927-00930-00931-00932-00935"
"07288200","INM","0","-","-","-"
"07288280","INM","30","2017","2017","00915-00925-00930-00931-00932-00935"
"07288500","INM","72","1964","2017","00915-00925-00930-00931-00932-00935"
"07288555","INM","0","-","-","-"
"0728862211","INM","0","-","-","-"
"07288650","INM","1832","1995","2019","00915-00925-00930-00931-00932-00935-34830-34900-34940-34960-62456-62457-62458-62459"
"07288700","INM","28","1995","2017","00915-00925-00930-00931-00932-00935-34830-34900-34940-34960"
"0728875070","INM","6","2002","2002","00915-00925-00930-00931-00932-00935"
"07288938","INM","0","-","-","-"
"07288955","INM","1606","1994","2019","00915-00925-00930-00931-00932-00935-34830-34900-34940-34960"
"324322091004700","INM","0","-","-","-"
"330548091055100","INM","0","-","-","-"
