"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","INN","2","1971","1971","00191-00300"
"07267000","INN","0","-","-","-"
"07268000","INN","27","1971","1996","00191-00300-00405-00410-00440-00445-00940-00945-00950-00955"
"07268500","INN","6","1971","1984","00191-00300-00301-00940-00945"
"07272000","INN","0","-","-","-"
"07272500","INN","0","-","-","-"
"07273000","INN","0","-","-","-"
"07273100","INN","605","1974","1996","00191-00300-00301-00405-00410-00440-00445-00940-00945-00950-00955"
"07273500","INN","0","-","-","-"
"07273550","INN","0","-","-","-"
"07274000","INN","63","1971","1975","00191-00300-00405-00410-00440-00445-00940-00945-00950-00955"
"07274252","INN","1294","1988","1996","00191-00300-00301-00405-00940-00945-00950-00955-90410"
"07274500","INN","0","-","-","-"
"07275000","INN","9","1972","1972","00191-00405-00410-00440-00445-00940-00945-00950-00955"
"07275500","INN","10","1974","1974","00191-00300-00405-00410-00440-00445-00940-00945-00950-00955"
"07275530","INN","594","1988","1996","00191-00300-00301"
"07275900","INN","9","1972","1972","00191-00405-00410-00440-00445-00940-00945-00950-00955"
"07276000","INN","0","-","-","-"
"07276500","INN","2","1971","1971","00191-00300"
"07277000","INN","16","1962","1974","00191-00300-00405-00410-00440-00445-00940-00945-00950-00955"
"07277500","INN","0","-","-","-"
"07277548","INN","468","1988","1995","00191-00300-00301"
"07277700","INN","1503","1974","1996","00191-00300-00301-00405-00410-00440-00445-00940-00945-00950-00955-90410"
"07277730","INN","1356","1988","1996","00191-00300-00301-00405-00940-00945-00950-00955-90410"
"07278000","INN","0","-","-","-"
"07278500","INN","41","1969","1974","00191-00300-00405-00410-00440-00445-00940-00945"
"07279500","INN","0","-","-","-"
"07279800","INN","50","1980","1982","00191-00300-00405-00410-00940-00945-00950-00955-90410"
"07279850","INN","0","-","-","-"
"07279937","INN","81","1980","2009","00191-00300-00301-00405-00410-00417-00940-00945-00950-00955-90410"
"07279950","INN","166","1996","2011","00191-00300-00301-00405-00417-00940-90410"
"07280000","INN","47","1969","1971","00191-00300-00405-00410-00945"
"07280270","INN","203","1975","1979","00191-00300"
"07280340","INN","107","1977","1979","00191-00300"
"07280400","INN","10","1975","1978","00191-00300"
"07281600","INN","173","2009","2017","00191-00300-00301-00405-00417-00453-00940-00945-00950-00955-39086-71870"
"07281960","INN","0","-","-","-"
"07281977","INN","0","-","-","-"
"07282000","INN","0","-","-","-"
"07282075","INN","0","-","-","-"
"07282090","INN","0","-","-","-"
"07282100","INN","42","1972","1997","00191-00300-00301-00405-00410-00440-00445-00940-00945-00950-00955"
"07282500","INN","9","1972","1972","00191-00405-00410-00440-00445-00940-00945-00950-00955"
"07283000","INN","352","1970","1998","00191-00300-00301-00405-00410-00440-00445-00453-00940-00945-00950-00955-34970-39086-49267-49269-49270-49272-90410"
"07283500","INN","0","-","-","-"
"07284500","INN","0","-","-","-"
"07285000","INN","0","-","-","-"
"07285400","INN","608","1972","1996","00191-00300-00301-00405-00410-00440-00445-00940-00945-00950-00955"
"07285500","INN","51","1972","1975","00191-00300-00405-00410-00440-00445-00940-00945-00950-00955"
"07285510","INN","0","-","-","-"
"07285900","INN","0","-","-","-"
"07286000","INN","0","-","-","-"
"07287000","INN","122","1964","2002","00191-00300-00301-00405-00410-00440-00445-00686-00693-00940-00945-00950-00955-71870"
"07287120","INN","969","1974","1990","00191-00300-00301-00405-00410-00440-00445-00940-00945-00950-00955-90410-99430-99440"
"07287150","INN","569","1991","1995","00191-00300-00301-00405-00940-00945-00950-00955-90410"
"07287160","INN","577","1991","2005","00191-00300-00301-00405-00940-00945-00950-00955-71875-90410"
"07287355","INN","1255","1988","1996","00191-00300-00301-00405-00940-00945-00950-00955-90410"
"07287400","INN","384","1988","1995","00191-00300-00301"
"07287404","INN","1254","1988","1996","00191-00300-00301-00405-00940-00945-00950-00955-90410"
"07287405","INN","390","1988","1995","00191-00300-00301"
"07288000","INN","329","1973","2017","00191-00300-00301-00405-00410-00417-00440-00445-00453-00940-00945-00950-00955-39086-71870"
"07288200","INN","34","1974","2011","00191-00300-00301-00405-00453-00940-00945-39086"
"07288280","INN","180","1995","2017","00191-00300-00301-00405-00417-00453-00940-00945-00950-00955-39086-71870"
"07288500","INN","353","1964","2017","00191-00300-00301-00405-00410-00417-00440-00445-00453-00940-00945-00950-00955-39086-71870-90410"
"07288555","INN","145","2002","2011","00191-00300-00301-00405-00417-00940"
"0728862211","INN","9","1995","1996","00191-00300-00301"
"07288650","INN","4662","1995","2019","00191-00300-00301-00405-00417-00452-00453-00688-00691-00694-00940-00945-00950-00955-29801-30241-34970-39086-49267-49269-49270-49272-62463-71870-90410"
"07288700","INN","560","1995","2017","00191-00300-00301-00405-00417-00453-00940-00945-00950-00955-34970-39086-49267-49269-49270-49272-71870-90410"
"0728875070","INN","1778","1996","2011","00191-00300-00301-00405-00435-00694-00940-00945-00950-71825-90410"
"07288938","INN","17","2006","2007","00191-00300-00405-00417-00940"
"07288955","INN","5683","1994","2019","00191-00300-00301-00405-00417-00453-00688-00691-00694-00940-00945-00950-00955-29801-34970-39086-49267-49269-49270-49272-90410"
"324322091004700","INN","0","-","-","-"
"330548091055100","INN","560","2008","2016","00410-00417-00940"
