"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","ISO","0","-","-","-"
"07267000","ISO","0","-","-","-"
"07268000","ISO","0","-","-","-"
"07268500","ISO","0","-","-","-"
"07272000","ISO","0","-","-","-"
"07272500","ISO","0","-","-","-"
"07273000","ISO","0","-","-","-"
"07273100","ISO","0","-","-","-"
"07273500","ISO","0","-","-","-"
"07273550","ISO","0","-","-","-"
"07274000","ISO","0","-","-","-"
"07274252","ISO","0","-","-","-"
"07274500","ISO","0","-","-","-"
"07275000","ISO","0","-","-","-"
"07275500","ISO","0","-","-","-"
"07275530","ISO","0","-","-","-"
"07275900","ISO","0","-","-","-"
"07276000","ISO","0","-","-","-"
"07276500","ISO","0","-","-","-"
"07277000","ISO","0","-","-","-"
"07277500","ISO","0","-","-","-"
"07277548","ISO","0","-","-","-"
"07277700","ISO","0","-","-","-"
"07277730","ISO","0","-","-","-"
"07278000","ISO","0","-","-","-"
"07278500","ISO","0","-","-","-"
"07279500","ISO","0","-","-","-"
"07279800","ISO","0","-","-","-"
"07279850","ISO","0","-","-","-"
"07279937","ISO","0","-","-","-"
"07279950","ISO","0","-","-","-"
"07280000","ISO","0","-","-","-"
"07280270","ISO","0","-","-","-"
"07280340","ISO","0","-","-","-"
"07280400","ISO","0","-","-","-"
"07281600","ISO","0","-","-","-"
"07281960","ISO","0","-","-","-"
"07281977","ISO","0","-","-","-"
"07282000","ISO","0","-","-","-"
"07282075","ISO","0","-","-","-"
"07282090","ISO","0","-","-","-"
"07282100","ISO","0","-","-","-"
"07282500","ISO","0","-","-","-"
"07283000","ISO","0","-","-","-"
"07283500","ISO","0","-","-","-"
"07284500","ISO","0","-","-","-"
"07285000","ISO","0","-","-","-"
"07285400","ISO","0","-","-","-"
"07285500","ISO","0","-","-","-"
"07285510","ISO","0","-","-","-"
"07285900","ISO","0","-","-","-"
"07286000","ISO","0","-","-","-"
"07287000","ISO","0","-","-","-"
"07287120","ISO","0","-","-","-"
"07287150","ISO","0","-","-","-"
"07287160","ISO","0","-","-","-"
"07287355","ISO","0","-","-","-"
"07287400","ISO","0","-","-","-"
"07287404","ISO","0","-","-","-"
"07287405","ISO","0","-","-","-"
"07288000","ISO","8","2010","2011","63041-82690"
"07288200","ISO","2","2011","2011","63041-82690"
"07288280","ISO","8","2010","2011","63041-82690"
"07288500","ISO","8","2010","2011","63041-82690"
"07288555","ISO","0","-","-","-"
"0728862211","ISO","0","-","-","-"
"07288650","ISO","2","2010","2010","63041-82690"
"07288700","ISO","8","2010","2011","63041-82690"
"0728875070","ISO","0","-","-","-"
"07288938","ISO","0","-","-","-"
"07288955","ISO","0","-","-","-"
"324322091004700","ISO","0","-","-","-"
"330548091055100","ISO","0","-","-","-"
