"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","MBI","0","-","-","-"
"07267000","MBI","0","-","-","-"
"07268000","MBI","0","-","-","-"
"07268500","MBI","0","-","-","-"
"07272000","MBI","0","-","-","-"
"07272500","MBI","0","-","-","-"
"07273000","MBI","0","-","-","-"
"07273100","MBI","0","-","-","-"
"07273500","MBI","0","-","-","-"
"07273550","MBI","0","-","-","-"
"07274000","MBI","8","1974","1975","31616-31679"
"07274252","MBI","237","1988","1995","31625-31673"
"07274500","MBI","0","-","-","-"
"07275000","MBI","0","-","-","-"
"07275500","MBI","0","-","-","-"
"07275530","MBI","0","-","-","-"
"07275900","MBI","0","-","-","-"
"07276000","MBI","0","-","-","-"
"07276500","MBI","0","-","-","-"
"07277000","MBI","0","-","-","-"
"07277500","MBI","0","-","-","-"
"07277548","MBI","245","1988","1995","31625-31673"
"07277700","MBI","251","1988","1995","31625-31673"
"07277730","MBI","251","1988","1995","31625-31673"
"07278000","MBI","0","-","-","-"
"07278500","MBI","8","1969","1971","31501-31615-31616"
"07279500","MBI","0","-","-","-"
"07279800","MBI","4","1980","1981","95200"
"07279850","MBI","0","-","-","-"
"07279937","MBI","4","1980","1981","95200"
"07279950","MBI","0","-","-","-"
"07280000","MBI","11","1969","1971","31501-31615-31616"
"07280270","MBI","5","1975","1978","31616-31625"
"07280340","MBI","3","1977","1978","31625"
"07280400","MBI","5","1975","1978","31616-31625"
"07281600","MBI","0","-","-","-"
"07281960","MBI","0","-","-","-"
"07281977","MBI","0","-","-","-"
"07282000","MBI","0","-","-","-"
"07282075","MBI","0","-","-","-"
"07282090","MBI","0","-","-","-"
"07282100","MBI","0","-","-","-"
"07282500","MBI","0","-","-","-"
"07283000","MBI","4","1996","1996","31625-31633"
"07283500","MBI","0","-","-","-"
"07284500","MBI","0","-","-","-"
"07285000","MBI","0","-","-","-"
"07285400","MBI","0","-","-","-"
"07285500","MBI","10","1974","1975","31616-31679"
"07285510","MBI","0","-","-","-"
"07285900","MBI","0","-","-","-"
"07286000","MBI","0","-","-","-"
"07287000","MBI","1","1974","1974","95200"
"07287120","MBI","244","1974","1986","31616-31625-31673-31679-95200"
"07287150","MBI","112","1992","1995","31625-31673"
"07287160","MBI","112","1992","1995","31625-31673"
"07287355","MBI","240","1988","1995","31625-31673"
"07287400","MBI","226","1988","1995","31625-31673"
"07287404","MBI","238","1988","1995","31625-31673"
"07287405","MBI","235","1988","1995","31625-31673"
"07288000","MBI","9","1974","1976","31616-31679-95200"
"07288200","MBI","0","-","-","-"
"07288280","MBI","0","-","-","-"
"07288500","MBI","0","-","-","-"
"07288555","MBI","0","-","-","-"
"0728862211","MBI","0","-","-","-"
"07288650","MBI","8","1996","1996","31625-31633"
"07288700","MBI","0","-","-","-"
"0728875070","MBI","1","2002","2002","31625"
"07288938","MBI","0","-","-","-"
"07288955","MBI","16","1994","1996","31625-31633-31673"
"324322091004700","MBI","0","-","-","-"
"330548091055100","MBI","0","-","-","-"
