"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","NUT","0","-","-","-"
"07267000","NUT","0","-","-","-"
"07268000","NUT","4","1971","1972","00618-00620-71851"
"07268500","NUT","5","1984","1984","00613-00618-00631-71851-71856"
"07272000","NUT","0","-","-","-"
"07272500","NUT","0","-","-","-"
"07273000","NUT","0","-","-","-"
"07273100","NUT","1464","1988","1995","00610-00615-00620-00630-00650-00665-70507-71845"
"07273500","NUT","0","-","-","-"
"07273550","NUT","0","-","-","-"
"07274000","NUT","74","1971","1975","00600-00605-00610-00618-00620-00625-00630-00665-71845-71851-71887"
"07274252","NUT","2589","1988","1995","00608-00610-00613-00615-00618-00620-00630-00631-00650-00660-00665-00671-70507-71845-71846-71851-71856"
"07274500","NUT","0","-","-","-"
"07275000","NUT","3","1972","1972","00618-00620-71851"
"07275500","NUT","0","-","-","-"
"07275530","NUT","1471","1988","1995","00610-00615-00620-00630-00650-00665-70507-71845"
"07275900","NUT","3","1972","1972","00618-00620-71851"
"07276000","NUT","0","-","-","-"
"07276500","NUT","0","-","-","-"
"07277000","NUT","2","1962","1962","00618-71851"
"07277500","NUT","0","-","-","-"
"07277548","NUT","1156","1988","1995","00610-00615-00620-00630-00650-00665-70507-71845"
"07277700","NUT","2718","1988","1995","00608-00610-00613-00615-00618-00620-00630-00631-00650-00660-00665-00671-70507-71845-71846-71851-71856"
"07277730","NUT","2721","1988","1995","00608-00610-00613-00615-00618-00620-00630-00631-00650-00660-00665-00671-70507-71845-71846-71851-71856"
"07278000","NUT","0","-","-","-"
"07278500","NUT","36","1969","1974","00605-00613-00618-00631-00650-71851-71856"
"07279500","NUT","0","-","-","-"
"07279800","NUT","52","1980","1981","00600-00605-00610-00615-00620-00625-00630-00650-00665-70507-71845-71886-71887"
"07279850","NUT","0","-","-","-"
"07279937","NUT","122","1980","2009","00600-00605-00610-00615-00620-00625-00630-00650-00665-70507-71845-71886-71887"
"07279950","NUT","269","1997","2011","00600-00602-00605-00607-00608-00610-00613-00618-00623-00625-00630-00631-00650-00660-00665-00666-00671-70507-71845-71846-71851-71856-71887"
"07280000","NUT","42","1969","1971","00605-00613-00618-00650-71851-71856"
"07280270","NUT","56","1975","1978","00600-00605-00610-00615-00620-00625-00630-00650-00665-70507-71845-71887"
"07280340","NUT","36","1977","1978","00600-00605-00610-00615-00620-00625-00630-00650-00665-70507-71845-71887"
"07280400","NUT","56","1975","1978","00600-00605-00610-00615-00620-00625-00630-00650-00665-70507-71845-71887"
"07281600","NUT","266","2009","2017","00600-00605-00608-00610-00613-00618-00625-00630-00631-00650-00660-00665-00671-62855-70507-71845-71846-71851-71856-71887"
"07281960","NUT","0","-","-","-"
"07281977","NUT","0","-","-","-"
"07282000","NUT","0","-","-","-"
"07282075","NUT","0","-","-","-"
"07282090","NUT","0","-","-","-"
"07282100","NUT","130","1972","1997","00610-00615-00618-00620-00630-00650-00665-70507-71845-71851"
"07282500","NUT","3","1972","1972","00618-00620-71851"
"07283000","NUT","465","1970","1998","00600-00602-00605-00607-00608-00613-00618-00620-00623-00625-00631-00660-00665-00666-00671-34935-71846-71851-71856"
"07283500","NUT","0","-","-","-"
"07284500","NUT","0","-","-","-"
"07285000","NUT","0","-","-","-"
