"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","OOT","0","-","-","-"
"07267000","OOT","0","-","-","-"
"07268000","OOT","0","-","-","-"
"07268500","OOT","1","1984","1984","00680"
"07272000","OOT","0","-","-","-"
"07272500","OOT","0","-","-","-"
"07273000","OOT","0","-","-","-"
"07273100","OOT","215","1988","1995","00680-39250-39251"
"07273500","OOT","0","-","-","-"
"07273550","OOT","0","-","-","-"
"07274000","OOT","16","1974","1975","00550-00680-32730"
"07274252","OOT","357","1988","1995","00680-39250-39251"
"07274500","OOT","0","-","-","-"
"07275000","OOT","0","-","-","-"
"07275500","OOT","0","-","-","-"
"07275530","OOT","215","1988","1995","00680-39250-39251"
"07275900","OOT","0","-","-","-"
"07276000","OOT","0","-","-","-"
"07276500","OOT","0","-","-","-"
"07277000","OOT","0","-","-","-"
"07277500","OOT","0","-","-","-"
"07277548","OOT","156","1988","1995","00680"
"07277700","OOT","373","1988","1995","00680-39250-39251"
"07277730","OOT","371","1988","1995","00680-39250-39251"
"07278000","OOT","0","-","-","-"
"07278500","OOT","0","-","-","-"
"07279500","OOT","0","-","-","-"
"07279800","OOT","8","1980","1981","00680-39250-39251"
"07279850","OOT","0","-","-","-"
"07279937","OOT","13","1980","2009","00680-39250-39251"
"07279950","OOT","24","1998","2011","00680-01300-49289"
"07280000","OOT","0","-","-","-"
"07280270","OOT","0","-","-","-"
"07280340","OOT","0","-","-","-"
"07280400","OOT","0","-","-","-"
"07281600","OOT","22","2009","2011","00680"
"07281960","OOT","0","-","-","-"
"07281977","OOT","0","-","-","-"
"07282000","OOT","0","-","-","-"
"07282075","OOT","0","-","-","-"
"07282090","OOT","0","-","-","-"
"07282100","OOT","16","1996","1997","00680-39250"
"07282500","OOT","0","-","-","-"
"07283000","OOT","116","1995","1998","00681-00689-01300-49266-49271-49289-49381-49382-49383-49384-49387-49388-49389-49390-49391-49392-49393-49394-49395-49396-49397-49398-49399-49400-49401-49402-49403-49404-49405-49406-49407-49408-49409-49410-49411-49413-49421-49424-49426-49427-49428-49429-49430-49431-49433-49434-49435-49436-49437-49438-49439-49441-49444-49450-49452-49454-49455-49458-49461-49466-49467-49468-49948"
"07283500","OOT","0","-","-","-"
"07284500","OOT","0","-","-","-"
"07285000","OOT","0","-","-","-"
"07285400","OOT","215","1988","1995","00680-39250-39251"
"07285500","OOT","16","1974","1975","00550-00680-32730"
"07285510","OOT","0","-","-","-"
"07285900","OOT","0","-","-","-"
"07286000","OOT","0","-","-","-"
"07287000","OOT","13","1974","1993","00680-00687-32730-39251"
"07287120","OOT","83","1974","1990","00556-00680-00681-00689-32730-39250-39251"
"07287150","OOT","186","1991","1995","00680-39250-39251"
"07287160","OOT","187","1991","1995","00680-39250-39251"
"07287355","OOT","349","1988","1995","00680-39250-39251"
"07287400","OOT","131","1988","1995","00680"
"07287404","OOT","346","1988","1995","00680-39250-39251"
"07287405","OOT","134","1988","1995","00680"
"07288000","OOT","35","1974","2011","00550-00680-32730"
"07288200","OOT","0","-","-","-"
"07288280","OOT","5","2007","2009","00680"
"07288500","OOT","24","1998","2011","00680-49289"
"07288555","OOT","22","2009","2011","00680"
"0728862211","OOT","55","1995","2002","00680"
"07288650","OOT","1057","1995","2018","00680-00681-00689-01300-30243-49266-49271-49289-49381-49382-49383-49384-49387-49388-49389-49390-49391-49392-49393-49394-49395-49396-49397-49398-49399-49400-49401-49402-49403-49404-49405-49406-49407-49408-49409-49410-49411-49413-49421-49424-49426-49427-49428-49429-49430-49431-49433-49434-49435-49436-49437-49438-49439-49441-49444-49450-49452-49454-49455-49458-49461-49466-49467-49468-49948-50305-62461-63162-63167-63180-63181-63183-63187-63202-63208-63220-63224-63227-63610-64095-64097-64099-64100-64101-64102-64103-64104-64105-64106-64107-64108-64109-64111-64112-64113-64114-64115-64116-64117-64118-64120-64121-68871"
"07288700","OOT","81","1995","2011","00680-49266-49271-49289-49381-49382-49383-49384-49387-49388-49389-49390-49391-49392-49393-49394-49395-49396-49397-49398-49399-49400-49401-49402-49403-49404-49405-49406-49407-49408-49409-49410-49411-49413-49421-49424-49426-49427-49428-49429-49430-49431-49433-49434-49435-49436-49437-49438-49439-49441-49444-49450-49452-49454-49455-49458-49461-49466-49467-49468-49948"
"0728875070","OOT","2","2002","2002","00681-50305"
"07288938","OOT","1","2007","2007","00680"
"07288955","OOT","908","1995","2019","00680-00681-00689-01300-49266-49271-49289-49381-49382-49383-49384-49387-49388-49389-49390-49391-49392-49393-49394-49395-49396-49397-49398-49399-49400-49401-49402-49403-49404-49405-49406-49407-49408-49409-49410-49411-49413-49421-49424-49426-49427-49428-49429-49430-49431-49433-49434-49435-49436-49437-49438-49439-49441-49444-49450-49452-49454-49455-49458-49461-49466-49467-49468-49948-50305-63162-63781-63782-68871"
"324322091004700","OOT","0","-","-","-"
"330548091055100","OOT","280","2008","2016","00680"
