"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","OPC","0","-","-","-"
"07267000","OPC","0","-","-","-"
"07268000","OPC","0","-","-","-"
"07268500","OPC","0","-","-","-"
"07272000","OPC","0","-","-","-"
"07272500","OPC","0","-","-","-"
"07273000","OPC","0","-","-","-"
"07273100","OPC","14","1988","1995","39516-39519"
"07273500","OPC","0","-","-","-"
"07273550","OPC","0","-","-","-"
"07274000","OPC","4","1974","1975","39516-39519"
"07274252","OPC","16","1988","1995","39516-39519"
"07274500","OPC","0","-","-","-"
"07275000","OPC","0","-","-","-"
"07275500","OPC","0","-","-","-"
"07275530","OPC","15","1988","1995","39516-39519"
"07275900","OPC","0","-","-","-"
"07276000","OPC","0","-","-","-"
"07276500","OPC","0","-","-","-"
"07277000","OPC","0","-","-","-"
"07277500","OPC","0","-","-","-"
"07277548","OPC","0","-","-","-"
"07277700","OPC","18","1988","1995","39516-39519"
"07277730","OPC","16","1988","1995","39516-39519"
"07278000","OPC","0","-","-","-"
"07278500","OPC","0","-","-","-"
"07279500","OPC","0","-","-","-"
"07279800","OPC","4","1980","1981","39516-39519"
"07279850","OPC","0","-","-","-"
"07279937","OPC","4","1980","1981","39516-39519"
"07279950","OPC","1","1998","1998","49354"
"07280000","OPC","0","-","-","-"
"07280270","OPC","0","-","-","-"
"07280340","OPC","0","-","-","-"
"07280400","OPC","0","-","-","-"
"07281600","OPC","0","-","-","-"
"07281960","OPC","0","-","-","-"
"07281977","OPC","0","-","-","-"
"07282000","OPC","0","-","-","-"
"07282075","OPC","0","-","-","-"
"07282090","OPC","0","-","-","-"
"07282100","OPC","1","1997","1997","39516"
"07282500","OPC","0","-","-","-"
"07283000","OPC","2","1995","1995","49354-49459"
"07283500","OPC","0","-","-","-"
"07284500","OPC","0","-","-","-"
"07285000","OPC","0","-","-","-"
"07285400","OPC","14","1988","1995","39516-39519"
"07285500","OPC","4","1974","1975","39516-39519"
"07285510","OPC","0","-","-","-"
"07285900","OPC","0","-","-","-"
"07286000","OPC","0","-","-","-"
"07287000","OPC","16","1992","1992","34671-39488-39492-39496-39500-39504-39508-39519"
"07287120","OPC","25","1970","1982","39504-39507-39516-39519"
"07287150","OPC","8","1992","1995","39516-39519"
"07287160","OPC","8","1992","1995","39516-39519"
"07287355","OPC","15","1988","1995","39516-39519"
"07287400","OPC","0","-","-","-"
"07287404","OPC","15","1988","1995","39516-39519"
"07287405","OPC","0","-","-","-"
"07288000","OPC","4","1974","1975","39516-39519"
"07288200","OPC","0","-","-","-"
"07288280","OPC","0","-","-","-"
"07288500","OPC","1","1998","1998","49354"
"07288555","OPC","0","-","-","-"
"0728862211","OPC","0","-","-","-"
"07288650","OPC","4","1995","1999","49354-49459"
"07288700","OPC","2","1995","1995","49354-49459"
"0728875070","OPC","1","2002","2002","39519"
"07288938","OPC","0","-","-","-"
"07288955","OPC","4","1995","1996","49354-49459"
"324322091004700","OPC","0","-","-","-"
"330548091055100","OPC","0","-","-","-"
