"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","OPE","0","-","-","-"
"07267000","OPE","0","-","-","-"
"07268000","OPE","66","1996","1996","04023-04035-04036-04038-04040-04041-38535-38811-39415-39632-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-82630-82696-99775"
"07268500","OPE","0","-","-","-"
"07272000","OPE","0","-","-","-"
"07272500","OPE","0","-","-","-"
"07273000","OPE","0","-","-","-"
"07273100","OPE","615","1988","1996","04023-04035-04036-04038-04040-04041-30234-30235-30236-30245-30254-30255-30264-30282-30295-30296-30311-30324-38535-38811-38932-39011-39023-39024-39030-39034-39040-39051-39052-39054-39055-39056-39057-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39399-39400-39403-39410-39413-39415-39420-39423-39480-39481-39530-39531-39540-39541-39570-39571-39600-39601-39630-39632-39720-39730-39740-39750-39755-39758-39760-39786-39787-39790-39791-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-75980-75981-77441-77825-81757-81886-82052-82183-82184-82584-82586-82587-82611-82612-82613-82614-82615-82619-82630"
"07273500","OPE","0","-","-","-"
"07273550","OPE","0","-","-","-"
"07274000","OPE","84","1974","1975","39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39390-39393-39398-39399-39400-39403-39410-39413-39420-39423-39530-39531-39540-39541-39570-39571-39600-39601-39730-39731-39740-39741-39760-39761-39786-39787-39790-39791"
"07274252","OPE","681","1988","1996","04023-04035-04036-04038-04040-04041-30234-30235-30236-30245-30254-30255-30264-30282-30295-30296-30311-30324-38535-38811-38932-39011-39023-39024-39030-39034-39040-39051-39052-39054-39055-39056-39057-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39399-39400-39403-39410-39413-39415-39420-39423-39480-39481-39530-39531-39540-39541-39570-39571-39600-39601-39630-39632-39720-39730-39740-39750-39755-39758-39760-39786-39787-39790-39791-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-75980-75981-77441-77825-81757-81886-82052-82183-82184-82584-82586-82587-82611-82612-82613-82614-82615-82619-82630"
"07274500","OPE","0","-","-","-"
"07275000","OPE","0","-","-","-"
"07275500","OPE","0","-","-","-"
"07275530","OPE","637","1988","1996","04023-04035-04036-04038-04040-04041-30234-30235-30236-30245-30254-30255-30264-30282-30295-30296-30311-30324-38535-38811-38932-39011-39023-39024-39030-39034-39040-39051-39052-39054-39055-39056-39057-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39399-39400-39403-39410-39413-39415-39420-39423-39480-39481-39530-39531-39540-39541-39570-39571-39600-39601-39630-39632-39720-39730-39740-39750-39755-39758-39760-39786-39787-39790-39791-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-75980-75981-77441-77825-81757-81886-82052-82183-82184-82584-82586-82587-82611-82612-82613-82614-82615-82619-82630"
"07275900","OPE","0","-","-","-"
"07276000","OPE","0","-","-","-"
"07276500","OPE","0","-","-","-"
"07277000","OPE","0","-","-","-"
"07277500","OPE","0","-","-","-"
"07277548","OPE","0","-","-","-"
"07277700","OPE","770","1988","1996","04023-04035-04036-04038-04040-04041-30234-30235-30236-30245-30254-30255-30264-30282-30295-30296-30311-30324-38535-38811-38932-39011-39023-39024-39030-39034-39040-39051-39052-39054-39055-39056-39057-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39399-39400-39403-39410-39413-39415-39420-39423-39480-39481-39530-39531-39540-39541-39570-39571-39600-39601-39630-39632-39720-39730-39740-39750-39755-39758-39760-39786-39787-39790-39791-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-75980-75981-77441-77825-81757-81886-82052-82183-82184-82584-82586-82587-82611-82612-82613-82614-82615-82619-82630"
"07277730","OPE","680","1988","1996","04023-04035-04036-04038-04040-04041-30234-30235-30236-30245-30254-30255-30264-30282-30295-30296-30311-30324-38535-38811-38932-39011-39023-39024-39030-39034-39040-39051-39052-39054-39055-39056-39057-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39399-39400-39403-39410-39413-39415-39420-39423-39480-39481-39530-39531-39540-39541-39570-39571-39600-39601-39630-39632-39720-39730-39740-39750-39755-39758-39760-39786-39787-39790-39791-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-75980-75981-77441-77825-81757-81886-82052-82183-82184-82584-82586-82587-82611-82612-82613-82614-82615-82619-82630"
"07278000","OPE","0","-","-","-"
"07278500","OPE","0","-","-","-"
"07279500","OPE","0","-","-","-"
"07279800","OPE","82","1980","1981","39034-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39400-39403-39410-39413-39420-39423-39480-39481-39530-39540-39570-39600-39730-39740-39755-39758-39760-39786-39790-81886-82183"
"07279850","OPE","0","-","-","-"
"07279937","OPE","82","1980","1981","39034-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39400-39403-39410-39413-39420-39423-39480-39481-39530-39540-39570-39600-39730-39740-39755-39758-39760-39786-39790-81886-82183"
"07279950","OPE","164","1996","1998","04023-04035-04036-04038-04040-04041-38535-38811-39415-39632-46342-49260-49353-49355-49356-49357-49358-49359-49360-49361-49362-49363-49364-49365-49366-49367-49368-49369-49370-49371-49372-49373-49374-49375-49376-49377-49378-49379-49380-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-82630-82696-90854-90865-90866-99775"
"07280000","OPE","0","-","-","-"
"07280270","OPE","0","-","-","-"
"07280340","OPE","0","-","-","-"
"07280400","OPE","0","-","-","-"
"07281600","OPE","0","-","-","-"
"07281960","OPE","0","-","-","-"
"07281977","OPE","0","-","-","-"
"07282000","OPE","0","-","-","-"
"07282075","OPE","0","-","-","-"
"07282090","OPE","0","-","-","-"
"07282100","OPE","65","1997","1997","04029-38442-38478-38482-38487-38501-38538-38711-38746-38811-38866-38932-39011-39023-39034-39040-39330-39340-39350-39360-39365-39370-39380-39388-39390-39398-39400-39410-39420-39480-39530-39540-39570-39600-39732-39742-39755-39762-39786-49235-49236-49291-49292-49293-49294-49296-49297-49299-49300-49301-49302-49303-49304-49305-49306-49308-49309-49310-49311-49312-49313-49314-49315-61188-82614"
"07282500","OPE","0","-","-","-"
"07283000","OPE","593","1995","1998","04023-04035-04036-04038-04040-04041-38535-38811-39415-39632-46342-49260-49316-49317-49318-49319-49320-49321-49322-49324-49325-49326-49327-49328-49329-49330-49331-49332-49335-49338-49339-49341-49342-49343-49344-49345-49346-49347-49348-49349-49350-49351-49353-49355-49356-49357-49358-49359-49360-49361-49362-49363-49364-49365-49366-49367-49368-49369-49370-49371-49372-49373-49374-49375-49376-49377-49378-49379-49380-49422-49442-49443-49446-49449-49451-49460-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-82630-82696-90852-90854-90855-90863-90864-90865-90866-99775"
"07283500","OPE","0","-","-","-"
"07284500","OPE","0","-","-","-"
"07285000","OPE","0","-","-","-"
"07285400","OPE","604","1988","1996","04023-04035-04036-04038-04040-04041-30234-30235-30236-30245-30254-30255-30264-30282-30295-30296-30311-30324-38535-38811-38932-39011-39023-39024-39030-39034-39040-39051-39052-39054-39055-39056-39057-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39399-39400-39403-39410-39413-39415-39420-39423-39480-39481-39530-39531-39540-39541-39570-39571-39600-39601-39630-39632-39720-39730-39740-39750-39755-39758-39760-39786-39787-39790-39791-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-75980-75981-77441-77825-81757-81886-82052-82183-82184-82584-82586-82587-82611-82612-82613-82614-82615-82619-82630"
"07285500","OPE","84","1974","1975","39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39390-39393-39398-39399-39400-39403-39410-39413-39420-39423-39530-39531-39540-39541-39570-39571-39600-39601-39730-39731-39740-39741-39760-39761-39786-39787-39790-39791"
"07285510","OPE","0","-","-","-"
"07285900","OPE","0","-","-","-"
"07286000","OPE","0","-","-","-"
"07287000","OPE","133","1992","1996","04023-04035-04036-04038-04040-04041-34257-34259-34262-34351-34356-34361-34366-34609-38535-38811-39062-39065-39076-39300-39310-39320-39330-39333-39337-39338-39340-39343-39350-39351-39363-39368-39373-39380-39383-39389-39390-39393-39400-39403-39410-39413-39415-39420-39423-39481-39632-39730-39731-39740-39741-39758-39760-39761-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-81886-82183-82630"
"07287120","OPE","812","1970","1982","39025-39034-39046-39300-39301-39305-39311-39321-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39399-39400-39403-39410-39413-39420-39423-39480-39481-39530-39531-39540-39541-39570-39571-39600-39601-39630-39631-39730-39731-39740-39741-39755-39758-39760-39761-39786-39787-39790-39791-81886-82183"
"07287150","OPE","349","1992","1995","30234-30235-30236-30245-30254-30255-30264-30282-30295-30296-30311-30324-38932-39011-39023-39024-39030-39034-39040-39051-39052-39054-39055-39056-39057-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39399-39400-39403-39410-39413-39420-39423-39480-39481-39530-39531-39540-39541-39570-39571-39600-39601-39630-39720-39730-39740-39750-39755-39758-39760-39786-39787-39791-75980-75981-77441-77825-81757-81886-82052-82183-82184-82584-82586-82587-82611-82612-82613-82614-82615-82619"
"07287160","OPE","393","1992","1996","04023-04035-04036-04038-04040-04041-30234-30235-30236-30245-30254-30255-30264-30282-30295-30296-30311-30324-38535-38811-38932-39011-39023-39024-39030-39034-39040-39051-39052-39054-39055-39056-39057-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39399-39400-39403-39410-39413-39415-39420-39423-39480-39481-39530-39531-39540-39541-39570-39571-39600-39601-39630-39632-39720-39730-39740-39750-39755-39758-39760-39786-39787-39791-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-75980-75981-77441-77825-81757-81886-82052-82183-82184-82584-82586-82587-82611-82612-82613-82614-82615-82619-82630"
"07287355","OPE","645","1988","1996","04023-04035-04036-04038-04040-04041-30234-30235-30236-30245-30254-30255-30264-30282-30295-30296-30311-30324-38535-38811-38932-39011-39023-39024-39030-39034-39040-39051-39052-39054-39055-39056-39057-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39399-39400-39403-39410-39413-39415-39420-39423-39480-39481-39530-39531-39540-39541-39570-39571-39600-39601-39630-39632-39720-39730-39740-39750-39755-39758-39760-39786-39787-39790-39791-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-75980-75981-77441-77825-81757-81886-82052-82183-82184-82584-82586-82587-82611-82612-82613-82614-82615-82619-82630"
"07287400","OPE","0","-","-","-"
"07287404","OPE","656","1988","1996","04023-04035-04036-04038-04040-04041-30234-30235-30236-30245-30254-30255-30264-30282-30295-30296-30311-30324-38535-38811-38932-39011-39023-39024-39030-39034-39040-39051-39052-39054-39055-39056-39057-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39388-39389-39390-39393-39398-39399-39400-39403-39410-39413-39415-39420-39423-39480-39481-39530-39531-39540-39541-39570-39571-39600-39601-39630-39632-39720-39730-39740-39750-39755-39758-39760-39786-39787-39790-39791-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-75980-75981-77441-77825-81757-81886-82052-82183-82184-82584-82586-82587-82611-82612-82613-82614-82615-82619-82630"
"07287405","OPE","0","-","-","-"
"07288000","OPE","130","1974","1996","04023-04035-04036-04038-04040-04041-38535-38811-39330-39333-39340-39343-39350-39351-39360-39363-39365-39368-39370-39373-39380-39383-39390-39393-39398-39399-39400-39403-39410-39413-39415-39420-39423-39530-39531-39540-39541-39570-39571-39600-39601-39632-39730-39731-39740-39741-39760-39761-39786-39787-39790-39791-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-82630"
"07288200","OPE","0","-","-","-"
"07288280","OPE","44","1996","1996","04023-04035-04036-04038-04040-04041-38535-38811-39415-39632-46342-49260-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-82630"
"07288500","OPE","143","1996","1998","04023-04035-04036-04038-04040-04041-38535-38811-39415-39632-46342-49260-49353-49355-49356-49357-49358-49359-49360-49361-49362-49363-49364-49365-49366-49367-49368-49369-49370-49371-49372-49373-49374-49375-49376-49377-49378-49379-49380-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-82630-90854-90865-90866"
"07288555","OPE","0","-","-","-"
"0728862211","OPE","1096","1995","2002","04024-04028-04029-04035-04036-04037-04038-04040-04041-04095-34253-34653-38442-38478-38482-38487-38501-38535-38538-38574-38711-38746-38811-38866-38933-39341-39381-39415-39532-39542-39572-39632-39732-39742-39762-46342-49235-49236-49260-49291-49292-49293-49294-49296-49297-49299-49300-49301-49302-49303-49304-49305-49306-49308-49309-49310-49311-49312-49313-49314-49315-50307-50309-50332-50375-50376-50377-50378-50379-50380-50473-61188-61709-61710-62649-62721-62722-82630-82660-82661-82663-82664-82665-82666-82667-82668-82669-82670-82671-82672-82673-82674-82675-82676-82677-82678-82679-82680-82681-82682-82683-82684-82685-82686-82687-99773-99960"
"07288650","OPE","49046","1995","2018","04005-04006-04022-04023-04024-04025-04028-04029-04031-04032-04033-04035-04036-04037-04038-04039-04040-04041-04095-34253-34362-34653-38442-38454-38478-38482-38487-38501-38535-38538-38548-38711-38746-38775-38811-38866-38933-39046-39050-39056-39301-39311-39321-39341-39381-39415-39531-39532-39542-39571-39572-39601-39631-39632-39720-39730-39732-39740-39742-39760-39762-46342-49235-49236-49260-49291-49292-49293-49294-49295-49296-49297-49299-49300-49301-49302-49303-49304-49305-49306-49308-49309-49310-49311-49312-49313-49314-49315-49316-49317-49318-49319-49320-49321-49322-49324-49325-49326-49327-49328-49329-49330-49331-49332-49335-49338-49339-49341-49342-49343-49344-49345-49346-49347-49348-49349-49350-49351-49353-49355-49356-49357-49358-49359-49360-49361-49362-49363-49364-49365-49366-49367-49368-49369-49370-49371-49372-49373-49374-49375-49376-49377-49378-49379-49380-49422-49442-49443-49446-49449-49451-49460-50295-50299-50300-50306-50332-50337-50355-50356-50359-50364-50375-50377-50407-50470-50471-61188-61585-61586-61590-61591-61593-61594-61595-61596-61598-61599-61600-61601-61606-61610-61618-61620-61625-61627-61633-61635-61636-61638-61640-61644-61645-61646-61649-61652-61664-61666-61668-61674-61678-61679-61680-61682-61683-61685-61687-61692-61693-61694-61695-61697-61709-61741-61742-61752-61753-61754-62046-62047-62166-62167-62168-62169-62170-62649-62721-62722-62902-62904-62905-63194-63631-63650-64119-64150-64151-64152-64153-64154-64155-64156-64158-64159-64160-64161-64163-64164-64165-64166-64167-64168-64169-64170-64171-65064-65065-65066-65067-65068-65069-65070-65072-65078-65080-65084-65085-65087-65088-65090-65091-65093-65098-65102-65103-65105-65107-65109-65110-65111-65112-65113-65114-66585-66588-66589-66591-66592-66595-66596-66598-66604-66606-66607-66609-66610-66612-66613-66615-66618-66620-66622-66625-66632-66634-66641-66642-66643-66645-66646-66648-66649-66650-66651-66654-66656-66659-66660-66662-67538-67552-67564-67576-67584-67595-67606-67609-67611-67615-67620-67624-67638-67642-67647-67651-67655-67664-67670-67672-67685-67702-67706-67708-67719-67733-67743-67748-67755-67760-67765-67770-68211-68216-68226-68231-68236-68240-68324-68336-68356-68375-68426-68437-68439-68498-68500-68502-68503-68505-68508-68511-68514-68515-68517-68519-68520-68521-68522-68523-68524-68525-68526-68527-68528-68529-68530-68533-68536-68538-68542-68543-68545-68547-68548-68549-68550-68551-68552-68553-68560-68561-68562-68563-68564-68566-68567-68568-68569-68570-68571-68572-68573-68574-68575-68576-68577-68578-68580-68581-68582-68583-68586-68587-68588-68589-68590-68591-68594-68595-68596-68597-68598-68599-68600-68601-68602-68603-68604-68605-68606-68608-68611-68612-68613-68614-68615-68616-68617-68618-68619-68620-68621-68622-68623-68624-68625-68627-68632-68633-68638-68639-68641-68644-68645-68646-68647-68648-68649-68650-68651-68652-68653-68654-68655-68656-68657-68658-68659-68660-68661-68662-68663-68664-68665-68666-68668-68669-68670-68671-68672-68673-68675-68676-68677-68678-68679-68680-68682-68683-68684-68685-68686-68687-68688-68689-68690-68691-68692-68693-68694-68695-68696-68697-68698-68699-68700-68701-68702-68703-68704-68708-68710-68711-68712-68713-68714-68769-68872-68873-68876-68878-68880-68882-68884-68886-68888-68891-68893-68895-68897-68899-68901-68903-68905-68907-68909-68911-68913-68915-68917-68919-78688-79846-79847-81404-82052-82183-82346-82402-82630-82660-82661-82662-82663-82664-82665-82666-82667-82668-82669-82670-82671-82672-82673-82674-82675-82676-82677-82678-82679-82680-82681-82682-82683-82684-82685-82686-82687-82694-82696-90852-90854-90855-90863-90864-90865-90866-99775"
"07288700","OPE","1729","1995","1998","04023-04035-04036-04038-04040-04041-38535-38811-39415-39632-46342-49260-49316-49317-49318-49319-49320-49321-49322-49324-49325-49326-49327-49328-49329-49330-49331-49332-49335-49338-49339-49341-49342-49343-49344-49345-49346-49347-49348-49349-49350-49351-49353-49355-49356-49357-49358-49359-49360-49361-49362-49363-49364-49365-49366-49367-49368-49369-49370-49371-49372-49373-49374-49375-49376-49377-49378-49379-49380-49422-49442-49443-49446-49449-49451-49460-50332-50375-50377-61625-61709-61741-61742-61752-61753-61754-82630-82696-90852-90854-90863-90864-90865-90866-99775"
