"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","PHY","5","1971","1971","00010-00060-00095-00400-30208"
"07267000","PHY","0","-","-","-"
"07268000","PHY","112","1971","2012","00004-00010-00060-00061-00065-00080-00095-00400-00900-00902-30207-30208-30209-63676-70300-70301-70302-70303"
"07268500","PHY","21","1971","1984","00010-00025-00060-00061-00065-00076-00080-00095-00400-00403-00520-00900-30207-30208-30209-70300-70302-70303-90095"
"07272000","PHY","0","-","-","-"
"07272500","PHY","0","-","-","-"
"07273000","PHY","0","-","-","-"
"07273100","PHY","1958","1974","2017","00010-00025-00061-00065-00080-00095-00400-00403-00900-00902-30207-30209-70300-70301-70302-70303-90095"
"07273500","PHY","0","-","-","-"
"07273550","PHY","2","1992","1992","00010-00095"
"07274000","PHY","144","1971","1975","00010-00060-00061-00070-00080-00095-00310-00340-00400-00515-00530-00900-00902-30208-30209-70300-70301-70302-70303"
"07274252","PHY","3973","1986","2017","00010-00025-00061-00065-00080-00095-00400-00403-00900-30207-30209-70300-70301-70302-70303-90095"
"07274500","PHY","0","-","-","-"
"07275000","PHY","8","1972","1972","00080-00095-00400-00900-00902-70300-70301-70303"
"07275500","PHY","12","1974","1974","00010-00061-00080-00095-00400-00900-00902-30209-70300-70301-70302-70303"
"07275530","PHY","1943","1987","1997","00010-00025-00061-00065-00095-00400-00403-30207-30209-90095"
"07275900","PHY","12","1972","1972","00010-00060-00080-00095-00400-00900-00902-30208-70300-70301-70302-70303"
"07276000","PHY","0","-","-","-"
"07276500","PHY","5","1971","1971","00010-00060-00095-00400-30208"
"07277000","PHY","21","1962","1974","00010-00060-00061-00080-00095-00400-00900-00902-30208-30209-70300-70301-70302-70303"
"07277500","PHY","0","-","-","-"
"07277548","PHY","1647","1988","2008","00010-00025-00061-00065-00095-00400-00403-30207-30209-90095"
"07277700","PHY","6942","1974","2011","00004-00010-00025-00061-00065-00080-00095-00400-00403-00900-00902-30207-30209-63675-70300-70301-70302-70303-90095"
"07277730","PHY","4407","1987","2008","00010-00025-00061-00065-00080-00095-00400-00403-00900-30207-30209-70300-70301-70302-70303-90095"
"07278000","PHY","0","-","-","-"
"07278500","PHY","102","1969","1974","00010-00060-00075-00080-00095-00310-00335-00400-00500-00505-00515-00530-00900-00902-30208-70299-70300-70302-70303"
