"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","POP","0","-","-","-"
"07267000","POP","0","-","-","-"
"07268000","POP","0","-","-","-"
"07268500","POP","0","-","-","-"
"07272000","POP","0","-","-","-"
"07272500","POP","0","-","-","-"
"07273000","POP","0","-","-","-"
"07273100","POP","0","-","-","-"
"07273500","POP","0","-","-","-"
"07273550","POP","0","-","-","-"
"07274000","POP","0","-","-","-"
"07274252","POP","0","-","-","-"
"07274500","POP","0","-","-","-"
"07275000","POP","0","-","-","-"
"07275500","POP","0","-","-","-"
"07275530","POP","0","-","-","-"
"07275900","POP","0","-","-","-"
"07276000","POP","0","-","-","-"
"07276500","POP","0","-","-","-"
"07277000","POP","0","-","-","-"
"07277500","POP","0","-","-","-"
"07277548","POP","0","-","-","-"
"07277700","POP","0","-","-","-"
"07277730","POP","0","-","-","-"
"07278000","POP","0","-","-","-"
"07278500","POP","0","-","-","-"
"07279500","POP","0","-","-","-"
"07279800","POP","48","1980","1981","96014-96067-96190-96197-96200-96202-96205-96209-96215-96218-96225-96227-96240-96243-96245-96254-96387-96392-96706-96707-96791-96812-98082-98136"
"07279850","POP","0","-","-","-"
"07279937","POP","57","1980","1981","96014-96067-96190-96202-96215-96225-96226-96230-96240-96243-96245-96254-96387-96390-96392-96430-96558-96706-96707-96777-96789-96791-96812-98075-98082-98090-98165"
"07279950","POP","0","-","-","-"
"07280000","POP","0","-","-","-"
"07280270","POP","0","-","-","-"
"07280340","POP","0","-","-","-"
"07280400","POP","0","-","-","-"
"07281600","POP","0","-","-","-"
"07281960","POP","0","-","-","-"
"07281977","POP","0","-","-","-"
"07282000","POP","0","-","-","-"
"07282075","POP","0","-","-","-"
"07282090","POP","0","-","-","-"
"07282100","POP","0","-","-","-"
"07282500","POP","0","-","-","-"
"07283000","POP","0","-","-","-"
"07283500","POP","0","-","-","-"
"07284500","POP","0","-","-","-"
"07285000","POP","0","-","-","-"
"07285400","POP","0","-","-","-"
"07285500","POP","0","-","-","-"
"07285510","POP","0","-","-","-"
"07285900","POP","0","-","-","-"
"07286000","POP","0","-","-","-"
"07287000","POP","6","1974","1974","96215-96240-96706-96707-96791-98165"
"07287120","POP","652","1974","1981","96013-96014-96016-96036-96038-96039-96067-96086-96167-96190-96197-96200-96202-96205-96209-96213-96215-96217-96218-96223-96225-96226-96227-96229-96230-96232-96238-96240-96243-96245-96252-96254-96312-96313-96324-96327-96387-96389-96390-96392-96416-96430-96454-96482-96484-96487-96489-96587-96600-96706-96707-96708-96726-96750-96756-96759-96763-96764-96765-96766-96775-96777-96778-96789-96791-96793-96795-96796-96802-96806-96808-96811-96812-96817-98075-98082-98090-98093-98131-98136-98150-98165-98166-98167-98169-98170-98171-98194"
"07287150","POP","0","-","-","-"
"07287160","POP","0","-","-","-"
"07287355","POP","0","-","-","-"
"07287400","POP","0","-","-","-"
"07287404","POP","0","-","-","-"
"07287405","POP","0","-","-","-"
"07288000","POP","19","1976","1976","96014-96067-96202-96243-96387-96392-96706-96777-96778-96787-96789-96791-96792-96805-96812-98082-98090-98136-98165"
"07288200","POP","0","-","-","-"
"07288280","POP","0","-","-","-"
"07288500","POP","0","-","-","-"
"07288555","POP","0","-","-","-"
"0728862211","POP","0","-","-","-"
"07288650","POP","0","-","-","-"
"07288700","POP","0","-","-","-"
"0728875070","POP","0","-","-","-"
"07288938","POP","0","-","-","-"
"07288955","POP","0","-","-","-"
"324322091004700","POP","0","-","-","-"
"330548091055100","POP","0","-","-","-"
