"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","RAD","0","-","-","-"
"07267000","RAD","0","-","-","-"
"07268000","RAD","0","-","-","-"
"07268500","RAD","0","-","-","-"
"07272000","RAD","0","-","-","-"
"07272500","RAD","0","-","-","-"
"07273000","RAD","0","-","-","-"
"07273100","RAD","0","-","-","-"
"07273500","RAD","0","-","-","-"
"07273550","RAD","0","-","-","-"
"07274000","RAD","6","1974","1974","03515-03516-80030-80040-80050-80060"
"07274252","RAD","0","-","-","-"
"07274500","RAD","0","-","-","-"
"07275000","RAD","0","-","-","-"
"07275500","RAD","0","-","-","-"
"07275530","RAD","0","-","-","-"
"07275900","RAD","0","-","-","-"
"07276000","RAD","0","-","-","-"
"07276500","RAD","0","-","-","-"
"07277000","RAD","0","-","-","-"
"07277500","RAD","0","-","-","-"
"07277548","RAD","0","-","-","-"
"07277700","RAD","0","-","-","-"
"07277730","RAD","0","-","-","-"
"07278000","RAD","0","-","-","-"
"07278500","RAD","0","-","-","-"
"07279500","RAD","0","-","-","-"
"07279800","RAD","2","1980","1981","82068"
"07279850","RAD","0","-","-","-"
"07279937","RAD","2","1980","1981","82068"
"07279950","RAD","0","-","-","-"
"07280000","RAD","0","-","-","-"
"07280270","RAD","0","-","-","-"
"07280340","RAD","0","-","-","-"
"07280400","RAD","0","-","-","-"
"07281600","RAD","0","-","-","-"
"07281960","RAD","0","-","-","-"
"07281977","RAD","0","-","-","-"
"07282000","RAD","0","-","-","-"
"07282075","RAD","0","-","-","-"
"07282090","RAD","0","-","-","-"
"07282100","RAD","0","-","-","-"
"07282500","RAD","0","-","-","-"
"07283000","RAD","3","1995","1995","34980-35000-49257"
"07283500","RAD","0","-","-","-"
"07284500","RAD","0","-","-","-"
"07285000","RAD","0","-","-","-"
"07285400","RAD","0","-","-","-"
"07285500","RAD","6","1974","1974","03515-03516-80030-80040-80050-80060"
"07285510","RAD","0","-","-","-"
"07285900","RAD","0","-","-","-"
"07286000","RAD","0","-","-","-"
"07287000","RAD","0","-","-","-"
"07287120","RAD","12","1979","1981","82068"
"07287150","RAD","0","-","-","-"
"07287160","RAD","0","-","-","-"
"07287355","RAD","0","-","-","-"
"07287400","RAD","0","-","-","-"
"07287404","RAD","0","-","-","-"
"07287405","RAD","0","-","-","-"
"07288000","RAD","6","1974","1974","03515-03516-80030-80040-80050-80060"
"07288200","RAD","0","-","-","-"
"07288280","RAD","0","-","-","-"
"07288500","RAD","0","-","-","-"
"07288555","RAD","0","-","-","-"
"0728862211","RAD","0","-","-","-"
"07288650","RAD","5","1995","2015","30312-30320-34980-35000-49257"
"07288700","RAD","3","1995","1995","34980-35000-49257"
"0728875070","RAD","0","-","-","-"
"07288938","RAD","0","-","-","-"
"07288955","RAD","4","1995","1995","34980-35000-49257"
"324322091004700","RAD","0","-","-","-"
"330548091055100","RAD","0","-","-","-"
