"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","SED","0","-","-","-"
"07267000","SED","0","-","-","-"
"07268000","SED","18","2011","2012","80154-80155"
"07268500","SED","1","1984","1984","80154"
"07272000","SED","0","-","-","-"
"07272500","SED","0","-","-","-"
"07273000","SED","0","-","-","-"
"07273100","SED","713","1987","2017","70331-70337-70338-70339-70340-70341-70342-70343-70344-70345-70346-80154-80155-80164-80165-80166-80167-80168-80169-80170"
"07273500","SED","0","-","-","-"
"07273550","SED","0","-","-","-"
"07274000","SED","16","1974","1975","80154-80155"
"07274252","SED","650","1986","2017","70331-70337-70338-70339-70340-70341-70342-70343-70344-70345-70346-80154-80155-80164-80165-80166-80167-80168-80169-80170"
"07274500","SED","0","-","-","-"
"07275000","SED","0","-","-","-"
"07275500","SED","0","-","-","-"
"07275530","SED","751","1987","1997","70331-70337-70338-70339-70340-70341-70342-70343-70344-70345-70346-80154-80155-80164-80165-80166-80167-80168-80169-80170"
"07275900","SED","0","-","-","-"
"07276000","SED","0","-","-","-"
"07276500","SED","0","-","-","-"
"07277000","SED","0","-","-","-"
"07277500","SED","0","-","-","-"
"07277548","SED","343","1988","2008","70331-80154-80155"
"07277700","SED","2210","1986","2011","70331-70337-70338-70339-70340-70341-70342-70343-70344-70345-70346-80154-80155-80164-80165-80166-80167-80168-80169-80170"
"07277730","SED","513","1987","2008","70331-70337-70338-70339-70340-70341-70342-70343-70344-70345-70346-80154-80155-80164-80165-80166-80167-80168-80169-80170"
"07278000","SED","0","-","-","-"
"07278500","SED","0","-","-","-"
"07279500","SED","0","-","-","-"
"07279800","SED","52","1980","1982","80154-80155"
"07279850","SED","0","-","-","-"
"07279937","SED","69","1980","2009","80154-80155"
"07279950","SED","41","1997","2010","00496-80154-80155-80164-80165-80166"
"07280000","SED","0","-","-","-"
"07280270","SED","700","1975","1983","80154-80155"
"07280340","SED","666","1977","1983","80154-80155"
"07280400","SED","0","-","-","-"
"07281600","SED","66","2009","2010","80154-80155"
"07281960","SED","799","2003","2011","80154-80155"
"07281977","SED","1015","1999","2011","80154-80155-80164-80165-80166-80167-80168"
"07282000","SED","0","-","-","-"
"07282075","SED","723","2003","2011","80154-80155"
"07282090","SED","776","1999","2011","80154-80155-80164-80165-80166-80167-80168-80169-80170"
"07282100","SED","0","-","-","-"
"07282500","SED","0","-","-","-"
"07283000","SED","94","1995","1998","00496-70331-80154-80155-80164-80165-80166-80167-80168"
"07283500","SED","0","-","-","-"
"07284500","SED","0","-","-","-"
"07285000","SED","0","-","-","-"
"07285400","SED","785","1986","2017","70331-70337-70338-70339-70340-70341-70342-70343-70344-70345-70346-80154-80155-80164-80165-80166-80167-80168-80169-80170"
"07285500","SED","8","1974","1975","80154"
"07285510","SED","0","-","-","-"
"07285900","SED","0","-","-","-"
"07286000","SED","0","-","-","-"
"07287000","SED","0","-","-","-"
"07287120","SED","254","1974","1986","70331-80154-80155-80164"
"07287150","SED","1856","1991","2011","70331-70337-70338-70339-70340-70341-70342-70343-70344-70345-70346-80154-80155-80164-80165-80166-80167-80168-80169-80170"
"07287160","SED","2306","1991","2017","70331-70337-70338-70339-70340-70341-70342-70343-70344-70345-70346-80154-80155-80164-80165-80166-80167-80168-80169-80170"
"07287355","SED","350","1987","1999","70331-70342-70343-70344-70345-80154-80155-80164-80165-80166-80167-80168-80169-80170"
"07287400","SED","180","1988","1995","80154-80155"
"07287404","SED","1013","1987","2017","70331-70337-70338-70339-70340-70341-70342-70343-70344-70345-70346-80154-80155-80164-80165-80166-80167-80168-80169-80170"
"07287405","SED","170","1988","1995","80154-80155"
"07288000","SED","263","1974","2010","70331-80154-80155"
"07288200","SED","0","-","-","-"
"07288280","SED","9","2007","2009","80154-80155"
"07288500","SED","76","1997","2010","00496-80154-80155-80164-80165-80166-80167-80168"
"07288555","SED","31","2009","2010","80154-80155"
"0728862211","SED","96","1995","2003","80154"
"07288650","SED","1029","1995","2018","00496-69052-70331-80154-80155-80164-80165-80166-80167-80168-80169"
"07288700","SED","39","1995","2010","00496-80154-80155-80164-80165-80166-80167"
"0728875070","SED","764","2001","2012","80154-80155"
"07288938","SED","2","2007","2007","80154-80155"
"07288955","SED","1172","1994","2019","00496-70331-80154-80155-80164-80165-80166-80167-80168"
"324322091004700","SED","79","2009","2010","80154-80155"
"330548091055100","SED","517","2008","2016","80154-80155"
