"site","parm_group_code","obs_count","start_date","end_date","parm_codes"
"07265500","TOX","0","-","-","-"
"07267000","TOX","0","-","-","-"
"07268000","TOX","0","-","-","-"
"07268500","TOX","0","-","-","-"
"07272000","TOX","0","-","-","-"
"07272500","TOX","0","-","-","-"
"07273000","TOX","0","-","-","-"
"07273100","TOX","0","-","-","-"
"07273500","TOX","0","-","-","-"
"07273550","TOX","0","-","-","-"
"07274000","TOX","0","-","-","-"
"07274252","TOX","0","-","-","-"
"07274500","TOX","0","-","-","-"
"07275000","TOX","0","-","-","-"
"07275500","TOX","0","-","-","-"
"07275530","TOX","0","-","-","-"
"07275900","TOX","0","-","-","-"
"07276000","TOX","0","-","-","-"
"07276500","TOX","0","-","-","-"
"07277000","TOX","0","-","-","-"
"07277500","TOX","0","-","-","-"
"07277548","TOX","0","-","-","-"
"07277700","TOX","0","-","-","-"
"07277730","TOX","0","-","-","-"
"07278000","TOX","0","-","-","-"
"07278500","TOX","0","-","-","-"
"07279500","TOX","0","-","-","-"
"07279800","TOX","0","-","-","-"
"07279850","TOX","0","-","-","-"
"07279937","TOX","0","-","-","-"
"07279950","TOX","0","-","-","-"
"07280000","TOX","0","-","-","-"
"07280270","TOX","0","-","-","-"
"07280340","TOX","0","-","-","-"
"07280400","TOX","0","-","-","-"
"07281600","TOX","0","-","-","-"
"07281960","TOX","0","-","-","-"
"07281977","TOX","0","-","-","-"
"07282000","TOX","0","-","-","-"
"07282075","TOX","0","-","-","-"
"07282090","TOX","0","-","-","-"
"07282100","TOX","0","-","-","-"
"07282500","TOX","0","-","-","-"
"07283000","TOX","0","-","-","-"
"07283500","TOX","0","-","-","-"
"07284500","TOX","0","-","-","-"
"07285000","TOX","0","-","-","-"
"07285400","TOX","0","-","-","-"
"07285500","TOX","0","-","-","-"
"07285510","TOX","0","-","-","-"
"07285900","TOX","0","-","-","-"
"07286000","TOX","0","-","-","-"
"07287000","TOX","0","-","-","-"
"07287120","TOX","0","-","-","-"
"07287150","TOX","0","-","-","-"
"07287160","TOX","0","-","-","-"
"07287355","TOX","0","-","-","-"
"07287400","TOX","0","-","-","-"
"07287404","TOX","0","-","-","-"
"07287405","TOX","0","-","-","-"
"07288000","TOX","0","-","-","-"
"07288200","TOX","0","-","-","-"
"07288280","TOX","0","-","-","-"
"07288500","TOX","0","-","-","-"
"07288555","TOX","0","-","-","-"
"0728862211","TOX","0","-","-","-"
"07288650","TOX","0","-","-","-"
"07288700","TOX","0","-","-","-"
"0728875070","TOX","0","-","-","-"
"07288938","TOX","0","-","-","-"
"07288955","TOX","0","-","-","-"
"324322091004700","TOX","0","-","-","-"
"330548091055100","TOX","0","-","-","-"
