"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07266010","LITTLE TALLAHATCHIE RIVER AB NEW ALBANY, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.5059347,-88.9961747,NA,5,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07266520","LITTLE TALLAHATCHIE RIVER AT NEW ALBANY, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.4951016,-89.0133975,NA,5,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07266860","LITTLE TALLAHATCHIE RIVER NR INGOMAR, MS.","Stream",NA,"08030201",NA,NA,NA,NA,34.4637134,-89.0564545,NA,5,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"21MSWQ_WQX","MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY","21MSWQ_WQX-111B62","LITTLE TALLAHATCHIE RIVER","River/Stream","AT BELMONT ROAD NEAR SARDS","08030201",NA,NA,NA,NA,34.387184,-89.882143,24000,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","28","107",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07274000","YOCONA RIVER NR OXFORD, MS","Stream",NA,"08030203",262,"sq mi",262,"sq mi",34.2733333,-89.5213889,24000,0.5,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",267,"feet",10,"feet","Reported method of determination.","NGVD29","US","28","071",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07274235","OTOUCALOFA CREEK NR PARIS, MS","Stream",NA,"08030203",8.28,"sq mi",NA,NA,34.1489985,-89.4389676,NA,5,"seconds","Interpolated from MAP.","NAD83",100,"feet",10,"feet","Unknown.","NGVD29","US","28","013",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07274237","OTOUCALOFA CREEK AT PARIS, MS","Stream",NA,"08030203",21.02,"sq mi",NA,NA,34.1698317,-89.456746,NA,5,"seconds","Interpolated from MAP.","NAD83",100,"feet",10,"feet","Unknown.","NGVD29","US","28","071",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07274245","OTOUCALOFA CREEK EAST OF WATER VALLEY, MS","Stream",NA,"08030203",46.54,"sq mi",NA,NA,34.1584433,-89.5328596,NA,5,"seconds","Interpolated from MAP.","NAD83",100,"feet",10,"feet","Unknown.","NGVD29","US","28","161",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07274247","OTOUCALOFA CREEK CANAL E-SE OF WATER VALLEY, MS","Stream",NA,"08030203",74.01,"sq mi",NA,NA,34.1303881,-89.5934168,NA,5,"seconds","Interpolated from MAP.","NAD83",100,"feet",10,"feet","Unknown.","NGVD29","US","28","161",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07274248","OTOUCALOFA CREEK CANAL SE OF WATER VALLEY, MS.","Stream",NA,"08030203",NA,NA,NA,NA,34.1334436,-89.6234177,NA,5,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","28","161",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
