"OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.00700722","Sample-Routine","Water","Groundwater",2007-06-11,"14:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-333458090060801","A-1638501 Samples were preserved in field with nitric acid to pH < 2",NA,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown","Not Detected","Total Coliform","Total",NA,NA,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"90900",NA,NA,NA,NA,NA,"BAC52","USGS","Total coliform, MI MF method","EPA 821-R-02-024","U.S. Geological Survey-Water Resources Discipline",NA,NA,"Historical Lower Reporting Limit",1,"cfu/100ml",NA,"NWIS",2007-06-11 19:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.00700486","Sample-Routine","Water","Groundwater",2007-05-09,"10:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-333334090074001","A-1308501 Samples were preserved in field with nitric acid to pH<2  Actual collection time:        ; tritium is a time dependent sample!",NA,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown","Not Detected","Total Coliform","Total",NA,NA,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"90900",NA,NA,NA,NA,NA,"BAC52","USGS","Total coliform, MI MF method","EPA 821-R-02-024",NA,NA,NA,"Historical Lower Reporting Limit",1,"cfu/100ml",NA,"NWIS",2007-05-09 15:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.01300746","Sample-Routine","Water","Groundwater",2013-07-23,"12:30:00","CDT",NA,NA,NA,NA,NA,"Below land-surface datum",1303,"feet",1383,"feet","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-341359089062201","L-2060081 Received July 24, 2013  Samples were received chilled at the WHOI lab.",NA,"Not applicable","Not applicable","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump",NA,"Total Coliform","Total",1,"MPN/100 ml",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"50569",NA,NA,NA,NA,NA,"BAC47","USGS","Tot coliform, Colilert (24-28hr)","Standard Methods","USGS-Ohio Water Microbiology Laboratory, Columbus,OH (OWML)",NA,NA,NA,NA,NA,NA,"NWIS",2013-07-23 17:30:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.01300725","Sample-Routine","Water","Groundwater",2013-07-22,"11:20:00","CDT",NA,NA,NA,NA,NA,"Below land-surface datum",1795,"feet",1960,"feet","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-335930089113701","L-2040216 Samples were received chilled at the WHOI lab.",NA,"Not applicable","Not applicable","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump","Not Detected","Total Coliform","Total",NA,NA,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"50569",NA,NA,NA,NA,NA,"BAC47","USGS","Tot coliform, Colilert (24-28hr)","Standard Methods","USGS-Ohio Water Microbiology Laboratory, Columbus,OH (OWML)",NA,"holding time exceeded","Historical Lower Reporting Limit",1,"MPN/100 ml",NA,"NWIS",2013-07-22 16:20:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.01400588","Sample-Routine","Water","Groundwater",2014-06-11,"09:30:00","CDT",NA,NA,NA,NA,NA,"Below land-surface datum",135,"feet",175,"feet","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-334607089473801","L-1630237 FUS btl type not GCC, WHOI ASR missing mandatory field alk, paa Samples were received chilled at the WHOI lab.",NA,"Not applicable","Not applicable","4045","USGS parameter code 82398","Submersible multiple impeller (turbine) pump","Line-shaft turbine pump",NA,"Total Coliform","Total",3,"MPN/100 ml",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"50569",NA,NA,NA,NA,NA,"BAC47","USGS","Tot coliform, Colilert (24-28hr)","Standard Methods","USGS-Ohio Water Microbiology Laboratory, Columbus,OH (OWML)",NA,NA,NA,NA,NA,NA,"NWIS",2014-06-11 14:30:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401326","Sample-Routine","Water","Surface Water",1974-05-15,"07:45:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07286965",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",3300,"cfu/100ml",NA,"Historical",NA,"Estimated",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"counts outside acceptable range",NA,NA,NA,NA,"NWIS",1974-05-15 12:45:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401312","Sample-Routine","Water","Surface Water",1974-05-15,"09:45:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07286955",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",67,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-05-15 14:45:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401316","Sample-Routine","Water","Surface Water",1974-05-15,"18:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07286955",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",6800,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-05-15 23:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401330","Sample-Routine","Water","Surface Water",1974-05-15,"17:55:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07286965",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",10000,"cfu/100ml",NA,"Historical",NA,"Estimated",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"counts outside acceptable range",NA,NA,NA,NA,"NWIS",1974-05-15 22:55:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401328","Sample-Routine","Water","Surface Water",1974-05-15,"12:45:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07286965",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",3300,"cfu/100ml",NA,"Historical",NA,"Estimated",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"counts outside acceptable range",NA,NA,NA,NA,"NWIS",1974-05-15 17:45:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401302","Sample-Routine","Water","Surface Water",1974-05-15,"18:05:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07286400",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",3300,"cfu/100ml",NA,"Historical",NA,"Estimated",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"counts outside acceptable range",NA,NA,NA,NA,"NWIS",1974-05-15 23:05:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401298","Sample-Routine","Water","Surface Water",1974-05-15,"09:40:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07286400",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",3300,"cfu/100ml",NA,"Historical",NA,"Estimated",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"counts outside acceptable range",NA,NA,NA,NA,"NWIS",1974-05-15 14:40:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401300","Sample-Routine","Water","Surface Water",1974-05-15,"13:05:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07286400",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",3300,"cfu/100ml",NA,"Historical",NA,"Estimated",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"counts outside acceptable range",NA,NA,NA,NA,"NWIS",1974-05-15 18:05:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401314","Sample-Routine","Water","Surface Water",1974-05-15,"13:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07286955",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",1300,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-05-15 18:00:00,NA
