"OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"ARS","USDA Agricultural Research Service","MSBL103_20080311","Field Msr/Obs","Water",NA,2008-03-11,"00:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEAP",NA,"ARS-MSBL-MSBL103",NA,NA,NA,NA,"NSL_FM7","ARS Methods Catalog","Grab sample",NA,"Not Reported","Coliforms",NA,NA,"CFU",NA,"Final",NA,"Actual",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,"NSL_WQ17","ARS Methods Catalog","Fecal Coliforms in water","https://www.nrrig.mwa.ars.usda.gov/st40_javascript/methods.aspx?methodstring=NSL_WQ17",NA,NA,NA,"Instrument Detection Level",NA,"None",NA,"STEWARDS",2008-03-11 06:00:00,NA
"ARS","USDA Agricultural Research Service","MSBL103_20080407","Field Msr/Obs","Water",NA,2008-04-07,"00:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEAP",NA,"ARS-MSBL-MSBL103",NA,NA,NA,NA,"NSL_FM7","ARS Methods Catalog","Grab sample",NA,"Not Reported","Coliforms",NA,NA,"CFU",NA,"Final",NA,"Actual",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,"NSL_WQ17","ARS Methods Catalog","Fecal Coliforms in water","https://www.nrrig.mwa.ars.usda.gov/st40_javascript/methods.aspx?methodstring=NSL_WQ17",NA,NA,NA,"Instrument Detection Level",NA,"None",NA,"STEWARDS",2008-04-07 06:00:00,NA
"ARS","USDA Agricultural Research Service","MSBL103_20080505","Field Msr/Obs","Water",NA,2008-05-05,"00:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEAP",NA,"ARS-MSBL-MSBL103",NA,NA,NA,NA,"NSL_FM7","ARS Methods Catalog","Grab sample",NA,"Not Reported","Coliforms",NA,NA,"CFU",NA,"Final",NA,"Actual",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,"NSL_WQ17","ARS Methods Catalog","Fecal Coliforms in water","https://www.nrrig.mwa.ars.usda.gov/st40_javascript/methods.aspx?methodstring=NSL_WQ17",NA,NA,NA,"Instrument Detection Level",NA,"None",NA,"STEWARDS",2008-05-05 06:00:00,NA
"ARS","USDA Agricultural Research Service","MSBL103_20080602","Field Msr/Obs","Water",NA,2008-06-02,"00:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEAP",NA,"ARS-MSBL-MSBL103",NA,NA,NA,NA,"NSL_FM7","ARS Methods Catalog","Grab sample",NA,"Not Reported","Coliforms",NA,NA,"CFU",NA,"Final",NA,"Actual",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,"NSL_WQ17","ARS Methods Catalog","Fecal Coliforms in water","https://www.nrrig.mwa.ars.usda.gov/st40_javascript/methods.aspx?methodstring=NSL_WQ17",NA,NA,NA,"Instrument Detection Level",NA,"None",NA,"STEWARDS",2008-06-02 06:00:00,NA
"ARS","USDA Agricultural Research Service","MSBL103_20080630","Field Msr/Obs","Water",NA,2008-06-30,"00:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEAP",NA,"ARS-MSBL-MSBL103",NA,NA,NA,NA,"NSL_FM7","ARS Methods Catalog","Grab sample",NA,"Not Reported","Coliforms",NA,NA,"CFU",NA,"Final",NA,"Actual",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,"NSL_WQ17","ARS Methods Catalog","Fecal Coliforms in water","https://www.nrrig.mwa.ars.usda.gov/st40_javascript/methods.aspx?methodstring=NSL_WQ17",NA,NA,NA,"Instrument Detection Level",NA,"None",NA,"STEWARDS",2008-06-30 06:00:00,NA
"ARS","USDA Agricultural Research Service","MSBL103_20080714","Field Msr/Obs","Water",NA,2008-07-14,"00:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEAP",NA,"ARS-MSBL-MSBL103",NA,NA,NA,NA,"NSL_FM7","ARS Methods Catalog","Grab sample",NA,"Not Reported","Coliforms",NA,NA,"CFU",NA,"Final",NA,"Actual",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,"NSL_WQ17","ARS Methods Catalog","Fecal Coliforms in water","https://www.nrrig.mwa.ars.usda.gov/st40_javascript/methods.aspx?methodstring=NSL_WQ17",NA,NA,NA,"Instrument Detection Level",NA,"None",NA,"STEWARDS",2008-07-14 06:00:00,NA
"ARS","USDA Agricultural Research Service","MSBL103_20081021","Field Msr/Obs","Water",NA,2008-10-21,"00:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEAP",NA,"ARS-MSBL-MSBL103",NA,NA,NA,NA,"NSL_FM7","ARS Methods Catalog","Grab sample",NA,"Not Reported","Coliforms",NA,NA,"CFU",NA,"Final",NA,"Actual",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,"NSL_WQ17","ARS Methods Catalog","Fecal Coliforms in water","https://www.nrrig.mwa.ars.usda.gov/st40_javascript/methods.aspx?methodstring=NSL_WQ17",NA,NA,NA,"Instrument Detection Level",NA,"None",NA,"STEWARDS",2008-10-21 06:00:00,NA
"ARS","USDA Agricultural Research Service","MSBL103_20080114","Field Msr/Obs","Water",NA,2008-01-14,"00:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEAP",NA,"ARS-MSBL-MSBL103",NA,NA,NA,NA,"NSL_FM7","ARS Methods Catalog","Grab sample",NA,"Not Reported","Coliforms",NA,NA,"CFU",NA,"Final",NA,"Actual",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,"NSL_WQ17","ARS Methods Catalog","Fecal Coliforms in water","https://www.nrrig.mwa.ars.usda.gov/st40_javascript/methods.aspx?methodstring=NSL_WQ17",NA,NA,NA,"Instrument Detection Level",NA,"None",NA,"STEWARDS",2008-01-14 06:00:00,NA
"ARS","USDA Agricultural Research Service","MSBL103_20080421","Field Msr/Obs","Water",NA,2008-04-21,"00:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEAP",NA,"ARS-MSBL-MSBL103",NA,NA,NA,NA,"NSL_FM7","ARS Methods Catalog","Grab sample",NA,"Not Reported","Coliforms",NA,NA,"CFU",NA,"Final",NA,"Actual",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,"NSL_WQ17","ARS Methods Catalog","Fecal Coliforms in water","https://www.nrrig.mwa.ars.usda.gov/st40_javascript/methods.aspx?methodstring=NSL_WQ17",NA,NA,NA,"Instrument Detection Level",NA,"None",NA,"STEWARDS",2008-04-21 06:00:00,NA
"ARS","USDA Agricultural Research Service","MSBL103_20080908","Field Msr/Obs","Water",NA,2008-09-08,"00:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEAP",NA,"ARS-MSBL-MSBL103",NA,NA,NA,NA,"NSL_FM7","ARS Methods Catalog","Grab sample",NA,"Not Reported","Coliforms",NA,NA,"CFU",NA,"Final",NA,"Actual",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,"NSL_WQ17","ARS Methods Catalog","Fecal Coliforms in water","https://www.nrrig.mwa.ars.usda.gov/st40_javascript/methods.aspx?methodstring=NSL_WQ17",NA,NA,NA,"Instrument Detection Level",NA,"None",NA,"STEWARDS",2008-09-08 06:00:00,NA
