"OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97000585","Sample-Routine","Water","Surface Water",1970-04-15,"09:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07288680",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",300,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1970-04-15 15:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97000587","Sample-Routine","Water","Surface Water",1970-08-26,"14:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07288680",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",480,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1970-08-26 19:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97100495","Sample-Routine","Water","Surface Water",1971-04-06,"14:15:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07288680",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",400,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1971-04-06 20:15:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97000586","Sample-Routine","Water","Surface Water",1970-05-26,"11:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07288680",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",40,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1970-05-26 16:30:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97000582","Sample-Routine","Water","Surface Water",1969-11-18,"13:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07288680",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",20,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1969-11-18 19:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97000584","Sample-Routine","Water","Surface Water",1970-03-03,"12:40:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07288680",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",600,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1970-03-03 18:40:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.01400585","Sample-Routine","Water","Groundwater",2014-06-04,"13:30:00","CDT",NA,NA,NA,NA,NA,"Below land-surface datum",683,"feet",744,"feet","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-334348090432401","L-1570118 Received June 05, 2014  FUS btl type, paa Samples were received chilled at the WHOI lab.  Received June 05,2014",NA,"Not applicable","Not applicable","4045","USGS parameter code 82398","Submersible multiple impeller (turbine) pump","Line-shaft turbine pump","Not Detected","Total Coliform","Total",NA,NA,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"50569",NA,NA,NA,NA,NA,"BAC47","USGS","Tot coliform, Colilert (24-28hr)","Standard Methods","USGS-Ohio Water Microbiology Laboratory, Columbus,OH (OWML)",NA,NA,"Historical Lower Reporting Limit",1,"MPN/100 ml",NA,"NWIS",2014-06-04 18:30:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.01400582","Sample-Routine","Water","Groundwater",2014-06-04,"09:00:00","CDT",NA,NA,NA,NA,NA,"Below land-surface datum",755,"feet",814,"feet","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-335853090543701","L-1570121 Received June 05, 2014  FUS btl type, paa Samples were received chilled at the WHOI lab.",NA,"Not applicable","Not applicable","4040","USGS parameter code 82398","Submersible pump","Submersible gear pump","Not Detected","Total Coliform","Total",NA,NA,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"50569",NA,NA,NA,NA,NA,"BAC47","USGS","Tot coliform, Colilert (24-28hr)","Standard Methods","USGS-Ohio Water Microbiology Laboratory, Columbus,OH (OWML)",NA,NA,"Historical Lower Reporting Limit",1,"MPN/100 ml",NA,"NWIS",2014-06-04 14:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.01400579","Sample-Routine","Water","Groundwater",2014-06-04,"17:30:00","CDT",NA,NA,NA,NA,NA,"Below land-surface datum",705,"feet",785,"feet","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-334420090444001","L-1570115 Received June 05, 2014  FUS btl type, paa Samples were received chilled at the WHOI lab.",NA,"Not applicable","Not applicable","4045","USGS parameter code 82398","Submersible multiple impeller (turbine) pump","Line-shaft turbine pump","Not Detected","Total Coliform","Total",NA,NA,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"50569",NA,NA,NA,NA,NA,"BAC47","USGS","Tot coliform, Colilert (24-28hr)","Standard Methods","USGS-Ohio Water Microbiology Laboratory, Columbus,OH (OWML)",NA,NA,"Historical Lower Reporting Limit",1,"MPN/100 ml",NA,"NWIS",2014-06-04 22:30:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.01400645","Sample-Routine","Water","Groundwater",2014-07-02,"10:30:00","CDT",NA,NA,NA,NA,NA,"Below land-surface datum",700,"feet",800,"feet","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-324806090553601","L-1880024 Received July 03, 2014  FUS btl type, not GCC, paa Samples were received chilled at the WHOI lab.",NA,"Not applicable","Not applicable","4045","USGS parameter code 82398","Submersible multiple impeller (turbine) pump","Line-shaft turbine pump","Not Detected","Total Coliform","Total",NA,NA,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"50569",NA,NA,NA,NA,NA,"BAC47","USGS","Tot coliform, Colilert (24-28hr)","Standard Methods","USGS-Ohio Water Microbiology Laboratory, Columbus,OH (OWML)",NA,NA,"Historical Lower Reporting Limit",1,"MPN/100 ml",NA,"NWIS",2014-07-02 15:30:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.00700739","Sample-Routine","Water","Groundwater",2007-06-26,"14:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-341108090432001","A-1788514 Samples were preserved in field with nitric acid pH < 2",NA,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown","Not Detected","Total Coliform","Total",NA,NA,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"90900",NA,NA,NA,NA,NA,"BAC52","USGS","Total coliform, MI MF method","EPA 821-R-02-024",NA,NA,NA,"Historical Lower Reporting Limit",1,"cfu/100ml",NA,"NWIS",2007-06-26 19:00:00,NA
