"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"USGS-MS","USGS Mississippi Water Science Center","USGS-342111089124401","A0048  PONTOTOC","Well",NA,"08030201",NA,NA,NA,NA,34.3576389,-89.2206889,NA,0.1,"seconds","Differentially corrected Global Positioning System.","NAD83",470,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",28,"115","Southeastern Coastal Plain aquifer system","Ripley Formation",NA,19800128,625,"ft",658,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-342921089341201","A0029  LAFAYETTE","Well",NA,"08030201",NA,NA,NA,NA,34.4900278,-89.5695306,NA,0.1,"seconds","Differentially corrected Global Positioning System.","NAD83",350,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",28,"071","Mississippi embayment aquifer system","Meridian-Upper Wilcox Aquifer",NA,19770515,337,"ft",NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-343706089111601","O0041  BENTON","Well",NA,"08030201",NA,NA,NA,NA,34.6181056,-89.1871528,NA,0.1,"seconds","Differentially corrected Global Positioning System.","NAD83",420,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",28,"009","Southeastern Coastal Plain aquifer system","Ripley Formation",NA,19950821,552,"ft",588,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-340609089391501","C0084  YALOBUSHA","Well",NA,"08030203",NA,NA,NA,NA,34.1025,-89.6541667,NA,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",359,"feet",5,"feet","Global Positioning System.","NAVD88","US",28,"161","Mississippi embayment aquifer system","Sparta Sand",NA,NA,120,"ft",NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-342155089305401","F0023  LAFAYETTE","Well",NA,"08030203",NA,NA,NA,NA,34.3648778,-89.5145556,NA,0.1,"seconds","Differentially corrected Global Positioning System.","NAD83",380,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",28,"071","Mississippi embayment aquifer system","Meridian-Upper Wilcox Aquifer",NA,19660101,96,"ft",NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-07278500","COLDWATER RIVER AT ARKABUTLA DAM, MS","Stream",NA,"08030204",1000,"sq mi",1000,"sq mi",34.7573224,-90.12426,NA,5,"seconds","Interpolated from MAP.","NAD83",191.18,"feet",10,"feet","Unknown.","NGVD29","US",28,"033",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-343842089531701","G0147  TATE","Well",NA,"08030204",NA,NA,NA,NA,34.645,-89.8880556,NA,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",354,"feet",5,"feet","Global Positioning System.","NAVD88","US",28,"137","Mississippi embayment aquifer system","Sparta Sand",NA,NA,160,"ft",NA,NA,"NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-344135090075001","A0079  TATE","Well",NA,"08030204",NA,NA,NA,NA,34.6930556,-90.1305556,NA,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",342,"feet",5,"feet","Global Positioning System.","NAVD88","US",28,"137","Mississippi embayment aquifer system","Sparta Sand",NA,19680101,220,"ft",220,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-344927089583901","L0085  DESOTO","Well",NA,"08030204",NA,NA,NA,NA,34.8242647,-89.9775904,NA,5,"seconds","Interpolated from MAP.","NAD83",360,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",28,"033","Mississippi embayment aquifer system","Sparta Sand",NA,20010531,371,"ft",500,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-344939089460401","M0226  DESOTO","Well",NA,"08030204",NA,NA,NA,NA,34.8275,-89.7677778,NA,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",294,"feet",5,"feet","Global Positioning System.","NAVD88","US",28,"033","Mississippi embayment aquifer system","Sparta Sand",NA,NA,50,"ft",50,"ft","NWIS"
"USGS-MS","USGS Mississippi Water Science Center","USGS-345216089400201","D0060  MARSHALL","Well",NA,"08030204",NA,NA,NA,NA,34.8735278,-89.6975833,NA,0.1,"seconds","Differentially corrected Global Positioning System.","NAD83",390,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",28,"093","Southeastern Coastal Plain aquifer system","Ripley Formation",NA,19830105,1689,"ft",1730,"ft","NWIS"
