NWIS_site_number,site_description
07265500,Little Tallahatchie River near New Albany MS
07267000,Hell Creek near New Albany MS 
07268000,Little Tallahatchie River at Etta MS
07268500,Cypress Creek near Etta MS 
07272000,Sardis Lake near Sardis MS 
07272500,Little Tallahatchie River at Sardis Dam MS 
07273000,Tallahatchie River near Sardis MS 
07273100,Hotopha Creek near Batesville MS 
07273500,Little Tallahatchie River at Batesville MS 
07273550,Tallahatchie River near Batesville MS 
07274000,Yocona River near Oxford MS 
07274252,Otoucalofa Creek at Canal near Water Valley MS 
07274500,Enid Lake near Enid MS 
07275000,Yocona River at Enid Dam MS 
07275500,Long Creek at Courtland MS 
07275530,Peters (Long) Creek near Pope MS 
07275900,Coldwater River near Olive Branch MS 
07276000,Coldwater River near Lewisburg MS 
07276500,Pigeon Roost Creek near Byhalia MS
07277000,Pigeonroost Creek near Lewisburg MS 
07277500,Coldwater River near Coldwater MS
07277548,James Wolf Creek near Looxahoma MS 
07277700,Hickahala Creek near Senatobia MS 
07277730,Senatobia Creek near Senatobia MS 
07278000,Arkabutla Lake near Arkabutla MS
07278500,Coldwater River at Arkabutla Dam MS 
07279500,Coldwater River at Savage MS 
07279800,Coldwater River (Pompey Ditch) near Sledge MS 
07279850,Old Coldwater River near Birdie MS 
07279937,David Bayou near Sledge MS 
07279950,Coldwater River at Marks MS 
07280000,Tallahatchie River near Lambert MS 
07280270,Tillatoba Creek below Oakland MS 
07280340,South Fork Tillatoba Creek near Charleston MS 
07280400,Tillatoba Creek at Charleston MS 
07281600,Tallahatchie River at Money MS 
07281960,Yalobusha River at Vardaman MS
07281977,Yalobusha River at Derma MS
07282000,Yalobusha River and Topashaw Creek Canal at Calhoun City MS
07282075,Topashaw Creek Canal near Hohenlinden MS
07282090,Topashaw Creek Canal near Derma MS
07282100,Topashaw Creek Canal near Calhoun City MS
07282500,Yalobusha River at Graysport MS
07283000,Skuna River at Bruce MS
07283500,Skuna River near Coffeeville MS
07284500,Grenada Lake near Grenada MS
07285000,Yalobusha R at Grenada Dam near Grenada MS
07285400,Batupan Bogue at Grenada MS
07285500,Yalobusha River at Grenada MS
07285510,YALOBUSHA RIVER AT NSI INTAKE AT GRENADA MS--published under 07285500
07285900,Askalmore Creek at Retention Dam near Cascilla MS
07286000,Askalmore Creek near Charleston MS
07287000,Yazoo River at Greenwood MS
07287120,Yazoo River near Shell Bluff MS
07287150,Abiaca Creek near Seven Pines MS
07287160,Abiaca Creek at Cruger MS
07287355,Fannegusha Creek near Howard MS
07287400,Black Creek at Lexington MS
07287404,Harland Creek near Howard MS
07287405,Black Creek at Howard MS
07288000,Big Sunflower River at Clarksdale MS
07288200,Big Sunflower River near Lombardy MS
07288280,Big Sunflower River near Merigold MS
07288500,Big Sunflower River at Sunflower MS
07288555,Quiver River Southeast Ruleville MS
0728862211,Browns Bayou near Inverness MS
07288650,Bogue Phalia near Leland MS
07288700,Big Sunflower River near Anguilla MS
0728875070,Deer Creek East of Leland MS
07288938,Steele Bayou Floodgate (Landside) near Redwood MS
07288955,Yazoo River below Steele Bayou near Long Lake MS
324322091004700,Steele Bayou Tributary No 28 near Fitler MS
330548091055100,Lake Washington Tributary at Stein Road near Chatham MS
